Gene	MobiDBLite	Coils	interpro	GO	CDD	Gene3D	SUPERFAMILY	ProSiteProfiles	Pfam	SMART	ProSitePatterns	PATHWAY	TIGRFAM	PRINTS	Hamap	PIRSF	SFLD
PNP54398.1	mobidb-lite	NA	IPR036020	GO:0005515	cd07389;cd00201	G3DSA:2.20.70.10	SSF51045	PS50020	PF00397	SM00456	PS01159	NA	NA	NA	NA	NA	NA
PNP51243.1	NA	NA	IPR001155	GO:0010181;GO:0016491;GO:0055114;GO:0003824	cd02933	G3DSA:3.20.20.70	SSF51395	NA	PF00724	NA	NA	NA	NA	NA	NA	NA	NA
PNP46493.1	mobidb-lite	NA	IPR003827		NA	G3DSA:3.30.1960.10	SSF111278	NA	PF02676	NA	NA	MetaCyc: PWY-7286|Reactome: R-HSA-6782861	NA	NA	NA	NA	NA
PNP54574.1	mobidb-lite	NA	IPR023175		NA	G3DSA:1.25.40.270;G3DSA:1.20.5.420	NA	NA	PF04652;PF18097	NA	NA	Reactome: R-HSA-162588|Reactome: R-HSA-917729	NA	NA	NA	NA	NA
PNP45985.1	NA	NA	IPR028889	GO:0016579;GO:0036459;GO:0006511	cd02660	G3DSA:3.30.40.10;G3DSA:3.90.70.10	SSF54001;SSF57850	PS50235	PF00443	NA	PS00973	NA	NA	NA	NA	NA	NA
PNP57482.1	NA	NA	IPR015424	GO:0003824;GO:0000287;GO:0004141;GO:0005524;GO:0009102;GO:0008483;GO:0030170	cd03109	G3DSA:3.40.640.10;G3DSA:3.40.50.300	SSF53383;SSF52540	NA	PF13500;PF00202	NA	PS00600	KEGG: 00780+6.3.3.3|MetaCyc: PWY-7380	NA	NA	MF_00336	NA	NA
PNP52403.1	mobidb-lite	Coil	IPR001623		cd06257	G3DSA:1.10.8.840;G3DSA:1.10.287.110	SSF46565	PS50076	PF00226;PF16717	SM00271	PS00636	Reactome: R-HSA-3371453	NA	NA	NA	NA	NA
PNP59815.1	NA	NA	IPR001734	GO:0016020;GO:0022857;GO:0055085	NA	G3DSA:1.20.1730.10	NA	PS50283	PF00474	NA	NA	NA	NA	NA	NA	NA	NA
PNP59831.1	NA	NA	IPR010730	NA	NA	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA
PNP51016.1	NA	NA	IPR036928		NA	G3DSA:3.90.1300.10	SSF75304	NA	PF01425	NA	NA	KEGG: 00970+6.3.5.7	NA	NA	NA	NA	NA
PNP51020.1	NA	NA	IPR032466	GO:0016787	NA	G3DSA:3.20.20.140	SSF51556	NA	PF04909	NA	NA	NA	NA	NA	NA	NA	NA
PNP51078.1	NA	NA	IPR036291		NA	G3DSA:3.40.50.720	SSF51735	NA	PF05368	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA
PNP57048.1	mobidb-lite	NA	IPR036938	NA	cd03390	G3DSA:1.20.144.10	SSF48317	NA	PF01569	SM00014	NA	NA	NA	NA	NA	NA	NA
PNP49949.1	NA	NA	IPR037460	GO:0016788	cd01823	G3DSA:3.40.50.1110	SSF52266	NA	PF13472	NA	NA	NA	NA	NA	NA	NA	NA
PNP58711.1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP50149.1	mobidb-lite	NA	IPR001266	GO:0003735;GO:0005840;GO:0006412	NA	G3DSA:1.10.10.2700	SSF46785	NA	PF01090	SM01413	PS00628	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA
PNP51578.1	mobidb-lite	Coil	IPR001370	GO:0003677	cd00022	G3DSA:1.10.1170.10	SSF57924	PS50143	PF00653	SM00384;SM00238	NA	NA	NA	PR00929	NA	NA	NA
PNP53458.1	NA	NA	IPR034907	GO:0004550;GO:0006165;GO:0006183;GO:0006228;GO:0006241	cd04413	G3DSA:3.30.70.141	SSF54919	NA	PF00334	SM00562	PS00469	KEGG: 00230+2.7.4.6|KEGG: 00240+2.7.4.6|KEGG: 00983+2.7.4.6|MetaCyc: PWY-6545|MetaCyc: PWY-7176|MetaCyc: PWY-7184|MetaCyc: PWY-7187|MetaCyc: PWY-7197|MetaCyc: PWY-7198|MetaCyc: PWY-7205|MetaCyc: PWY-7210|MetaCyc: PWY-7220|MetaCyc: PWY-7221|MetaCyc: PWY-7222|MetaCyc: PWY-7224|MetaCyc: PWY-7226|MetaCyc: PWY-7227	NA	PR01243	MF_00451	NA	NA
PNP53933.1	NA	NA	IPR036457	GO:0003824	NA	G3DSA:3.60.40.10	SSF81606	PS51746	PF07228	NA	NA	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	NA	NA	NA	NA	NA
PNP60260.1	mobidb-lite	NA	IPR036259	GO:0016021;GO:0022857;GO:0055085	cd17356	G3DSA:1.20.1250.20	SSF103473	PS50850	PF00083	NA	NA	NA	NA	NA	NA	NA	NA
PNP45977.1	NA	NA	IPR036265	GO:0003824	NA	G3DSA:3.30.428.10	SSF54197	PS51084	PF01230	NA	PS00892	NA	NA	PR00332	NA	NA	NA
PNP60178.1	NA	NA	IPR015865	GO:0008531;GO:0009231	NA	G3DSA:2.40.30.30	SSF82114	NA	PF01687	SM00904	NA	KEGG: 00740+2.7.1.26|MetaCyc: PWY-5523|MetaCyc: PWY-6168|MetaCyc: PWY-7863|Reactome: R-HSA-196843	NA	NA	NA	NA	NA
PNP50745.1	mobidb-lite	NA	IPR010733	NA	NA	NA	NA	NA	PF07000	NA	NA	NA	NA	NA	NA	NA	NA
PNP50827.1	NA	NA	IPR027409	GO:0042026;GO:0005524;GO:0006457	cd03344	G3DSA:3.30.260.10;G3DSA:3.50.7.10;G3DSA:1.10.560.10	SSF52029;SSF48592;SSF54849	NA	PF00118	NA	PS00296	Reactome: R-HSA-1268020|Reactome: R-HSA-8869496	TIGR02348	PR00298	MF_00600	NA	NA
PNP55166.1	NA	NA	IPR023393		cd07813	G3DSA:3.30.530.20	SSF55961	NA	PF03364	NA	NA	Reactome: R-HSA-611105	NA	NA	NA	NA	NA
PNP56564.1	mobidb-lite	NA	IPR029063	NA	cd02440	G3DSA:3.40.50.150	SSF53335	NA	PF13489	NA	NA	NA	NA	NA	NA	NA	NA
PNP57143.1	NA	NA	IPR016654	GO:0006397	cd01725	G3DSA:2.30.30.100	SSF50182	NA	PF01423	SM00651	NA	Reactome: R-HSA-430039|Reactome: R-HSA-72163|Reactome: R-HSA-72165	NA	NA	NA	PIRSF016394	NA
PNP49252.1	mobidb-lite	NA	IPR029064	GO:0070481;GO:0070966;GO:0071025	NA	G3DSA:2.30.30.870;G3DSA:3.30.1330.30;G3DSA:3.30.420.60	SSF55315;SSF53137;SSF159065	NA	PF03463;PF03465;PF03464	SM01194	NA	NA	TIGR00111	NA	NA	NA	NA
PNP51504.1	NA	NA	IPR036691	NA	cd09083	G3DSA:3.60.10.10	SSF56219	NA	PF03372	NA	NA	NA	NA	NA	NA	NA	NA
PNP54079.1	mobidb-lite	NA	IPR027417	GO:0005515;GO:0043531	cd00201	G3DSA:2.20.70.10;G3DSA:3.40.50.300;G3DSA:1.25.40.10	SSF52540;SSF51045;SSF48452	PS50020	PF13424;PF13374;PF00397;PF00931	SM00456	NA	Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-6798695|Reactome: R-HSA-6803207|Reactome: R-HSA-8953750|Reactome: R-HSA-9627069	NA	NA	NA	NA	NA
PNP54888.1	NA	NA	IPR032466	GO:0016810	cd01300	G3DSA:3.10.310.70;G3DSA:3.20.20.140;G3DSA:2.30.40.10	SSF51556;SSF51338	NA	PF07969	NA	NA	NA	NA	NA	NA	NA	NA
PNP54556.1	NA	NA	IPR011701	GO:0055085	cd17476	G3DSA:1.20.1250.20	SSF103473	PS50850	PF07690	NA	NA	NA	NA	NA	NA	NA	NA
PNP50550.1	NA	NA	IPR023210	NA	cd06660	G3DSA:3.20.20.100	SSF51430	NA	PF00248	NA	NA	NA	NA	NA	NA	NA	NA
PNP50220.1	NA	NA	IPR036026	GO:0004571;GO:0005509;GO:0016020;GO:0003824	NA	G3DSA:1.50.10.10	SSF48225	NA	PF01532	NA	NA	NA	NA	PR00747	NA	NA	NA
PNP56268.1	NA	NA	IPR036249	GO:0045454	cd02947	G3DSA:3.40.30.10	SSF52833	PS51352	PF00085	NA	NA	NA	NA	PR00421	NA	NA	NA
PNP49066.1	NA	NA	IPR006931	GO:0019722;GO:0003676	cd12434	G3DSA:3.30.70.330	SSF54928	NA	PF04847	NA	NA	NA	NA	NA	NA	NA	NA
PNP49029.1	NA	NA	IPR002938	GO:0071949	NA	G3DSA:3.50.50.60;G3DSA:3.30.9.30	SSF51905	NA	PF01494	NA	NA	NA	NA	NA	NA	NA	NA
PNP59767.1	NA	NA	IPR000920	GO:0016020	NA	NA	NA	NA	NA	NA	NA	NA	NA	PR00213	NA	NA	NA
PNP52686.1	NA	NA	IPR002575	NA	NA	NA	SSF56112	NA	PF01636	NA	NA	NA	NA	NA	NA	NA	NA
PNP55521.1	NA	NA	IPR001509	GO:0003824;GO:0050662	NA	G3DSA:3.40.50.720	SSF51735	NA	PF01370	NA	NA	NA	NA	NA	NA	NA	NA
PNP49382.1	mobidb-lite	NA	IPR002190	NA	NA	NA	NA	NA	PF01454	NA	NA	NA	NA	NA	NA	NA	NA
PNP54639.1	NA	NA	IPR008271	GO:0004672;GO:0006468;GO:0005524	NA	G3DSA:1.10.510.10	SSF56112	PS50011	PF00069	SM00220	PS00108;PS00107	NA	NA	NA	NA	NA	NA
PNP58002.1	NA	NA	IPR001680	GO:0005515	cd00200	G3DSA:2.130.10.10	SSF50978	PS50082;PS50294	PF00400	SM00320	PS00678	NA	NA	PR00320	NA	NA	NA
PNP56789.1	NA	NA	IPR000192	GO:0003824	NA	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	SSF53383	NA	PF00266	NA	NA	NA	NA	NA	NA	NA	NA
PNP49209.1	mobidb-lite	NA	IPR021109	GO:0004190;GO:0006508	cd05474	G3DSA:2.40.70.10	SSF50630	PS51767	PF00026	NA	NA	NA	NA	PR00792	NA	NA	NA
PNP46433.1	NA	NA	IPR010730	NA	NA	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA
PNP54551.1	mobidb-lite	NA	IPR029061	GO:0000287;GO:0003984;GO:0009082;GO:0030976;GO:0050660;GO:0003824	cd07035;cd02015	G3DSA:3.40.50.970;G3DSA:3.40.50.1220	SSF52518;SSF52467	NA	PF00205;PF02775;PF02776	NA	PS00187	KEGG: 00290+2.2.1.6|KEGG: 00650+2.2.1.6|KEGG: 00660+2.2.1.6|KEGG: 00770+2.2.1.6|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-5938|MetaCyc: PWY-5939|MetaCyc: PWY-6389|MetaCyc: PWY-7111	TIGR00118	NA	NA	NA	NA
PNP52838.1	mobidb-lite	NA	IPR003903	GO:0005515	NA	G3DSA:2.130.10.10	SSF50978	PS50330	NA	SM00726	NA	NA	NA	NA	NA	NA	NA
PNP60321.1	NA	NA	IPR025151		NA	NA	NA	NA	PF13934	NA	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA
PNP54934.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP50452.1	mobidb-lite	Coil	IPR001683	GO:0035091	cd06863;cd07628	G3DSA:1.20.1270.60;G3DSA:3.30.1520.10	SSF103657;SSF64268	PS50195	PF00787	SM00312	NA	NA	NA	NA	NA	NA	NA
PNP55249.1	NA	Coil	IPR007344	NA	NA	G3DSA:3.30.460.10	SSF81301	NA	PF04229	NA	NA	NA	NA	NA	NA	NA	NA
PNP54716.1	mobidb-lite	NA	IPR004181	GO:0008270	NA	G3DSA:2.60.120.780;G3DSA:3.30.40.10	NA	PS51044;PS51466	PF14324;PF02891	NA	NA	Reactome: R-HSA-3232118|Reactome: R-HSA-3899300|Reactome: R-HSA-4090294	NA	NA	NA	NA	NA
PNP49531.1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP57859.1	mobidb-lite	Coil	IPR025256	NA	cd17352	NA	NA	NA	PF13886	NA	NA	NA	NA	NA	NA	NA	NA
PNP55099.1	mobidb-lite	NA	IPR023648	GO:0005507;GO:0055070	NA	NA	SSF110395	NA	PF03932	NA	NA	Reactome: R-HSA-936837	NA	NA	NA	NA	NA
PNP48196.1	NA	Coil	IPR035994	GO:0003824;GO:0009116	cd09008	NA	SSF53167	NA	PF01048	NA	NA	NA	NA	NA	NA	NA	NA
PNP50620.1	NA	NA	IPR016181	GO:0008080	cd04301	G3DSA:3.40.630.30	SSF55729	NA	PF00583	NA	NA	NA	NA	NA	NA	NA	NA
PNP51994.1	mobidb-lite	NA	IPR010729	GO:0003735;GO:0005761;GO:0006412	NA	G3DSA:1.20.1280.190	NA	NA	PF06984	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA
PNP50704.1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP59372.1	NA	NA	IPR036163	GO:0030001;GO:0046872	cd00371	G3DSA:3.30.70.100	SSF55008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP52412.1	mobidb-lite	NA	IPR012923	GO:0005634;GO:0006974;GO:0048478	NA	NA	NA	NA	PF07962	NA	NA	Reactome: R-HSA-5693607	NA	NA	NA	NA	NA
PNP56784.1	NA	NA	IPR023210	NA	cd06660	G3DSA:3.20.20.100	SSF51430	NA	PF00248	NA	NA	NA	NA	NA	NA	NA	NA
PNP57017.1	NA	NA	IPR008914	NA	cd00866	G3DSA:3.90.280.10	SSF49777	NA	PF01161	NA	NA	NA	NA	NA	NA	NA	NA
PNP54290.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP59832.1	NA	NA	IPR008949	GO:0016838	NA	G3DSA:1.10.600.10	SSF48576	NA	PF06330	NA	NA	KEGG: 00909+4.2.3.6|MetaCyc: PWY-7711	NA	NA	NA	NA	SFLDS00005;SFLDG01021
PNP49751.1	mobidb-lite	NA	IPR013170	NA	NA	NA	NA	NA	PF08312	NA	NA	NA	NA	NA	NA	NA	NA
PNP53550.1	NA	NA	IPR014314	GO:0000104;GO:0006099;GO:0045281;GO:0016627;GO:0016020	cd03499	G3DSA:1.20.1300.10	SSF81343	NA	PF01127	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-71403	NA	NA	NA	PIRSF000178	NA
PNP47764.1	mobidb-lite	NA	IPR003819	GO:0016491;GO:0055114	NA	G3DSA:3.60.130.10	SSF51197	NA	PF02668	NA	NA	Reactome: R-HSA-71262	NA	NA	NA	NA	NA
PNP51981.1	NA	NA	IPR038253	GO:0003723;GO:0005047;GO:0005786;GO:0006614;GO:0008312;GO:0030942	cd15481	G3DSA:1.10.3450.40	NA	NA	PF16969	NA	NA	Reactome: R-HSA-1799339	NA	NA	NA	PIRSF038995	NA
PNP46412.1	mobidb-lite	NA	IPR007111	GO:0005515	NA	G3DSA:1.25.40.20;G3DSA:3.40.50.300	SSF48403;SSF52540	PS50297;PS50088	PF05729	SM00248	NA	NA	NA	NA	NA	NA	NA
PNP58498.1	mobidb-lite	NA	IPR036322	GO:0005515	NA	G3DSA:2.130.10.10	SSF50978	PS50294;PS50082	PF00400	SM00320	NA	NA	NA	NA	NA	NA	NA
PNP58007.1	NA	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	cd00067	G3DSA:4.10.240.10	SSF57701	PS50048	PF00172	SM00066	PS00463	NA	NA	NA	NA	NA	NA
PNP55360.1	mobidb-lite	NA	IPR003689	GO:0016020;GO:0030001;GO:0046873;GO:0055085	NA	NA	NA	NA	PF02535	NA	NA	NA	NA	NA	NA	NA	NA
PNP54095.1	mobidb-lite	NA	IPR001623	NA	cd06257	G3DSA:1.10.287.110	SSF46565	PS50076	PF00226	SM00271	NA	NA	NA	PR00625	NA	NA	NA
PNP57569.1	NA	NA	IPR011990	GO:0005515	NA	G3DSA:1.25.40.10	SSF48452	PS50293	PF13424;PF13374	NA	NA	NA	NA	NA	NA	NA	NA
PNP56643.1	mobidb-lite	NA	IPR001025	GO:0003682;GO:0008168	cd04712	G3DSA:2.30.30.490;G3DSA:3.90.120.10;G3DSA:3.40.50.150	SSF53335	PS51038;PS51679	PF00145	NA	PS00094	KEGG: 00270+2.1.1.37|Reactome: R-HSA-212300|Reactome: R-HSA-4655427|Reactome: R-HSA-5334118	NA	PR00105	NA	NA	NA
PNP50314.1	NA	NA	IPR011009	NA	NA	G3DSA:3.90.1200.10	SSF56112	NA	PF01636	SM00587	NA	NA	NA	NA	NA	NA	NA
PNP54188.1	mobidb-lite	Coil	IPR003018	GO:0005515;GO:0000155;GO:0007165;GO:0000160;GO:0004672;GO:0005524;GO:0006468;GO:0016310;GO:0016772	cd00082;cd00156;cd16922	G3DSA:3.40.50.2300;G3DSA:3.30.450.40;G3DSA:1.10.510.10;G3DSA:1.10.287.130;G3DSA:3.30.565.10	SSF52172;SSF47384;SSF56112;SSF55781;SSF55874	PS50011;PS50109;PS50110	PF13185;PF00072;PF00512;PF13191;PF02518	SM00388;SM00387;SM00220;SM00065;SM00448	NA	Reactome: R-HSA-113507|Reactome: R-HSA-176187|Reactome: R-HSA-68616|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	NA	PR00344	NA	NA	NA
PNP46464.1	mobidb-lite	NA	IPR003595	GO:0004725;GO:0016311;GO:0006470;GO:0008138;GO:0016791	cd14502	G3DSA:3.90.190.10;G3DSA:3.40.50.1820	SSF53474;SSF52799	PS50056	PF00782;PF12697	SM00404;SM00195	PS00383	NA	NA	NA	NA	NA	NA
PNP58168.1	mobidb-lite	Coil	IPR001965	NA	NA	G3DSA:3.30.40.10	SSF57903	NA	PF00628	SM00249	PS01359	NA	NA	NA	NA	NA	NA
PNP57227.1	NA	NA	IPR005828	GO:0016021;GO:0022857;GO:0055085	cd17356	G3DSA:1.20.1250.20	SSF103473	PS50850	PF00083	NA	NA	NA	NA	NA	NA	NA	NA
PNP60532.1	mobidb-lite	NA	IPR013087	GO:0003676	NA	NA	NA	NA	NA	SM00355	PS00028	NA	NA	NA	NA	NA	NA
PNP55763.1	mobidb-lite	NA	IPR012935	GO:0008270;GO:0042025	NA	NA	NA	NA	PF07967;PF08600	NA	NA	NA	NA	NA	NA	NA	NA
PNP53700.1	NA	NA	IPR000262	GO:0016491;GO:0003824;GO:0055114	NA	G3DSA:3.20.20.70	SSF51395	PS51349	PF01070	NA	PS00557	Reactome: R-HSA-9033241	NA	NA	NA	NA	NA
PNP59117.1	mobidb-lite	NA	IPR015222	GO:0004605;GO:0032049	NA	NA	NA	NA	PF09139	NA	NA	KEGG: 00564+2.7.7.41|KEGG: 04070+2.7.7.41|MetaCyc: PWY-5667|MetaCyc: PWY-5981|MetaCyc: PWY-7817	NA	NA	NA	PIRSF028840	NA
PNP45980.1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP56105.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP55633.1	NA	NA	IPR022025	NA	NA	NA	NA	NA	PF12224	NA	NA	NA	NA	NA	NA	NA	NA
PNP53224.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP54684.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP57598.1	NA	NA	IPR029058	NA	NA	NA	SSF53474	NA	PF08426	NA	NA	NA	NA	NA	NA	NA	NA
PNP52963.1	NA	NA	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	G3DSA:1.10.630.10	SSF48264	NA	PF00067	NA	NA	NA	NA	PR00463;PR00385	NA	NA	NA
PNP53173.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP56592.1	NA	NA	IPR005829	GO:0016021;GO:0022857;GO:0055085;GO:0005315;GO:0006817	cd17364	NA	SSF103473	PS50850	PF00083	NA	PS00217	NA	TIGR00887	NA	NA	NA	NA
PNP59825.1	NA	NA	IPR000297	GO:0003755;GO:0005515	cd00201	G3DSA:3.10.50.40;G3DSA:2.20.70.10	SSF54534;SSF51045	PS50198;PS50020	PF00639;PF00397	SM00456	PS01159	NA	NA	NA	NA	NA	NA
PNP49339.1	mobidb-lite	Coil	IPR012916	GO:0005634	NA	NA	NA	NA	PF07808	NA	NA	NA	NA	NA	NA	NA	NA
PNP54959.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP51460.1	mobidb-lite	Coil	IPR035999	GO:0005086;GO:0032012	cd00171	G3DSA:2.30.29.30;G3DSA:1.10.1000.11	SSF50729;SSF48425	PS50003;PS50190	PF01369	SM00222	NA	NA	NA	NA	NA	NA	NA
PNP54958.1	mobidb-lite	NA	IPR016021	GO:0016070	NA	G3DSA:1.25.40.180	SSF48371	NA	PF09088;PF09090	NA	NA	Reactome: R-HSA-111367|Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167200|Reactome: R-HSA-167242|Reactome: R-HSA-191859|Reactome: R-HSA-674695|Reactome: R-HSA-6803529|Reactome: R-HSA-6807505|Reactome: R-HSA-72086|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-72187|Reactome: R-HSA-72203|Reactome: R-HSA-73856|Reactome: R-HSA-77588|Reactome: R-HSA-77595|Reactome: R-HSA-8851708|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA
PNP58669.1	NA	NA	IPR023296	NA	NA	G3DSA:2.115.10.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP57395.1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP50374.1	NA	NA	IPR036851	GO:0004601	NA	G3DSA:1.10.489.10	SSF47571	PS51405	PF01328	NA	NA	NA	NA	NA	NA	NA	NA
PNP50753.1	NA	NA	IPR036812	NA	cd06660	G3DSA:3.20.20.100	SSF51430	NA	PF00248	NA	NA	NA	NA	NA	NA	NA	NA
PNP51966.1	NA	NA	IPR002734	GO:0008703;GO:0009231;GO:0055114	NA	G3DSA:3.40.430.10	SSF53597	NA	PF01872	NA	NA	Reactome: R-HSA-196757	NA	NA	NA	NA	NA
PNP50585.1	mobidb-lite	NA	IPR029063	NA	cd02440	G3DSA:3.40.50.150	SSF53335	NA	PF13489	NA	NA	NA	NA	NA	NA	NA	NA
PNP47061.1	NA	NA	IPR002469	GO:0006508;GO:0008236	NA	G3DSA:3.40.50.1820;G3DSA:2.140.10.30	SSF82171;SSF53474	NA	PF00930;PF00326	NA	NA	NA	NA	NA	NA	NA	NA
PNP51978.1	NA	NA	IPR006076	GO:0016491;GO:0055114	NA	G3DSA:3.30.9.10;G3DSA:3.50.50.60	SSF51905	NA	PF01266	NA	NA	NA	NA	NA	NA	NA	NA
PNP51137.1	NA	NA	IPR012132	GO:0016614;GO:0050660;GO:0055114	NA	G3DSA:3.30.560.10;G3DSA:3.50.50.60	SSF54373;SSF51905	NA	PF05199;PF00732	NA	PS00624	Reactome: R-HSA-6798163	NA	NA	NA	PIRSF000137	NA
PNP55840.1	mobidb-lite	Coil	IPR012929	GO:0006606	NA	NA	SSF161270	NA	PF07926	NA	NA	Reactome: R-HSA-1169408|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-5619107|Reactome: R-HSA-6784531	NA	NA	NA	NA	NA
PNP55459.1	mobidb-lite	NA	IPR035550	GO:0005515;GO:0035091	cd06890;cd11878;cd05992;cd11879	G3DSA:3.30.1520.10;G3DSA:2.30.30.40;G3DSA:3.10.20.90	SSF50044;SSF64268;SSF54277	PS50002;PS51745;PS50195	PF00564;PF00018;PF00787	SM00666;SM00312;SM00326	NA	NA	NA	PR00452	NA	NA	NA
PNP57981.1	mobidb-lite	NA	IPR018545		NA	NA	NA	NA	PF09405	SM01044	NA	Reactome: R-HSA-159236|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-73856|Reactome: R-HSA-9010553|Reactome: R-HSA-975957	NA	NA	NA	NA	NA
PNP51347.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP56759.1	mobidb-lite	NA	IPR001932	GO:0003824;GO:0043169	cd00143	G3DSA:3.60.40.10	SSF81606	PS51746	PF00481	SM00332	PS01032	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	NA	NA	NA	NA	NA
PNP47103.1	NA	NA	IPR029058	GO:0009058;GO:0016788	NA	NA	SSF53474	NA	PF00975	NA	NA	Reactome: R-HSA-75105	NA	NA	NA	NA	NA
PNP60346.1	mobidb-lite	NA	IPR006121	GO:0030001;GO:0046872;GO:0000166;GO:0006812;GO:0016021;GO:0019829	cd00371;cd02094	G3DSA:3.40.1110.10;G3DSA:3.30.70.100;G3DSA:3.40.50.1000;G3DSA:2.70.150.20	SSF55008;SSF81653;SSF81665;SSF56784	PS50846	PF00403;PF00122;PF00702	NA	PS01047;PS00154	Reactome: R-HSA-936837	TIGR01525;TIGR01494	PR00943;PR00119	NA	NA	SFLDF00027;SFLDS00003
PNP58720.1	NA	NA	IPR021829	NA	cd02440	G3DSA:3.40.50.150	SSF53335	NA	PF13489;PF11899	NA	NA	NA	NA	NA	NA	NA	NA
PNP56117.1	mobidb-lite	Coil	IPR013087	GO:0003676	NA	G3DSA:3.30.160.60	NA	PS50157	NA	SM00355	PS00028	NA	NA	NA	NA	NA	NA
PNP57354.1	mobidb-lite	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	cd12148	NA	NA	NA	PF04082	NA	NA	NA	NA	NA	NA	NA	NA
