Gene	CDD	interpro	GO	Pfam	Gene3D	SUPERFAMILY	SMART	MobiDBLite	PATHWAY	ProSiteProfiles	ProSitePatterns	PRINTS	Coils	TIGRFAM	PIRSF	Hamap	SFLD
PON24960.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24167.1	cd17502	IPR020846	GO:0055085	PF07690	G3DSA:1.20.1720.10	SSF103473	NA	mobidb-lite	NA	PS50850	NA	NA	NA	NA	NA	NA	NA
PON30916.1	NA	IPR036400	GO:0042128;GO:0016491;GO:0030151;GO:0055114	PF00174;PF03404;PF00173	G3DSA:3.10.120.10;G3DSA:3.90.420.10	SSF56524;SSF55856;SSF81296	SM01117	NA	Reactome: R-HSA-1614517	PS50255	NA	PR00407	NA	NA	NA	NA	NA
PON20438.1	NA	IPR008979	GO:0000256;GO:0004037	PF03561	G3DSA:2.60.120.260	SSF49785	NA	NA	KEGG: 00230+3.5.3.4|MetaCyc: PWY-5697	NA	NA	NA	NA	TIGR02961	PIRSF016516	MF_00813	NA
PON30347.1	cd18787;cd17940	IPR014014	GO:0003676;GO:0005524	PF00271;PF00270	G3DSA:3.40.50.300	SSF52540	SM00490;SM00487	mobidb-lite	NA	PS51195;PS51194;PS51192	PS00039	NA	NA	NA	NA	NA	NA
PON21792.1	cd10812	IPR011013	GO:0003824;GO:0005975;GO:0030246;GO:0004559;GO:0006013	PF07748;PF01074;PF17677;PF09261	G3DSA:2.70.98.30;G3DSA:1.20.1270.50;G3DSA:3.20.110.10	SSF74650;SSF88688;SSF88713	SM00872	NA	KEGG: 00511+3.2.1.24|Reactome: R-HSA-8853383	NA	NA	NA	NA	NA	NA	NA	NA
PON29384.1	cd06257;cd10719;cd10747	IPR001623	GO:0006457;GO:0051082;GO:0031072;GO:0005524;GO:0009408	PF00226;PF00684;PF01556	G3DSA:1.10.287.110;G3DSA:2.60.260.20;G3DSA:2.10.230.10	SSF57938;SSF49493;SSF46565	SM00271	mobidb-lite	NA	PS50076;PS51188	NA	PR00625	NA	NA	NA	MF_01152	NA
PON23585.1	NA	IPR017853	GO:0004553;GO:0005975	PF00332	G3DSA:3.20.20.80	SSF51445	NA	mobidb-lite	KEGG: 00500+3.2.1.39	NA	NA	NA	NA	NA	NA	NA	NA
PON26328.1	cd00027	IPR036420	NA	NA	G3DSA:3.40.50.10190	SSF52113	NA	mobidb-lite	NA	PS50172	NA	NA	NA	NA	NA	NA	NA
PON29422.1	NA	IPR036226	GO:0016702;GO:0046872;GO:0055114	PF00305	G3DSA:3.10.450.60;G3DSA:1.20.245.10	SSF48484	NA	mobidb-lite	NA	PS51393	NA	NA	NA	NA	NA	NA	NA
PON26618.1	NA	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497;GO:0016712	PF00067	G3DSA:1.10.630.10	SSF48264	NA	NA	Reactome: R-HSA-211981	NA	PS00086	PR00385;PR00464;PR01239	NA	NA	NA	NA	NA
PON24347.1	NA	IPR006598	NA	PF05686	NA	NA	SM00672	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON28439.1	cd17352	IPR020846	GO:0055085	PF07690	G3DSA:1.20.1250.20	SSF103473	NA	mobidb-lite	NA	PS50850	NA	NA	NA	NA	NA	NA	NA
PON25992.1	NA	IPR013636	NA	PF08427	NA	NA	SM01158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22114.1	NA	IPR036770	GO:0005515	PF12796;PF13637	G3DSA:1.25.40.20	SSF48403	SM00248	mobidb-lite	NA	PS50088;PS50297	NA	NA	NA	NA	NA	NA	NA
PON25076.1	cd00067;cd12148	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF00172;PF04082	G3DSA:4.10.240.10	SSF57701	SM00906;SM00066	NA	NA	PS50048	PS00463	NA	NA	NA	NA	NA	NA
PON30966.1	NA	IPR001810	GO:0005515	NA	NA	SSF81383	NA	mobidb-lite	NA	PS50181	NA	NA	NA	NA	NA	NA	NA
PON22767.1	cd05911	IPR025110	GO:0003824	PF13193;PF00501	G3DSA:3.40.50.980;G3DSA:3.30.300.310;G3DSA:2.30.38.10	SSF56801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON25710.1	cd04902;cd12173	IPR006139	GO:0016616;GO:0051287;GO:0055114;GO:0004617;GO:0006564	PF00389;PF02826	G3DSA:3.40.50.720;G3DSA:3.30.1330.90;G3DSA:3.30.70.260	SSF143548;SSF51735;SSF55021;SSF52283	NA	NA	Reactome: R-HSA-977347	PS51671	NA	NA	NA	TIGR01327	NA	NA	NA
PON24880.1	cd00144	IPR004843	GO:0016787	PF00149	NA	SSF56300	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22466.1	NA	IPR002524	GO:0006812;GO:0008324;GO:0016021;GO:0055085	PF01545	G3DSA:1.20.1510.10	SSF161111;SSF160240	NA	mobidb-lite	Reactome: R-HSA-435368	NA	NA	NA	NA	TIGR01297	NA	NA	NA
PON20858.1	cd07017	IPR023562	GO:0004252;GO:0006508	PF00574	G3DSA:3.90.226.10	SSF52096	NA	NA	NA	NA	PS00382;PS00381	PR00127	NA	NA	NA	MF_00444	NA
PON24310.1	NA	IPR016024	GO:0006886;GO:0016192;GO:0005198;GO:0030130;GO:0030132;GO:0005515;GO:0032051;GO:0071439	PF01394;PF13838;PF00637	G3DSA:1.25.40.730;G3DSA:2.130.10.110;G3DSA:1.25.40.10	SSF48371;SSF50989	SM00299	NA	Reactome: R-HSA-190873|Reactome: R-HSA-196025|Reactome: R-HSA-3928665|Reactome: R-HSA-8856825|Reactome: R-HSA-8856828	PS50236	NA	NA	Coil	NA	PIRSF002290	NA	NA
PON26280.1	NA	IPR013241	GO:0006364;GO:0008033	PF08228	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27793.1	cd17356	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0016020	PF00083	G3DSA:1.20.1250.20	SSF103473	NA	NA	Reactome: R-HSA-189200	PS50850	PS00217	NA	NA	TIGR00879	NA	NA	NA
PON25162.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26495.1	cd07564	IPR003010	GO:0006807	PF00795	G3DSA:3.60.110.10	SSF56317	NA	NA	NA	PS50263	NA	NA	NA	NA	NA	NA	NA
PON20292.1	NA	IPR018554	GO:0005634;GO:0005737;GO:0006355;GO:0007623	PF09421	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29114.1	cd06184;cd08922	IPR008333	GO:0016491;GO:0055114;GO:0019825;GO:0020037	PF00970;PF00175;PF00042	G3DSA:1.10.490.10;G3DSA:3.40.50.80;G3DSA:2.40.30.10	SSF46458;SSF63380;SSF52343	NA	NA	Reactome: R-HSA-1237044	PS51384;PS01033	NA	PR00406;PR00371	NA	NA	NA	NA	NA
PON26535.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20754.1	NA	IPR002523	GO:0016020;GO:0030001;GO:0046873;GO:0055085	PF01544	G3DSA:1.20.58.340	SSF144083	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24327.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21005.1	cd14785	IPR004907	GO:0015078;GO:0033180;GO:1902600	PF03223	G3DSA:3.30.70.1180;G3DSA:1.20.1460.10;G3DSA:3.30.70.100	SSF118203	NA	NA	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-9639288|Reactome: R-HSA-983712	NA	NA	NA	Coil	NA	NA	NA	NA
PON24742.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24976.1	cd05118	IPR000719	GO:0004672;GO:0005524;GO:0006468	PF00069	G3DSA:3.30.200.20;G3DSA:1.10.510.10	SSF56112	SM00220	NA	NA	PS50011	PS00107;PS00108	NA	NA	NA	NA	NA	NA
PON28935.1	NA	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	PF00067	G3DSA:1.10.630.10	SSF48264	NA	NA	NA	NA	NA	PR00465	NA	NA	NA	NA	NA
PON28188.1	NA	IPR010435	GO:0004252;GO:0005618;GO:0016020;GO:0006508	PF06280;PF00082	G3DSA:3.40.50.200	SSF52743	NA	NA	NA	NA	PS00136;PS00138	PR00723	NA	NA	NA	NA	NA
PON22195.1	cd02440	IPR029063	NA	PF13489	G3DSA:3.40.50.150	SSF53335	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21002.1	cd00067;cd12148	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF00172;PF04082	G3DSA:4.10.240.10	SSF57701	SM00906;SM00066	NA	NA	PS50048	PS00463	NA	Coil	NA	NA	NA	NA
PON21517.1	NA	IPR003958	GO:0046982	PF00808	G3DSA:1.10.20.10	SSF47113	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23489.1	NA	IPR001466	NA	PF00144	G3DSA:3.40.710.10	SSF56601	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22147.1	cd05233	IPR002347	GO:0016491	PF13561	G3DSA:3.40.50.720	SSF51735	NA	NA	NA	NA	PS00061	PR00081;PR00080	NA	NA	NA	NA	NA
PON23675.1	cd04652	IPR001451	NA	PF00132	G3DSA:2.160.10.10	SSF53448	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON21209.1	NA	IPR000791	GO:0016021	PF01184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30731.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20587.1	NA	IPR036770	NA	PF06985	G3DSA:1.25.40.20	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30249.1	NA	IPR007590	NA	PF04502	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON30616.1	NA	IPR000818	GO:0003700;GO:0006355	PF01285	G3DSA:1.10.10.1610	NA	SM00426	mobidb-lite	Reactome: R-HSA-2032785|Reactome: R-HSA-8951671	PS51088	NA	NA	NA	NA	NA	NA	NA
PON31107.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21978.1	NA	IPR008030		PF05368	G3DSA:3.40.50.720;G3DSA:3.90.25.10	SSF51735	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA	NA
PON20489.1	NA	IPR009057	GO:0003677	PF04218;PF03221	G3DSA:1.10.10.60	SSF46689	SM00674	mobidb-lite	NA	PS51253	NA	NA	NA	NA	NA	NA	NA
PON20792.1	NA	IPR028941	NA	PF15613;PF15612;PF10537;PF02791	NA	NA	NA	mobidb-lite	NA	PS51136;PS50827	NA	NA	Coil	NA	NA	NA	NA
PON29999.1	NA	IPR029044	NA	PF03142	G3DSA:3.90.550.10	SSF53448	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29084.1	NA	IPR002035	NA	PF13768;PF08487	G3DSA:3.40.50.410	SSF53300	SM00327;SM00609	NA	NA	PS50234;PS51468	NA	NA	NA	NA	NA	NA	NA
PON23352.1	NA	IPR002938	GO:0071949	PF01494	G3DSA:3.50.50.60	SSF51905	NA	NA	NA	NA	NA	PR00420	NA	NA	NA	NA	NA
PON21013.1	NA	IPR022091		PF12325;PF12329	NA	NA	NA	mobidb-lite	Reactome: R-HSA-6811440	NA	NA	NA	Coil	NA	NA	NA	NA
PON26320.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	PS51257	NA	NA	NA	NA	NA	NA	NA
PON29934.1	NA	IPR036188	GO:0071949	PF01494	G3DSA:3.50.50.60	SSF51905	NA	NA	NA	NA	NA	PR00420	NA	NA	NA	NA	NA
PON20981.1	cd00086	IPR001356	GO:0003677;GO:0006355;GO:0043565	PF00046	G3DSA:1.10.10.60	SSF46689	SM00389	mobidb-lite	NA	PS50071	PS00027	NA	Coil	NA	NA	NA	NA
PON25741.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23438.1	NA	IPR016461	GO:0008168;GO:0008171	PF00891	G3DSA:3.40.50.150	SSF53335	NA	NA	NA	PS51683	NA	NA	NA	NA	NA	NA	NA
PON23657.1	NA	IPR011538	GO:0051539;GO:0010181;GO:0016651;GO:0051287;GO:0055114;GO:0008137	PF01512;PF10531;PF10589	G3DSA:3.40.50.11540;G3DSA:1.20.1440.230;G3DSA:3.10.20.600	SSF142019;SSF142984;SSF140490	SM00928	NA	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	PS00645;PS00644	NA	NA	TIGR01959	NA	NA	NA
PON20477.1	cd07414	IPR006186	GO:0016787	PF00149;PF16891	G3DSA:3.60.21.10	SSF56300	SM00156	NA	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	NA	PS00125	PR00114	NA	NA	NA	NA	NA
PON21796.1	cd18026;cd18795	IPR014001	GO:0003676;GO:0005524	PF00270;PF00271	G3DSA:3.40.50.300;G3DSA:1.10.150.20;G3DSA:1.10.3380.30	SSF158702;SSF52540	SM00487;SM00490	mobidb-lite	NA	PS51194;PS51192	NA	NA	NA	NA	NA	NA	NA
PON20970.1	NA	IPR007023	GO:0005634;GO:0042254	PF04939	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30737.1	cd06434	IPR029044	NA	PF13641	G3DSA:3.90.550.10	SSF53448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29112.1	NA	IPR015802	GO:0005507;GO:0008131;GO:0009308;GO:0048038;GO:0055114	PF02728;PF01179	G3DSA:3.10.450.40;G3DSA:2.70.98.20	SSF54416;SSF49998	NA	NA	KEGG: 00260+1.4.3.21|KEGG: 00350+1.4.3.21|KEGG: 00360+1.4.3.21|KEGG: 00410+1.4.3.21|KEGG: 00950+1.4.3.21|KEGG: 00960+1.4.3.21|MetaCyc: PWY-5751|Reactome: R-HSA-211945	NA	PS01164	NA	NA	NA	NA	NA	NA
PON20645.1	cd16276	IPR001279	NA	PF00753	G3DSA:3.60.15.10	SSF56281	SM00849	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29487.1	cd17949;cd18787	IPR001650	GO:0003676;GO:0005524	PF13959;PF00271;PF00270	G3DSA:3.40.50.300	SSF52540	SM00490;SM00487;SM01178	mobidb-lite	NA	PS51194;PS51195;PS51192	NA	NA	NA	NA	NA	NA	NA
PON27022.1	cd09601	IPR014782	GO:0008237;GO:0008270;GO:0006508	PF01433;PF11838;PF17900	G3DSA:1.25.50.20;G3DSA:2.60.40.1730;G3DSA:2.60.40.1910;G3DSA:1.10.390.60	SSF63737;SSF55486	NA	NA	NA	NA	NA	PR00756	NA	NA	NA	NA	NA
PON23977.1	NA	IPR002885	GO:0005515	NA	G3DSA:1.25.40.10	NA	NA	mobidb-lite	NA	PS51375	NA	NA	NA	NA	NA	NA	NA
PON24411.1	NA	IPR003010	GO:0006807	PF00795	G3DSA:3.60.110.10	SSF56317	NA	NA	NA	PS50263	NA	NA	Coil	NA	NA	NA	NA
PON22781.1	cd07938	IPR000891	GO:0003824	PF00682	G3DSA:3.20.20.70	SSF51569	NA	NA	NA	PS50991	NA	NA	NA	NA	NA	NA	NA
PON20156.1	cd17356	IPR005829	GO:0016021;GO:0022857;GO:0055085;GO:0016020	PF00083	G3DSA:1.20.1250.20	SSF103473	NA	NA	Reactome: R-HSA-189200	PS50850	PS00217	NA	NA	TIGR00879	NA	NA	NA
PON24161.1	NA	IPR000182	GO:0008080	NA	G3DSA:3.40.630.30	SSF55729	NA	NA	NA	PS51186	NA	NA	NA	NA	NA	NA	NA
PON26197.1	cd16482	IPR008027	GO:0005743;GO:0005750;GO:0006122;GO:0008270;GO:0030163	PF05365;PF02617;PF02207	G3DSA:2.10.110.30;G3DSA:1.20.5.260	SSF54736;SSF46785;SSF81514	SM00396	mobidb-lite	Reactome: R-HSA-611105	PS51157	NA	NA	NA	NA	NA	NA	NA
PON26358.1	NA	IPR006973	GO:0000398;GO:0005681	PF04889	NA	NA	NA	mobidb-lite	Reactome: R-HSA-72163	NA	NA	NA	Coil	NA	NA	NA	NA
PON24872.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON29851.1	NA	IPR006689	GO:0005525	PF00025	G3DSA:3.40.50.300	SSF52540	SM00178;SM00177;SM00175	NA	NA	PS51417	NA	PR00328	NA	TIGR00231	NA	NA	NA
PON25891.1	cd02440	IPR013216	GO:0008168	PF08241	G3DSA:3.40.50.150	SSF53335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20678.1	NA	IPR019079	NA	PF09587;PF04303	G3DSA:3.10.310.10	SSF56300;SSF54506	SM00854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24271.1	NA	IPR022024	NA	PF12223	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30745.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24427.1	NA	IPR029044	NA	PF05704	G3DSA:3.90.550.20	SSF53448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27372.1	NA	IPR024316	NA	PF12716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON25259.1	cd12148	IPR013087	GO:0003676;GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF04082;PF00096	G3DSA:3.30.160.60	SSF57667	SM00355	mobidb-lite	NA	PS50157	PS00028	NA	NA	NA	NA	NA	NA
PON26757.1	cd00403	IPR028364	NA	PF00687	G3DSA:3.30.190.20;G3DSA:3.40.50.790	SSF56808	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON24859.1	cd11476	IPR001734	GO:0016020;GO:0022857;GO:0055085	PF00474	G3DSA:1.20.1730.10	NA	NA	NA	NA	PS50283	NA	NA	Coil	TIGR00813	NA	NA	NA
PON27333.1	NA	IPR015424	GO:0019346;GO:0030170;GO:0003824	PF01053	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	SSF53383	NA	NA	Reactome: R-HSA-1614558|Reactome: R-HSA-1614603|Reactome: R-HSA-2408508	NA	PS00868	NA	NA	NA	PIRSF001434	NA	NA
PON23105.1	cd17327	IPR036259	NA	NA	G3DSA:1.20.1250.20	SSF103473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21219.1	cd07836	IPR000719	GO:0004672;GO:0005524;GO:0006468	PF00069	G3DSA:3.30.200.20;G3DSA:1.10.510.10	SSF56112	SM00220	NA	NA	PS50011	PS00108;PS00107	NA	NA	NA	PIRSF000654	NA	NA
PON22514.1	NA	IPR000552	GO:0003735;GO:0005840;GO:0006412	PF00935	G3DSA:3.10.450.80	SSF57829	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	PS01172	NA	NA	NA	NA	NA	NA
PON24525.1	cd01557	IPR033939	GO:0004084;GO:0009081;GO:0003824	PF01063	G3DSA:3.30.470.10;G3DSA:3.20.10.10	SSF56752	NA	NA	KEGG: 00270+2.6.1.42|KEGG: 00280+2.6.1.42|KEGG: 00290+2.6.1.42|KEGG: 00770+2.6.1.42|KEGG: 00966+2.6.1.42|MetaCyc: PWY-5057|MetaCyc: PWY-5076|MetaCyc: PWY-5078|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-5108|MetaCyc: PWY-7767|Reactome: R-HSA-70895	NA	NA	NA	NA	NA	PIRSF006468	NA	NA
PON26349.1	cd08641	IPR041336	GO:0003677;GO:0005760;GO:0006260;GO:0003887	PF18136;PF00476	G3DSA:3.30.70.370;G3DSA:1.10.150.20;G3DSA:3.30.420.390	SSF56672;SSF53098	SM00482	mobidb-lite	NA	NA	PS00447	PR00867	NA	NA	NA	NA	NA
PON29406.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30638.1	NA	IPR036291	NA	PF00106	G3DSA:3.40.50.720	SSF51735	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA
PON20379.1	NA	IPR006070	GO:0003725;GO:0071949	PF13450;PF01300;PF01494	G3DSA:3.90.870.10;G3DSA:3.50.50.60	SSF51905;SSF55821	NA	NA	NA	PS51163	NA	PR00420	Coil	NA	NA	NA	NA
PON27082.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON27771.1	cd17352	IPR011701	GO:0055085	PF07690	G3DSA:1.20.1250.20	SSF103473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30982.1	NA	IPR002480	GO:0003849;GO:0009073	PF01474	NA	SSF51569	NA	mobidb-lite	KEGG: 00400+2.5.1.54|MetaCyc: PWY-6164	NA	NA	NA	NA	NA	NA	NA	NA
PON23702.1	cd17476	IPR020846	GO:0055085	PF07690	G3DSA:1.20.1250.20	SSF103473	NA	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA
PON25521.1	cd00180	IPR011009	GO:0004672;GO:0005524;GO:0006468	NA	G3DSA:1.10.510.10	SSF56112	NA	NA	NA	PS50011	NA	NA	NA	NA	NA	NA	NA
PON27482.1	NA	IPR034085		PF08920	G3DSA:1.25.10.10	SSF48371	SM01349	mobidb-lite	Reactome: R-HSA-5250924|Reactome: R-HSA-72163|Reactome: R-HSA-72165	NA	NA	NA	Coil	NA	NA	NA	NA
PON21330.1	cd12087;cd11854	IPR001452	GO:0005515	PF14604	G3DSA:2.30.30.40	SSF50044	SM00326	mobidb-lite	NA	PS50002	NA	NA	NA	NA	NA	NA	NA
PON30132.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30337.1	NA	IPR036465	GO:0006886;GO:0006888;GO:0030127;GO:0008270	PF04811;PF04810;PF04815;PF00626;PF08033	G3DSA:2.60.40.1670;G3DSA:3.40.50.410;G3DSA:3.40.20.10;G3DSA:2.30.30.380;G3DSA:1.20.120.730	SSF82754;SSF82919;SSF53300;SSF81811;SSF81995	NA	mobidb-lite	Reactome: R-HSA-1655829|Reactome: R-HSA-204005|Reactome: R-HSA-2132295|Reactome: R-HSA-5694530|Reactome: R-HSA-983170	NA	NA	NA	NA	NA	NA	NA	NA
PON22873.1	NA	IPR018108	NA	PF00153	G3DSA:1.50.40.10	SSF103506	NA	NA	NA	PS50920	NA	NA	NA	NA	NA	NA	NA
PON26064.1	NA	IPR019328	GO:0017176	PF10181	NA	NA	NA	NA	KEGG: 00563+2.4.1.198|Reactome: R-HSA-162710	NA	NA	NA	NA	NA	NA	NA	NA
PON28911.1	NA	IPR000639	GO:0003824	PF12697	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	PR00412	NA	NA	NA	NA	NA
PON21550.1	cd00180	IPR000719	GO:0004672;GO:0005524;GO:0006468	PF00069	G3DSA:1.10.510.10	SSF56112	SM00220	NA	NA	PS50011	NA	NA	NA	NA	NA	NA	NA
PON23097.1	NA	IPR008030		PF05368	G3DSA:3.90.25.10;G3DSA:3.40.50.720	SSF51735	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA	NA
PON21287.1	NA	IPR019727	GO:0000276;GO:0015986	PF10791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20672.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29820.1	cd00413	IPR013320	GO:0004553;GO:0005975	PF00722	G3DSA:2.60.120.200	SSF49899	NA	NA	NA	PS51762	NA	NA	NA	NA	NA	NA	NA
PON30309.1	cd17356	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0016020	PF00083	G3DSA:1.20.1250.20	SSF103473	NA	NA	Reactome: R-HSA-189200	PS50850	PS00216;PS00217	PR00171	NA	TIGR00879	NA	NA	NA
PON27357.1	NA	IPR008386	GO:0000276;GO:0015078;GO:0015986	PF05680	NA	NA	NA	NA	Reactome: R-HSA-163210|Reactome: R-HSA-8949613	NA	NA	NA	Coil	NA	NA	NA	NA
PON24027.1	cd07840	IPR000719	GO:0004672;GO:0005524;GO:0006468	PF00069	G3DSA:1.10.510.10;G3DSA:3.30.200.20	SSF56112	SM00220	mobidb-lite	NA	PS50011	PS00107;PS00108	NA	Coil	NA	NA	NA	NA
PON24477.1	cd03784	IPR002213	GO:0016758;GO:0005975;GO:0030259	PF00201;PF03033	G3DSA:3.40.50.2000	SSF53756	NA	NA	Reactome: R-HSA-156588	NA	NA	NA	NA	NA	NA	NA	NA
PON23028.1	cd06412	IPR017853	GO:0003796;GO:0009253;GO:0016998	PF01183	G3DSA:3.20.20.80	SSF51445	SM00641	NA	NA	NA	PS00953	NA	NA	NA	NA	NA	NA
PON19986.1	NA	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	G3DSA:1.10.510.10	SSF56112	NA	mobidb-lite	NA	PS50011	PS00109	NA	Coil	NA	NA	NA	NA
PON25711.1	cd04590	IPR000644	NA	PF01595	G3DSA:3.10.580.10	SSF54631	NA	mobidb-lite	NA	PS51371;PS51846	NA	NA	NA	NA	NA	NA	NA
PON23898.1	NA	IPR013870		PF08561	NA	NA	NA	mobidb-lite	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	Coil	NA	NA	NA	NA
PON23283.1	NA	IPR015222	GO:0004605;GO:0032049	PF09139	NA	NA	NA	mobidb-lite	KEGG: 00564+2.7.7.41|KEGG: 04070+2.7.7.41|MetaCyc: PWY-5667|MetaCyc: PWY-5981|MetaCyc: PWY-7817	NA	NA	NA	NA	NA	PIRSF028840	NA	NA
PON25531.1	NA	IPR008389	GO:0015078;GO:0033179;GO:1902600	PF05493	NA	NA	NA	NA	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-9639288|Reactome: R-HSA-983712	NA	NA	NA	NA	NA	NA	NA	NA
PON25451.1	NA	IPR011990	GO:0005515	PF12770	G3DSA:1.25.40.10	SSF48452	SM00028	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON25694.1	cd03038	IPR036249	GO:0005515	PF13417	G3DSA:1.20.1050.10;G3DSA:3.40.30.10	SSF52833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21050.1	cd18673	IPR001878	GO:0003676;GO:0008270;GO:0004527;GO:0004534;GO:0005634;GO:0006139	PF03159;PF17846	G3DSA:3.30.110.100;G3DSA:3.40.50.12390	NA	NA	mobidb-lite	Reactome: R-HSA-390471|Reactome: R-HSA-6791226	PS50158	NA	NA	Coil	NA	PIRSF037239	NA	NA
