Gene	interpro	GO	ProSiteProfiles	Pfam	Gene3D	MobiDBLite	SUPERFAMILY	SMART	Coils	CDD	PRINTS	ProSitePatterns	PATHWAY	PIRSF	TIGRFAM	Hamap	SFLD
PTB53220.1	IPR031359	NA	NA	PF17100	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54888.1	IPR027521	GO:0004518;GO:0034477	NA	PF09749	G3DSA:3.90.1140.10	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_03040	NA
PTB52373.1	IPR029030	NA	NA	PF00656	G3DSA:3.40.50.12660	mobidb-lite	SSF52129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47993.1	IPR023026	GO:0000162;GO:0004834;GO:0003824;GO:0006568	NA	PF00290;PF00291	G3DSA:3.40.50.1100;G3DSA:3.20.20.70	NA	SSF51366;SSF53686	NA	NA	cd04724;cd06446	NA	PS00167;PS00168	KEGG: 00260+4.2.1.20|KEGG: 00400+4.2.1.20	NA	TIGR00262;TIGR00263	MF_00133;MF_00131	NA
PTB48099.1	IPR011333	GO:0005515	PS50097	PF00651	G3DSA:3.30.710.10	mobidb-lite	SSF54695	NA	NA	cd18186	NA	NA	NA	NA	NA	NA	NA
PTB47325.1	IPR000254	GO:0005576;GO:0005975;GO:0030248;GO:0006508;GO:0008236	PS51164	PF00734;PF00326	G3DSA:3.40.50.1820	NA	SSF53474;SSF57180	SM00236	NA	NA	NA	PS00562	NA	NA	NA	NA	NA
PTB51505.1	IPR036291	GO:0016491	NA	PF01408	G3DSA:3.40.50.720;G3DSA:3.30.360.10	NA	SSF55347;SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60017.1	IPR008030		NA	PF05368	G3DSA:3.90.25.10;G3DSA:3.40.50.720	NA	SSF51735	NA	NA	NA	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA
PTB47872.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	PF00172	G3DSA:4.10.240.10	NA	SSF57701	SM00066	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50812.1	IPR000182	GO:0008080	PS51186	PF00583	G3DSA:3.40.630.30	NA	SSF55729	NA	NA	cd04301	NA	NA	NA	NA	NA	NA	NA
PTB53954.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB47649.1	IPR017850	GO:0003824;GO:0008484	NA	PF16347;PF00884	G3DSA:3.40.720.10	NA	SSF53649	NA	NA	cd16031	NA	PS00149;PS00523	Reactome: R-HSA-2024096|Reactome: R-HSA-2206307	NA	NA	NA	NA
PTB51447.1	IPR036188	NA	NA	PF13738	G3DSA:3.50.50.60	NA	SSF51905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58593.1	IPR006913	GO:0016846	NA	PF04828	G3DSA:3.90.1590.10	NA	SSF51316	NA	NA	NA	NA	NA	KEGG: 00680+4.4.1.22|MetaCyc: PWY-1801	NA	NA	NA	NA
PTB55635.1	IPR001611	GO:0005515	NA	PF13516	G3DSA:3.80.10.10	NA	SSF52047	SM00368	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49079.1	IPR002293	GO:0016020;GO:0022857;GO:0055085	NA	PF13520	G3DSA:1.20.1740.10	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	PIRSF006060	NA	NA	NA
PTB50413.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59770.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB53040.1	IPR025676	NA	NA	PF14420	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50505.1	IPR008253	GO:0016020	NA	PF01284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55246.1	IPR011032	GO:0055114;GO:0008270;GO:0016491	NA	PF08240;PF00107	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	SSF50129;SSF51735	SM00829	NA	cd08241	NA	PS01162	NA	NA	NA	NA	NA
PTB58116.1	IPR007111	GO:0005515;GO:0003824;GO:0009116	PS50294;PS50837;PS50082	PF05729;PF00400	G3DSA:3.40.50.300;G3DSA:2.130.10.10	NA	SSF52540;SSF53167;SSF82171	SM00320	NA	cd09008	NA	PS00678	NA	NA	NA	NA	NA
PTB58107.1	IPR018506	GO:0020037	PS50255	PF00173	G3DSA:3.10.120.10	NA	SSF55856	SM01117	NA	NA	PR00363	PS00191	NA	NA	NA	NA	NA
PTB55377.1	IPR005829	GO:0016021;GO:0022857;GO:0055085;GO:0016020	PS50850	PF00083	G3DSA:1.20.1250.20	mobidb-lite	SSF103473	NA	Coil	cd17356	PR00171	PS00217	Reactome: R-HSA-189200	NA	TIGR00879	NA	NA
PTB55069.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60861.1	IPR002867	NA	PS51873	PF01485	G3DSA:1.20.120.1750;G3DSA:3.30.40.10	mobidb-lite	SSF57850	NA	NA	NA	NA	PS00518	NA	NA	NA	NA	NA
PTB50925.1	IPR036188	GO:0071949	NA	PF01494	G3DSA:3.30.9.50;G3DSA:3.50.50.60;G3DSA:3.40.30.120	NA	SSF51905;SSF54373	NA	NA	NA	PR00420	NA	NA	NA	NA	NA	NA
PTB57711.1	IPR000571	GO:0046872	PS50103	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB57881.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54015.1	IPR017853	GO:0004553;GO:0005975;GO:0003824	NA	PF16499;PF17801	G3DSA:2.60.40.1180;G3DSA:3.20.20.70	NA	SSF51445;SSF51011	NA	NA	cd14792	PR00740	PS00512	KEGG: 00052+3.2.1.22|KEGG: 00561+3.2.1.22|KEGG: 00600+3.2.1.22|KEGG: 00603+3.2.1.22|MetaCyc: PWY-6527	NA	NA	NA	NA
PTB60867.1	IPR000679	GO:0006355;GO:0008270;GO:0043565	PS50114	PF00320	G3DSA:3.30.50.10	mobidb-lite	SSF57716	SM00401	Coil	cd00202	PR00619	PS00344	Reactome: R-HSA-383280	NA	NA	NA	NA
PTB56434.1	IPR002995	GO:0016021	NA	PF02077	NA	NA	NA	NA	NA	NA	NA	PS01339	Reactome: R-HSA-6798695|Reactome: R-HSA-6811434	NA	NA	NA	NA
PTB59333.1	IPR035994	GO:0003824;GO:0009116	NA	NA	G3DSA:3.40.50.1580	NA	SSF53167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49148.1	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB50380.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB57800.1	IPR008401	GO:0005680	NA	PF05839	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-983168	NA	NA	NA	NA
PTB55942.1	IPR006076	GO:0016491;GO:0055114	NA	PF01266	G3DSA:3.30.9.10;G3DSA:3.50.50.60	mobidb-lite	SSF51905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48916.1	IPR021858	NA	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48575.1	IPR029058	NA	NA	NA	G3DSA:3.40.50.1820	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52345.1	IPR002092	GO:0003677;GO:0003899;GO:0006351	NA	PF14700;PF00940	G3DSA:1.10.287.280;G3DSA:1.10.287.260;G3DSA:1.10.150.20;G3DSA:1.10.1320.10;G3DSA:3.30.70.370	mobidb-lite	SSF56672	SM01311	NA	NA	NA	PS00900;PS00489	Reactome: R-HSA-163282|Reactome: R-HSA-2151201	NA	NA	NA	NA
PTB48186.1	IPR037674	GO:0006506;GO:0051377;GO:0003824	NA	PF01663	G3DSA:3.40.720.10	NA	SSF53649	NA	NA	cd16024	NA	NA	Reactome: R-HSA-162710	NA	NA	NA	NA
PTB51407.1	IPR013121	GO:0016491;GO:0055114	PS51384	PF08030;PF01794;PF08022	G3DSA:3.40.50.80	NA	SSF52343	NA	NA	cd06186	NA	NA	NA	NA	NA	NA	SFLDS00052;SFLDG01168
PTB48857.1	IPR001870	GO:0005515	PS50188	PF00622	G3DSA:2.60.120.920	mobidb-lite	SSF49899;SSF48403	SM00449	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51911.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52715.1	IPR003010	GO:0006807	PS50263	PF00795	G3DSA:3.60.110.10	mobidb-lite	SSF56317	NA	Coil	cd07566	NA	NA	NA	NA	NA	NA	NA
PTB60020.1	IPR036291		NA	PF05368	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	cd05259	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA
PTB57580.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52073.1	IPR042098	GO:0016491;GO:0055114	NA	PF02668	G3DSA:3.60.130.10	NA	SSF51197	NA	NA	NA	NA	NA	Reactome: R-HSA-71262	NA	NA	NA	NA
PTB47775.1	IPR011856	GO:0003676;GO:0004518;GO:0006388;GO:0000213;GO:0000214;GO:0000379	NA	PF01974	G3DSA:3.40.1350.10	mobidb-lite	SSF53032	NA	NA	NA	NA	NA	MetaCyc: PWY-6689|MetaCyc: PWY-7803|Reactome: R-HSA-6784531	PIRSF017250	NA	NA	NA
PTB52504.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49434.1	IPR013057	NA	NA	PF01490	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54624.1	IPR041367	GO:0046872	PS50103	PF18044	G3DSA:4.10.1000.10	mobidb-lite	SSF90229	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB48992.1	IPR021858	NA	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58570.1	IPR036237	NA	NA	PF01261	G3DSA:3.20.20.150	NA	SSF51658	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59426.1	IPR021765	GO:0043386	NA	PF11807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59579.1	IPR012337	GO:0003676	NA	NA	G3DSA:3.30.420.10	NA	SSF53098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52458.1	IPR011008	NA	NA	PF07978	G3DSA:3.30.70.100	mobidb-lite	SSF54909	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB51967.1	IPR009939	GO:0016977	NA	PF07335	NA	NA	NA	NA	NA	NA	NA	NA	KEGG: 00520+3.2.1.132	NA	NA	NA	NA
PTB55394.1	IPR002634	NA	NA	PF01722	G3DSA:3.30.300.90	mobidb-lite	SSF82657	NA	Coil	NA	NA	NA	NA	PIRSF003113	NA	NA	NA
PTB48749.1	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0016020	PS50850	PF00083	G3DSA:1.20.1250.20	NA	SSF103473	NA	NA	cd17356	PR00171	PS00217	Reactome: R-HSA-189200	NA	NA	NA	NA
PTB52968.1	IPR017850	GO:0003824;GO:0016788	NA	PF04185	G3DSA:3.40.720.10	NA	NA	NA	NA	cd16014	NA	NA	NA	NA	NA	NA	NA
PTB59815.1	IPR036612	GO:0003723	NA	PF17903	G3DSA:3.30.1370.10	mobidb-lite	SSF54791	NA	NA	NA	NA	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA
PTB49326.1	IPR035979	GO:0003676	PS50102	PF00076	G3DSA:3.30.70.330	mobidb-lite	SSF54928	SM00360	NA	cd12387	NA	NA	NA	NA	NA	NA	NA
PTB61021.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58745.1	IPR027267	GO:0005096	PS50003;PS50115	PF01412;PF00169;PF16746	G3DSA:2.30.29.30;G3DSA:1.20.1270.60;G3DSA:3.30.40.160	mobidb-lite	SSF50729;SSF103657;SSF57863	SM00105;SM00233	Coil	cd08204;cd07608	NA	NA	NA	NA	NA	NA	NA
PTB49752.1	IPR011701	GO:0055085	NA	PF07690	G3DSA:1.20.1250.20	mobidb-lite	SSF103473	NA	NA	cd17352	NA	NA	NA	NA	NA	NA	NA
PTB60200.1	IPR036291	NA	NA	PF00106	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	cd05325	PR00081	NA	NA	NA	NA	NA	NA
PTB61253.1	IPR002642	GO:0004620;GO:0009395	PS51210	PF01735	G3DSA:3.40.1090.10	NA	SSF52151	SM00022	Coil	cd00147	NA	NA	Reactome: R-HSA-1482788|Reactome: R-HSA-1482801|Reactome: R-HSA-1482839|Reactome: R-HSA-1482922|Reactome: R-HSA-1483115	NA	NA	NA	NA
PTB51258.1	IPR036291	NA	NA	PF13561	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	cd05233	PR00081	NA	NA	NA	NA	NA	NA
PTB55050.1	IPR003961	GO:0005515	PS50853	PF00041	G3DSA:2.60.40.10	mobidb-lite	SSF49265	SM00060	Coil	cd00063	NA	NA	NA	NA	NA	NA	NA
PTB52718.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB53098.1	IPR012202	GO:0003924;GO:0016151;GO:0006807	NA	PF02492	G3DSA:3.40.50.300	mobidb-lite	SSF52540	NA	NA	cd05540	NA	NA	NA	PIRSF005624	TIGR00101	MF_01389	NA
PTB48335.1	IPR001000	GO:0004553;GO:0005975	PS51760	PF00331	G3DSA:3.20.20.80	NA	SSF51445	SM00633	NA	NA	PR00134	NA	MetaCyc: PWY-6717|MetaCyc: PWY-6784	NA	NA	NA	NA
PTB58259.1	IPR007111	NA	NA	PF05729	G3DSA:3.40.50.300	NA	SSF53474;SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51341.1	IPR041157	NA	NA	PF18457	G3DSA:2.60.40.3820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59277.1	IPR004840	GO:0006865;GO:0016021;GO:0055085;GO:0016020;GO:0022857	NA	PF00324	G3DSA:1.20.1740.10	mobidb-lite	NA	NA	NA	NA	NA	PS00218	NA	PIRSF006060	NA	NA	NA
PTB50900.1	IPR021858	NA	NA	PF11951	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB56878.1	IPR042099	GO:0003824;GO:0003987;GO:0016208;GO:0019427	NA	PF00501;PF13193;PF16177	G3DSA:3.40.50.12780;G3DSA:3.30.300.30	NA	SSF56801	NA	NA	cd05966	NA	PS00455	KEGG: 00010+6.2.1.1|KEGG: 00620+6.2.1.1|KEGG: 00630+6.2.1.1|KEGG: 00640+6.2.1.1|KEGG: 00680+6.2.1.1|KEGG: 00720+6.2.1.1|MetaCyc: PWY-5108|MetaCyc: PWY-5132|MetaCyc: PWY-5133|MetaCyc: PWY-6672|MetaCyc: PWY-7118|MetaCyc: PWY-7857|Reactome: R-HSA-71384	NA	TIGR02188	NA	NA
PTB50721.1	IPR022093	NA	NA	PF12331	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB61039.1	IPR036915	NA	NA	NA	NA	NA	SSF47954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49172.1	IPR001932	GO:0003824;GO:0043169	PS51746	PF00481	G3DSA:3.60.40.10	mobidb-lite	SSF81606	SM00332	NA	cd00143	NA	PS01032	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	NA	NA	NA	NA
PTB51922.1	IPR005013	GO:0005789;GO:0018279	NA	PF03345	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1799339|Reactome: R-HSA-446203|Reactome: R-HSA-6798695|Reactome: R-HSA-879415	NA	NA	NA	NA
PTB55279.1	IPR010490	GO:0006891;GO:0017119	NA	PF06419	NA	NA	NA	SM01087	Coil	NA	NA	NA	Reactome: R-HSA-6807878|Reactome: R-HSA-6811438|Reactome: R-HSA-6811440	NA	NA	NA	NA
PTB59928.1	IPR000172	GO:0016614;GO:0050660;GO:0055114	NA	PF00732;PF05199	G3DSA:3.50.50.60;G3DSA:3.30.560.10	NA	SSF54373;SSF51905	NA	NA	NA	NA	PS00623;PS00624	Reactome: R-HSA-6798163	PIRSF000137	NA	NA	NA
PTB50949.1	IPR000426	GO:0004175;GO:0006511;GO:0019773;GO:0005839;GO:0051603;GO:0004298	PS51475	PF10584;PF00227	G3DSA:3.60.20.10	NA	SSF56235	SM00948	NA	cd03752	NA	PS00388;PS00854	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	NA	NA
PTB53605.1	IPR038377	GO:0016020;GO:0022857;GO:0055085	PS50283	PF00474	G3DSA:1.20.1730.10	mobidb-lite	NA	NA	NA	cd11476	NA	NA	NA	NA	NA	NA	NA
PTB53421.1	IPR016024	NA	NA	NA	G3DSA:1.25.10.10	mobidb-lite	SSF48371	SM01349	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB52535.1	IPR011701	GO:0055085	PS50850	PF07690	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	NA	SSF103473	NA	NA	cd17323	NA	NA	NA	NA	NA	NA	NA
PTB59158.1	IPR007603		NA	PF04515	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1483191|Reactome: R-HSA-425366	NA	NA	NA	NA
PTB52624.1	IPR017956	GO:0003677	NA	PF02178	NA	mobidb-lite	NA	SM00384	NA	NA	PR00929	NA	NA	NA	NA	NA	NA
PTB61126.1	IPR021833	NA	NA	PF11905	NA	mobidb-lite	NA	NA	Coil	cd14688	NA	NA	NA	NA	NA	NA	NA
PTB59653.1	NA	NA	NA	NA	G3DSA:1.20.140.150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB53672.1	IPR025533	NA	NA	PF14388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58401.1	IPR004695	GO:0016021;GO:0055085;GO:0015140;GO:0071423	NA	PF03595	G3DSA:1.50.10.150	mobidb-lite	NA	NA	NA	cd09317	NA	NA	NA	NA	NA	NA	NA
PTB48597.1	IPR029058	GO:0006508;GO:0008236;GO:0004252	NA	PF00326	G3DSA:3.40.50.1820;G3DSA:2.120.10.30	NA	SSF53474;SSF82171	NA	NA	NA	NA	PS00708	NA	NA	NA	NA	NA
PTB48965.1	IPR036249	GO:0005515	PS50404;PS50405	PF00043;PF02798	G3DSA:1.20.1050.10;G3DSA:3.40.30.10	NA	SSF52833;SSF47616	NA	NA	cd03048	NA	NA	NA	NA	NA	NA	SFLDG01151;SFLDS00019
PTB52210.1	IPR029058	GO:0016747;GO:0016787	NA	PF01738	G3DSA:3.40.50.1820;G3DSA:1.10.10.800	NA	SSF53474	NA	Coil	NA	NA	PS00099	NA	NA	NA	NA	NA
PTB57367.1	IPR035994	GO:0003824;GO:0009116	NA	NA	G3DSA:3.40.50.300	NA	SSF53167;SSF52540	NA	NA	cd09008	NA	NA	NA	NA	NA	NA	NA
PTB57655.1	IPR000757	GO:0004553;GO:0005975	PS51762	PF00722	G3DSA:2.60.120.200	mobidb-lite	SSF49899	NA	NA	cd02181	NA	NA	NA	NA	NA	NA	NA
PTB48343.1	IPR000873	GO:0003824;GO:0031177;GO:0003700;GO:0006355;GO:0043565;GO:0009058;GO:0016788	PS50075;PS50039	PF00501;PF00668;PF00550;PF00975	G3DSA:3.40.50.12780;G3DSA:3.30.559.30;G3DSA:3.30.300.30;G3DSA:3.30.559.10;G3DSA:1.10.1200.10;G3DSA:3.40.50.1820	mobidb-lite	SSF56801;SSF52777;SSF47336;SSF53474	SM00823	NA	cd05918	NA	PS00455	Reactome: R-HSA-389661	NA	NA	NA	NA
PTB59047.1	IPR004895	NA	NA	PF03208	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50018.1	IPR025124	NA	NA	PF13259	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55105.1	IPR018085	GO:0006281;GO:0016799;GO:0004844;GO:0006284	NA	PF03167	G3DSA:3.40.470.10	mobidb-lite	SSF52141	SM00986;SM00987	NA	cd10027	NA	PS00130	Reactome: R-HSA-110328|Reactome: R-HSA-110329|Reactome: R-HSA-110357	NA	TIGR00628	MF_00148	NA
PTB58743.1	IPR027528	GO:0003743;GO:0005737;GO:0005852	PS50250	PF01399;PF18005	G3DSA:1.25.40.570	mobidb-lite	NA	SM00753;SM00088	Coil	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	NA	MF_03012	NA
PTB57305.1	IPR004600	GO:0000439;GO:0006289;GO:0006355	NA	PF03850	G3DSA:3.40.50.410	mobidb-lite	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167246|Reactome: R-HSA-427413|Reactome: R-HSA-5696395|Reactome: R-HSA-5696400|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-72086|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-73863|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-77075	NA	NA	NA	NA
PTB54822.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52055.1	IPR036704	NA	NA	PF03737	G3DSA:3.50.30.100	NA	SSF89562	NA	NA	cd16841	NA	NA	NA	NA	NA	NA	NA
PTB48003.1	IPR025444	NA	NA	PF13826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47879.1	IPR036291	GO:0004735;GO:0006561;GO:0055114	NA	PF03807;PF14748	G3DSA:1.10.3730.10;G3DSA:3.40.50.720	NA	SSF51735;SSF48179	NA	NA	NA	NA	NA	KEGG: 00330+1.5.1.2|MetaCyc: PWY-3341|MetaCyc: PWY-4981|MetaCyc: PWY-6344|Reactome: R-HSA-8964539	PIRSF000193	NA	MF_01925	NA
PTB52169.1	NA	NA	NA	PF13343	G3DSA:3.40.190.10	NA	SSF53850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60482.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55070.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB53453.1	IPR000254	GO:0005576;GO:0005975;GO:0030248;GO:0005515	PS51164	PF00734	G3DSA:2.130.10.10	mobidb-lite	SSF57180;SSF110296	SM00236	NA	cd15482	NA	PS00562	NA	NA	NA	NA	NA
PTB51078.1	IPR001180	NA	PS50219	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB50168.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59175.1	IPR036291	NA	NA	PF13561	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	NA	PR00081	NA	NA	NA	NA	NA	NA
PTB59096.1	IPR001810	GO:0005515	PS50181;PS50294;PS50082	PF00400;PF12937	G3DSA:2.130.10.10	mobidb-lite	SSF50978;SSF81383	SM00320;SM00256	NA	cd00200	PR00320	PS00678	NA	NA	NA	NA	NA
PTB58971.1	IPR029016	GO:0000160;GO:0000155;GO:0007165;GO:0004672;GO:0005524;GO:0006468;GO:0005515;GO:0016310;GO:0016772	PS50011;PS50109;PS50110	PF00072;PF13185;PF13191;PF02518;PF00512	G3DSA:1.10.510.10;G3DSA:3.30.450.40;G3DSA:3.30.565.10;G3DSA:1.10.287.130;G3DSA:3.40.50.2300	mobidb-lite	SSF52172;SSF55781;SSF56112;SSF55874;SSF47384	SM00388;SM00448;SM00220;SM00065;SM00387	Coil	cd00156;cd16922;cd00082	PR00344	NA	Reactome: R-HSA-113507|Reactome: R-HSA-176187|Reactome: R-HSA-68616|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	NA	NA	NA	NA
PTB49966.1	IPR012338	NA	NA	PF00144	G3DSA:3.40.710.10	NA	SSF56601	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55184.1	IPR006845		NA	PF04757	NA	NA	NA	NA	NA	cd16526	NA	NA	Reactome: R-HSA-8866654|Reactome: R-HSA-9033241	NA	NA	NA	NA
PTB54257.1	IPR027417	NA	NA	NA	G3DSA:3.40.50.300	NA	SSF52540	NA	NA	cd18793	NA	NA	NA	NA	NA	NA	NA
PTB56669.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB56455.1	IPR002347	NA	NA	PF00106	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	NA	PR00081	NA	NA	NA	NA	NA	NA
