Gene	interpro	GO	SMART	ProSiteProfiles	Pfam	Gene3D	MobiDBLite	CDD	Coils	SUPERFAMILY	ProSitePatterns	PRINTS	PATHWAY	TIGRFAM	PIRSF	Hamap	SFLD
EHK23694.1	IPR008942	GO:0005515;GO:0006886	SM00326;SM00288	PS50330;PS50002;PS50179	PF03127;PF00018;PF00790	G3DSA:1.25.40.90;G3DSA:2.30.30.40	mobidb-lite	cd16978;cd11805	NA	SSF50044;SSF48464	NA	PR00452;PR01217	NA	NA	NA	NA	NA
EHK22357.1	IPR010666	GO:0008270;GO:0016491;GO:0055114	NA	PS51471	PF06839;PF13532	G3DSA:2.60.120.590	mobidb-lite	cd14279	Coil	SSF51197	NA	NA	NA	NA	NA	NA	NA
EHK24472.1	IPR042299	GO:0006511	NA	NA	PF03152	G3DSA:3.10.330.10;G3DSA:2.40.40.50	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-110320|Reactome: R-HSA-5689880	NA	NA	NA	NA
EHK23473.1	IPR029058	NA	NA	NA	NA	NA	NA	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
EHK26008.1	IPR009078	NA	NA	NA	PF13668	NA	NA	cd00657	NA	SSF47240	NA	NA	NA	NA	NA	NA	NA
EHK27244.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	SSF52047	NA	NA	NA	NA	NA	NA	NA
EHK25067.1	IPR017853	GO:0004553;GO:0005975	NA	NA	PF00150	G3DSA:3.20.20.80	NA	NA	NA	SSF51445	NA	NA	NA	NA	NA	NA	NA
EHK17709.1	IPR011993	GO:0003677;GO:0005634	SM01287	NA	PF17292;PF08512;PF03531	G3DSA:2.30.29.30;G3DSA:2.30.29.220;G3DSA:2.30.29.150	mobidb-lite	cd13230;cd13229;cd13231	NA	SSF50729	NA	PR00887	Reactome: R-HSA-112382|Reactome: R-HSA-167152|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6804756|Reactome: R-HSA-75955	NA	NA	NA	NA
EHK16568.1	IPR006760		NA	NA	PF04667	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-2465910	NA	NA	NA	NA
EHK23143.1	IPR034786	GO:0018506;GO:0016491;GO:0046872;GO:0055114	NA	NA	PF00465	G3DSA:1.20.1090.10;G3DSA:3.40.50.1970	NA	cd08177	NA	SSF56796	NA	NA	KEGG: 00361+1.3.1.32|KEGG: 00362+1.3.1.32|KEGG: 00364+1.3.1.32|KEGG: 00623+1.3.1.32|MetaCyc: PWY-5487|MetaCyc: PWY-5488|MetaCyc: PWY-6041|MetaCyc: PWY-6084|MetaCyc: PWY-6087|MetaCyc: PWY-6089|MetaCyc: PWY-6093|MetaCyc: PWY-6094|MetaCyc: PWY-6107|MetaCyc: PWY-6178|MetaCyc: PWY-6193|MetaCyc: PWY-6200|MetaCyc: PWY-7002|MetaCyc: PWY-7081|MetaCyc: PWY-7772|MetaCyc: PWY-7773	NA	NA	NA	NA
EHK20307.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK21685.1	IPR002347	GO:0016491	SM00822	NA	PF00106	G3DSA:3.40.50.720	NA	cd05374	NA	SSF51735	PS00061	PR00081;PR00080	NA	NA	NA	NA	NA
EHK23179.1	IPR002925	GO:0016787	NA	NA	PF01738	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
EHK21957.1	IPR041698	NA	NA	NA	PF13649	G3DSA:3.40.50.150	NA	cd02440	NA	SSF53335	NA	NA	NA	NA	NA	NA	NA
EHK24447.1	IPR003837	GO:0006450	NA	NA	PF02686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17458.1	IPR013785	GO:0003824;GO:0005975;GO:0016857;GO:0004750;GO:0006098	NA	NA	PF00834	G3DSA:3.20.20.70	NA	cd00429	NA	SSF51366	PS01085;PS01086	NA	KEGG: 00030+5.1.3.1|KEGG: 00040+5.1.3.1|KEGG: 00710+5.1.3.1|MetaCyc: PWY-1861|MetaCyc: PWY-5723|Reactome: R-HSA-71336	NA	PIRSF001461	NA	NA
EHK15747.1	IPR036236	GO:0003676	SM00355	PS50157	PF00096	G3DSA:3.30.160.60	mobidb-lite	NA	NA	SSF57667	PS00028	NA	NA	NA	NA	NA	NA
EHK24021.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK16109.1	IPR022658	GO:0003684;GO:0006289;GO:0042025	NA	NA	PF05181	G3DSA:3.90.530.10	mobidb-lite	NA	NA	SSF46955	PS00753	NA	Reactome: R-HSA-5696395|Reactome: R-HSA-5696400|Reactome: R-HSA-6781823|Reactome: R-HSA-6782135	TIGR00598	NA	NA	NA
EHK23595.1	IPR038071	GO:0003871;GO:0008270;GO:0009086	NA	NA	PF01717	G3DSA:3.20.20.210	NA	cd03311	NA	SSF51726	NA	NA	Reactome: R-HSA-189451	NA	NA	NA	NA
EHK25157.1	IPR011701	GO:0055085	NA	PS50850	PF07690	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	mobidb-lite	cd17502	NA	SSF103473	NA	PR01036	NA	NA	NA	NA	NA
EHK21516.1	IPR013094	GO:0016787	NA	NA	PF07859	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	PS01174;PS01173	NA	Reactome: R-HSA-163560	NA	NA	NA	NA
EHK22724.1	IPR016193	GO:0003824;GO:0008270;GO:0016787	NA	PS51747	PF00383	G3DSA:3.40.140.10	NA	cd01285	NA	SSF53927	PS00903	NA	NA	NA	NA	NA	NA
EHK22573.1	IPR020846	GO:0055085;GO:0016021;GO:0022857	NA	PS50850	PF07690	G3DSA:1.20.1250.20	NA	cd17327	NA	SSF103473	PS00216	NA	NA	NA	NA	NA	NA
EHK15525.1	IPR034804	GO:0016020	NA	NA	NA	G3DSA:1.20.1300.10	NA	cd03499	NA	SSF81343	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-71403	NA	NA	NA	NA
EHK21560.1	IPR003010	GO:0006807;GO:0016810	NA	PS50263	PF00795	G3DSA:3.60.110.10	NA	cd07564	NA	SSF56317	PS00920	NA	NA	NA	NA	NA	NA
EHK27446.1	IPR004345		NA	NA	PF03134	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-381753	NA	NA	NA	NA
EHK26042.1	IPR035994	GO:0003824;GO:0009116	NA	NA	NA	NA	NA	cd09008	NA	SSF53167	NA	NA	NA	NA	NA	NA	NA
EHK19637.1	IPR000028	GO:0004601	NA	PS51405	PF01328	G3DSA:1.10.489.10	NA	NA	NA	SSF47571	NA	NA	NA	NA	NA	NA	NA
EHK22289.1	IPR006390	GO:0004156;GO:0009396;GO:0044237;GO:0042558;GO:0003848	NA	PS50972	PF01288;PF00809	G3DSA:3.20.20.20;G3DSA:3.30.70.560	NA	cd00739;cd00483	NA	SSF55083;SSF51717	PS00792;PS00793;PS00794	NA	KEGG: 00790+2.5.1.15|MetaCyc: PWY-6614	TIGR01496;TIGR01498	NA	NA	NA
EHK15931.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18326.1	IPR006680	GO:0016787	NA	NA	PF04909	G3DSA:3.20.20.140	NA	NA	NA	SSF51556	NA	NA	NA	NA	NA	NA	NA
EHK18045.1	IPR016040	NA	NA	NA	PF13460	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA
EHK19997.1	IPR002347	GO:0016491	NA	NA	PF13561	G3DSA:3.40.50.720	mobidb-lite	NA	NA	SSF51735	PS00061	PR00080;PR00081	NA	NA	NA	NA	NA
EHK26951.1	IPR016460	GO:0005737;GO:0006886;GO:0016192;GO:0030117;GO:0005198;GO:0030126	NA	NA	PF14806;PF01602;PF07718	G3DSA:1.25.10.10	mobidb-lite	NA	Coil	SSF48371	NA	NA	Reactome: R-HSA-6798695|Reactome: R-HSA-6807878|Reactome: R-HSA-6811434	NA	PIRSF005727	NA	NA
EHK17678.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17410.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26096.1	IPR041492	GO:0016787	NA	NA	PF13419	G3DSA:3.40.50.1000;G3DSA:1.10.150.240	NA	cd07505	NA	SSF56784	NA	NA	NA	TIGR01509	NA	NA	SFLDG01129;SFLDS00003
EHK25360.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK19491.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SM00906;SM00066	PS50048	PF00172;PF04082	G3DSA:4.10.240.10	NA	cd00067;cd12148	NA	SSF57701	PS00463	NA	NA	NA	NA	NA	NA
EHK20529.1	IPR011059	GO:0016810;GO:0016787	NA	NA	PF01979	G3DSA:2.30.40.10;G3DSA:3.20.20.140	NA	NA	NA	SSF51338;SSF51556	NA	NA	NA	NA	NA	NA	NA
EHK25740.1	IPR002464	GO:0004386	SM00490;SM00847;SM00487	PS51192;PS51194	PF00271;PF04408;PF07717	G3DSA:3.40.50.300;G3DSA:1.20.120.1080	mobidb-lite	cd17974;cd18791	Coil	SSF52540	PS00690	NA	NA	NA	NA	NA	NA
EHK22255.1	IPR002867	NA	SM00647	PS51873	PF01485	G3DSA:3.30.40.10;G3DSA:1.20.120.1750	NA	NA	NA	SSF57850	PS00518	NA	NA	NA	NA	NA	NA
EHK22806.1	IPR000639	GO:0003824	NA	NA	PF00561	G3DSA:3.40.50.1820	mobidb-lite	NA	NA	SSF53474	NA	PR00412	NA	NA	NA	NA	NA
EHK20022.1	IPR020801	GO:0031177;GO:0016740;GO:0055114;GO:0003824;GO:0016491	SM00827;SM00825;SM00823;SM00829;SM00826;SM00822	PS50075	PF16197;PF08242;PF08659;PF00698;PF00550;PF00109;PF02801;PF14765;PF00107	G3DSA:3.40.50.720;G3DSA:3.10.129.110;G3DSA:1.10.1200.10;G3DSA:3.40.366.10;G3DSA:3.40.50.150;G3DSA:3.30.70.3290;G3DSA:3.90.180.10;G3DSA:3.40.47.10	NA	cd02440;cd00833;cd05195	NA	SSF50129;SSF52151;SSF51735;SSF53335;SSF55048;SSF53901;SSF47336	PS00012;PS00606	NA	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	NA	NA	NA	NA
EHK19238.1	IPR001969	GO:0004190;GO:0006508	NA	PS51767	PF00026	G3DSA:2.40.70.10	mobidb-lite	cd05474	NA	SSF50630	PS00141	PR00792	NA	NA	NA	NA	NA
EHK16190.1	IPR036866	NA	NA	NA	NA	G3DSA:3.60.15.10	NA	NA	NA	SSF56281	NA	NA	NA	NA	NA	NA	NA
EHK17939.1	IPR001680	GO:0005515	SM00320	NA	NA	G3DSA:2.130.10.10;G3DSA:3.40.50.300	NA	NA	NA	SSF52540;SSF50978	NA	NA	NA	NA	NA	NA	NA
EHK21612.1	IPR005123	GO:0016491;GO:0055114;GO:0005506;GO:0016705;GO:0031418	SM00702	PS51471	PF13640	G3DSA:2.60.120.620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24583.1	IPR017946	GO:0006629;GO:0008081	NA	NA	NA	NA	mobidb-lite	NA	NA	SSF51695	NA	NA	NA	NA	NA	NA	NA
EHK15648.1	IPR013083	GO:0003682;GO:0003677	SM00439;SM00249;SM00717	PS50016;PS51293;PS51805;PS51038;PS51156	PF01426;PF13831;PF13832	G3DSA:3.30.40.10;G3DSA:1.10.10.60;G3DSA:2.30.30.490	mobidb-lite	NA	Coil	SSF57903;SSF46689	NA	NA	NA	NA	NA	NA	NA
EHK23209.1	IPR015421	GO:0003824;GO:0009058;GO:0030170	NA	NA	PF00155	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	NA	NA	NA	SSF53383	NA	NA	NA	NA	NA	NA	NA
EHK22377.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26623.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK22307.1	IPR008012	GO:0043248	NA	NA	PF05348	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18932.1	IPR014044	GO:0005576	SM00198	NA	PF00188	G3DSA:3.40.33.10	NA	cd05380	NA	SSF55797	PS01009	PR00837	NA	NA	NA	NA	NA
EHK18776.1	IPR001214	GO:0005515;GO:0005634;GO:0018024;GO:0005694;GO:0006355;GO:0034968;GO:0006354;GO:0010452;GO:0046975	SM00317;SM00456;SM00570;SM00508	PS50280;PS50020;PS50868;PS51568;PS51215	PF17907;PF00856;PF08711;PF08236;PF00397	G3DSA:2.170.270.10;G3DSA:1.10.1740.100;G3DSA:2.20.70.10	mobidb-lite	cd00201	Coil	SSF82199;SSF51045;SSF47676	PS01159	NA	Reactome: R-HSA-3214841	NA	NA	NA	NA
EHK19212.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK20193.1	IPR004843	GO:0016787	NA	NA	PF00149	NA	NA	NA	NA	SSF56300	NA	NA	NA	NA	NA	NA	NA
EHK27226.1	IPR010730	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18396.1	IPR000210	GO:0005515	NA	PS50097	PF00651	G3DSA:3.30.710.10	NA	cd18186	NA	SSF54695	NA	NA	NA	NA	NA	NA	NA
EHK24783.1	IPR005301	NA	SM01388	NA	PF03637	NA	NA	NA	NA	SSF101152	NA	NA	NA	NA	NA	NA	NA
EHK21059.1	IPR026030	GO:0016021;GO:0022857;GO:0055085;GO:0016020	NA	NA	PF02133	G3DSA:1.10.4160.10	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF002744	NA	NA
EHK26610.1	IPR006121	GO:0030001;GO:0046872	NA	PS50846	PF00403	G3DSA:3.30.70.100	NA	cd00371	NA	SSF55008	PS01047	NA	NA	NA	NA	NA	NA
EHK23978.1	IPR013032	NA	NA	PS50026	NA	G3DSA:2.10.25.10	mobidb-lite	cd00054	NA	NA	PS01186;PS00022	NA	NA	NA	NA	NA	NA
EHK23358.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK21315.1	IPR011012	GO:0016021;GO:0016192	SM01270	PS50892;PS50859	PF13774;PF00957	G3DSA:3.30.450.50;G3DSA:1.20.5.110	NA	cd14824;cd15867	NA	SSF64356;SSF58038	NA	PR00219	Reactome: R-HSA-204005	NA	NA	NA	NA
EHK20268.1	IPR036037	GO:0003774;GO:0005524;GO:0016459	SM00242;SM01117	PS51456;PS50255	PF00063;PF03142;PF00173;PF08766	NA	mobidb-lite	cd14879	NA	SSF53448;SSF52540;SSF109715;SSF55856	NA	NA	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981	NA	NA	NA	NA
EHK20554.1	IPR036420	NA	SM00292	PS50172	PF12738	G3DSA:3.40.50.10190	mobidb-lite	cd17731;cd17740;cd17723;cd18433	NA	SSF52113	NA	NA	NA	NA	NA	NA	NA
EHK16694.1	IPR019383	NA	NA	NA	PF10256	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18801.1	IPR001019	GO:0003924;GO:0007186;GO:0019001;GO:0031683;GO:0007165;GO:0001664;GO:0005525;GO:0005834	SM00275	NA	PF00503	G3DSA:3.40.50.300;G3DSA:1.10.400.10	mobidb-lite	cd00066	NA	SSF47895;SSF52540	NA	PR00318;PR01241	NA	NA	NA	NA	NA
EHK19720.1	IPR029044	NA	NA	NA	PF04488	G3DSA:3.90.550.20	NA	NA	NA	SSF53448	NA	NA	NA	NA	NA	NA	NA
EHK22766.1	IPR001789	GO:0000160	SM00448	PS50110	PF00072	G3DSA:3.40.50.2300	mobidb-lite	cd00156	NA	SSF52172	NA	NA	NA	NA	NA	NA	NA
EHK16127.1	IPR001753	GO:0003824	NA	NA	PF00378	G3DSA:3.90.226.10	NA	cd06558	NA	SSF52096	NA	NA	NA	NA	NA	NA	NA
EHK21723.1	IPR033964	GO:0009820;GO:0016765	NA	NA	PF11991	NA	NA	cd13929	NA	NA	NA	NA	NA	TIGR03429	PIRSF000509	NA	SFLDS00036;SFLDG01162
EHK23850.1	IPR006148	GO:0005975;GO:0004342;GO:0006044	NA	NA	PF01182	G3DSA:3.40.50.1360	mobidb-lite	cd01399	NA	SSF100950	PS01161	NA	KEGG: 00520+3.5.99.6|MetaCyc: PWY-5514|MetaCyc: PWY-6855|MetaCyc: PWY-6906	TIGR00502	NA	MF_01241	NA
EHK25510.1	IPR017853	NA	NA	NA	PF03198	G3DSA:3.20.20.80	mobidb-lite	NA	NA	SSF51445	NA	NA	NA	NA	NA	NA	NA
EHK15188.1	IPR004676	NA	NA	NA	PF03596	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK16872.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK23060.1	IPR008947	GO:0016788;GO:0003676;GO:0004519;GO:0006308	NA	NA	PF02265	G3DSA:1.10.575.10	NA	cd11010	NA	SSF48537	NA	NA	NA	NA	NA	NA	NA
EHK18050.1	IPR000008	NA	SM00239	PS50004	PF00168	G3DSA:2.60.40.150	mobidb-lite	NA	Coil	SSF49562	NA	NA	NA	NA	NA	NA	NA
EHK22779.1	IPR012677	GO:0003676	SM00360	PS50102	PF00076	G3DSA:3.30.70.330	mobidb-lite	cd12265	NA	SSF54928	NA	NA	NA	NA	NA	NA	NA
EHK17039.1	IPR016340	NA	NA	NA	PF09784	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF002216	NA	NA
EHK26871.1	IPR036291	GO:0016491	NA	NA	PF01408	G3DSA:3.40.50.720;G3DSA:3.30.360.10	NA	NA	NA	SSF55347;SSF51735	NA	NA	NA	NA	NA	NA	NA
EHK22464.1	IPR007855	GO:0003968	NA	NA	PF05183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24458.1	IPR010585	GO:0003677;GO:0005634;GO:0006302;GO:0006310	NA	NA	PF06632	G3DSA:1.20.5.370	mobidb-lite	NA	Coil	SSF58022	NA	NA	Reactome: R-HSA-164843|Reactome: R-HSA-3108214|Reactome: R-HSA-5693571	NA	NA	NA	NA
EHK18100.1	IPR002347	NA	NA	NA	PF00106	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	NA	PR00081	NA	NA	NA	NA	NA
EHK20534.1	IPR023210	NA	NA	NA	PF00248	G3DSA:3.20.20.100	NA	cd06660	NA	SSF51430	NA	NA	NA	NA	NA	NA	NA
EHK24928.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	SM00906	NA	PF04082	NA	mobidb-lite	cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK27105.1	IPR011333	GO:0005515	NA	NA	PF00651	G3DSA:3.30.710.10	NA	cd18286	NA	SSF54695	NA	NA	NA	NA	NA	NA	NA
EHK16388.1	IPR018593	GO:0006388	NA	NA	PF09631	NA	NA	NA	NA	SSF53032	NA	NA	Reactome: R-HSA-6784531	NA	NA	NA	NA
EHK18559.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17274.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK16043.1	IPR007074	NA	NA	NA	PF04991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17358.1	IPR002328	GO:0008270;GO:0016491;GO:0055114	SM00829	NA	PF00107;PF08240	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	cd08297	NA	SSF51735;SSF50129	PS00059	NA	Reactome: R-HSA-71384	NA	NA	NA	NA
EHK17141.1	IPR006593	NA	SM00665	PS50939	PF03188	NA	mobidb-lite	cd08760	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK23075.1	IPR000182	GO:0008080	NA	PS51186	PF00583	G3DSA:3.40.630.30	NA	cd04301	NA	SSF55729	NA	NA	NA	NA	NA	NA	NA
EHK19226.1	IPR011333	GO:0005515	SM00225	PS50097	PF00651	G3DSA:3.30.710.10	NA	cd18186	NA	SSF54695	NA	NA	NA	NA	NA	NA	NA
EHK24059.1	IPR036259	GO:0055085	NA	PS50850	PF07690	G3DSA:1.20.1250.20	NA	cd17322	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA
EHK23948.1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	PF00067	G3DSA:1.10.630.10	NA	NA	NA	SSF48264	NA	PR00385;PR00463	NA	NA	NA	NA	NA
EHK23982.1	IPR029033	NA	NA	NA	PF00300	G3DSA:3.40.50.1240	NA	NA	NA	SSF53254	NA	NA	NA	NA	NA	NA	NA
EHK18507.1	IPR003492	GO:0016020	NA	NA	PF02487	NA	NA	cd06174	NA	SSF103473	NA	PR01315	NA	NA	PIRSF015974	NA	NA
EHK23064.1	IPR009291	NA	NA	NA	PF06101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK15616.1	IPR021858	NA	NA	NA	PF11951	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18825.1	IPR000573	GO:0004409;GO:0009085;GO:0051539	NA	NA	PF00694;PF00330	G3DSA:3.20.19.10;G3DSA:3.30.499.20;G3DSA:3.30.499.10	mobidb-lite	cd01674	NA	SSF52016;SSF53732	PS01244	PR00415	KEGG: 00290+4.2.1.33	TIGR00139	NA	NA	NA
EHK22497.1	IPR010636	GO:0005576	NA	NA	PF06766	G3DSA:3.20.120.10	NA	NA	NA	SSF101751	NA	NA	NA	NA	NA	NA	NA
EHK17053.1	IPR020845	GO:0003824	NA	NA	PF13193;PF00501	G3DSA:3.40.50.12780;G3DSA:3.30.300.30	NA	cd05911	NA	SSF56801	PS00455	NA	NA	NA	NA	NA	NA
EHK25768.1	IPR008397	GO:0016829;GO:0042597	NA	NA	PF05426	G3DSA:1.50.10.100	NA	NA	NA	SSF48230	NA	NA	KEGG: 00051+4.2.2.3|MetaCyc: PWY-6986	NA	NA	NA	NA
EHK24655.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	SM00220	PS50011	PF00069	G3DSA:1.10.510.10	mobidb-lite	cd14007	NA	SSF56112	PS00107;PS00108	NA	NA	NA	PIRSF000654	NA	NA
EHK26385.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	PS50011	PF00069	G3DSA:1.10.510.10	NA	cd00180	Coil	SSF56112	NA	NA	NA	NA	NA	NA	NA
EHK15692.1	IPR025183	GO:0005515	NA	NA	PF13422;PF13415;PF13418	G3DSA:2.120.10.80	mobidb-lite	NA	NA	SSF117281	NA	NA	NA	NA	NA	NA	NA
EHK19709.1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	PF00067	G3DSA:1.10.630.10	NA	NA	NA	SSF48264	PS00086	PR00385;PR00463	NA	NA	NA	NA	NA
EHK24998.1	IPR013857		NA	NA	PF08547	G3DSA:2.60.120.430	NA	NA	NA	SSF49785	NA	NA	Reactome: R-HSA-6799198	NA	NA	NA	NA
EHK16763.1	IPR016435	GO:0017183	NA	NA	PF01866	G3DSA:3.40.50.11860;G3DSA:3.40.50.11840;G3DSA:3.40.50.11850	mobidb-lite	NA	Coil	NA	NA	NA	MetaCyc: PWY-6482|MetaCyc: PWY-7546|Reactome: R-HSA-5358493	TIGR00322	PIRSF004967	NA	SFLDS00032
EHK24200.1	IPR036188	GO:0071949	NA	NA	PF01494	G3DSA:3.30.9.30;G3DSA:3.50.50.60	NA	NA	NA	SSF54373;SSF51905	NA	PR00420	NA	NA	NA	NA	NA
EHK24436.1	IPR007941	NA	NA	NA	PF05277	NA	mobidb-lite	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
EHK25255.1	IPR040463	NA	NA	NA	PF05529;PF18035	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
EHK22713.1	IPR029058	NA	NA	NA	PF00561	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
EHK23896.1	IPR012340	NA	NA	NA	NA	G3DSA:2.40.50.140	NA	NA	NA	SSF50249	NA	NA	NA	NA	NA	NA	NA
EHK20334.1	IPR015069	NA	NA	NA	PF08975	G3DSA:3.90.1140.10	NA	NA	NA	SSF55144	NA	NA	NA	NA	NA	NA	NA
EHK20015.1	IPR027417	GO:0005525	NA	NA	PF04670	G3DSA:3.40.50.300;G3DSA:3.30.450.190	mobidb-lite	cd11384	NA	SSF52540	NA	NA	Reactome: R-HSA-1632852|Reactome: R-HSA-165159|Reactome: R-HSA-166208|Reactome: R-HSA-380972|Reactome: R-HSA-5628897|Reactome: R-HSA-8943724|Reactome: R-HSA-9639288	NA	NA	NA	NA
EHK20956.1	IPR000743	GO:0004650;GO:0005975	SM00710	NA	PF00295	G3DSA:2.160.20.10	NA	NA	NA	SSF51126	PS00502	NA	NA	NA	NA	NA	NA
EHK17098.1	IPR008709	NA	NA	NA	PF05536	NA	mobidb-lite	NA	NA	SSF48371	NA	NA	NA	NA	NA	NA	NA
EHK17251.1	IPR005656	GO:0016829	NA	NA	PF03972	G3DSA:1.10.4100.10	mobidb-lite	NA	NA	SSF103378	NA	NA	NA	NA	NA	NA	NA
EHK22907.1	IPR030381	GO:0005525;GO:0003924	SM00053	PS51718;PS51388	PF13634;PF00350	G3DSA:3.40.50.300	mobidb-lite	cd08771	Coil	SSF52540	NA	PR00195	NA	NA	NA	NA	NA
EHK19094.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
EHK27254.1	IPR023395	NA	NA	PS50920	PF00153	G3DSA:1.50.40.10	mobidb-lite	NA	NA	SSF103506	NA	NA	NA	NA	NA	NA	NA
EHK20789.1	IPR036749	GO:0005576;GO:0005975;GO:0030248	SM00236	PS50843;PS50842;PS51164	PF01357;PF00734	G3DSA:2.60.40.760	mobidb-lite	NA	NA	SSF49590;SSF50685;SSF57180	NA	NA	NA	NA	NA	NA	NA
EHK25617.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	PS50011	PF00069	G3DSA:1.10.510.10;G3DSA:3.30.200.20	NA	cd00180	NA	SSF56112	NA	NA	NA	NA	NA	NA	NA
EHK26818.1	IPR029044	GO:0000030;GO:0006486;GO:0016020	NA	NA	PF01793	G3DSA:3.90.550.10	NA	NA	NA	SSF53448	NA	NA	NA	NA	NA	NA	NA
EHK18499.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SM00906;SM00066	PS50048	PF00172;PF04082	G3DSA:4.10.240.10	mobidb-lite	cd00067;cd12148	Coil	SSF57701	PS00463	NA	NA	NA	NA	NA	NA
