Gene	MobiDBLite	interpro	GO	PATHWAY	Pfam	SUPERFAMILY	Gene3D	SMART	CDD	PRINTS	ProSiteProfiles	ProSitePatterns	TIGRFAM	Hamap	Coils	PIRSF	SFLD
KAF3074600.1	mobidb-lite	IPR002076	GO:0016021	KEGG: 00062+2.3.1.199|MetaCyc: PWY-5080|MetaCyc: PWY-5972|MetaCyc: PWY-6433|MetaCyc: PWY-6598|MetaCyc: PWY-7035|MetaCyc: PWY-7036|MetaCyc: PWY-7601|MetaCyc: PWY-7602|MetaCyc: PWY-7619|MetaCyc: PWY-7724|MetaCyc: PWY-7725|MetaCyc: PWY-8041|Reactome: R-HSA-75876	PF01151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3054699.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF00172;PF04082	SSF57701	G3DSA:4.10.240.10	SM00066;SM00906	cd00067;cd12148	NA	PS50048	PS00463	NA	NA	Coil	NA	NA
KAF3077202.1	NA	IPR010775	NA	NA	PF07103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3060745.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF00172	SSF57701	G3DSA:4.10.240.10	SM00066;SM00906	cd00067;cd12148	NA	PS50048	PS00463	NA	NA	NA	NA	NA
KAF3065533.1	mobidb-lite	IPR036259	GO:0055085	NA	PF07690	SSF103473	G3DSA:1.20.1250.20	NA	cd17476	NA	PS50850	NA	NA	NA	NA	NA	NA
KAF3071769.1	NA	IPR029069		Reactome: R-HSA-77289	PF03061	SSF54637	G3DSA:3.10.129.10	NA	cd00586	NA	NA	NA	NA	NA	NA	NA	NA
KAF3067618.1	NA	IPR018371	GO:0008061;GO:0005975;GO:0004553	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	PF00704;PF00187	SSF51445;SSF54556;SSF57016	G3DSA:3.30.60.10;G3DSA:3.10.50.10;G3DSA:3.20.20.80	SM00270;SM00636	cd00035	NA	PS50941	PS00026;PS01095	NA	NA	NA	NA	NA
KAF3057898.1	NA	IPR025337	GO:0016491	NA	PF14027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3057702.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3073196.1	mobidb-lite	IPR035969	GO:0005509	NA	PF00566	SSF47923;SSF47473	G3DSA:1.10.8.270;G3DSA:1.10.472.80	SM00164	NA	NA	PS50222;PS50086	NA	NA	NA	Coil	NA	NA
KAF3063097.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3062924.1	NA	IPR005024	GO:0007034	NA	PF03357	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3072720.1	mobidb-lite	IPR001680	GO:0005515	NA	NA	SSF50978	G3DSA:2.130.10.10	SM00320	NA	NA	PS50082	NA	NA	NA	Coil	NA	NA
KAF3055410.1	NA	IPR014368	GO:0004129;GO:0005746;GO:0022904;GO:0055114	KEGG: 00190+1.9.3.1|MetaCyc: PWY-3781|MetaCyc: PWY-4521|MetaCyc: PWY-6692|MetaCyc: PWY-7279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF000283	NA
KAF3072487.1	NA	IPR019651	NA	NA	PF10712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3075996.1	mobidb-lite	NA	NA	NA	NA	NA	G3DSA:3.30.160.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3058805.1	NA	IPR036249	GO:0071949	NA	PF07976;PF01494	SSF54373;SSF52833;SSF51905	G3DSA:3.30.9.50;G3DSA:3.50.50.60;G3DSA:3.40.30.20	NA	cd02979	PR00420	NA	NA	NA	NA	NA	NA	NA
KAF3068706.1	mobidb-lite	IPR030379	GO:0005525	NA	PF00735	SSF52540	NA	NA	NA	NA	PS51719	NA	NA	NA	NA	NA	NA
KAF3076553.1	NA	IPR002347	NA	NA	PF00106	SSF51735	G3DSA:3.40.50.720	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA
KAF3069202.1	mobidb-lite	IPR027815	GO:0016020	NA	PF14703;PF02714;PF12621;PF13967	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3070203.1	NA	IPR006680	GO:0016787	NA	PF04909	SSF51556	G3DSA:3.20.20.140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3072066.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3055351.1	NA	IPR001214	GO:0005515	NA	PF00856	SSF82199	G3DSA:2.170.270.10	SM00317	NA	NA	PS50280	NA	NA	NA	NA	NA	NA
KAF3067733.1	NA	IPR024983	GO:0005515	NA	PF12770	NA	G3DSA:1.25.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3067626.1	mobidb-lite	IPR036217	GO:0003824;GO:0006281	Reactome: R-HSA-5657655	PF01035	SSF46767	G3DSA:1.10.10.10	NA	cd06445	NA	NA	NA	NA	NA	NA	NA	NA
KAF3076809.1	NA	IPR001509	GO:0003824;GO:0050662	NA	PF01370	SSF51735	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3057701.1	mobidb-lite	IPR000999	GO:0004525;GO:0006396;GO:0016891;GO:0003677;GO:0005524;GO:0016787	Reactome: R-HSA-203927	PF00636;PF00271;PF03368;PF04851	SSF69065;SSF52540	G3DSA:3.30.160.380;G3DSA:1.10.1520.10;G3DSA:3.40.50.300	SM00490;SM00535;SM00487	cd00593;cd18802;cd18034	NA	PS50142;PS51192;PS51327;PS51194	PS00517	NA	NA	NA	NA	NA
KAF3074043.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3072517.1	mobidb-lite	IPR004843	GO:0016787	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	PF00149	SSF56300	NA	SM00156	cd07415	PR00114	NA	PS00125	NA	NA	NA	PIRSF033096	NA
KAF3070058.1	NA	IPR023298	GO:0006812;GO:0016021;GO:0019829;GO:0000166	Reactome: R-HSA-936837	PF00122;PF00689;PF13246;PF00690;PF00702	SSF81665;SSF81653;SSF81660;SSF56784	G3DSA:1.20.1110.10;G3DSA:2.70.150.10	SM00831	NA	PR00119	NA	PS00154	TIGR01523;TIGR01494	NA	NA	NA	SFLDF00027;SFLDG00002
KAF3068603.1	mobidb-lite	IPR003593	GO:0005524	NA	PF17862;PF00004	SSF52540	G3DSA:3.40.50.300;G3DSA:1.10.8.60	SM00382	cd00009	NA	NA	PS00674	NA	NA	NA	NA	NA
KAF3072666.1	NA	IPR003593	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	NA	PF00664;PF00005	SSF52540;SSF90123	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	SM00382	cd18580;cd03250;cd18579	NA	PS50929;PS50893	PS00211	NA	NA	NA	NA	NA
KAF3075785.1	NA	IPR002937	GO:0016491;GO:0055114;GO:0004729;GO:0006779	KEGG: 00860+1.3.3.4|MetaCyc: PWY-7159|Reactome: R-HSA-189451	PF01593	SSF54373;SSF51905	G3DSA:3.50.50.60	NA	NA	NA	NA	NA	TIGR00562	NA	NA	NA	NA
KAF3067761.1	NA	IPR000073	GO:0003824	NA	PF00561	SSF53474	G3DSA:3.40.50.1820	NA	NA	PR00412	NA	NA	NA	NA	NA	NA	NA
KAF3069141.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3073636.1	mobidb-lite	IPR013657	GO:0055085	NA	PF08449	SSF103481	NA	NA	NA	NA	NA	NA	TIGR00803	NA	NA	NA	NA
KAF3075122.1	NA	IPR040632	NA	NA	PF17784	SSF52540	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3075544.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3062905.1	NA	IPR000172	GO:0016614;GO:0050660;GO:0055114	Reactome: R-HSA-6798163	PF05199;PF00732	SSF51905;SSF54373	G3DSA:3.30.560.10;G3DSA:3.50.50.60	NA	NA	NA	NA	PS00623	NA	NA	NA	PIRSF000137	NA
KAF3076512.1	mobidb-lite	IPR036600	GO:0006355	NA	PF14479;PF02671	SSF47762	G3DSA:1.20.1160.11;G3DSA:1.20.120.1020	NA	NA	NA	PS51477	NA	NA	NA	Coil	NA	NA
KAF3066096.1	mobidb-lite	IPR000504	GO:0003676	Reactome: R-HSA-159236|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-73856|Reactome: R-HSA-9010553|Reactome: R-HSA-975957	PF00076	SSF54928	G3DSA:3.30.70.330	SM00360	cd12365	NA	PS50102	NA	NA	NA	NA	NA	NA
KAF3059158.1	NA	IPR016162	GO:0016491;GO:0055114;GO:0016620	NA	PF00135;PF00171	SSF53720;SSF53474	G3DSA:3.40.605.10;G3DSA:3.40.50.1820;G3DSA:3.40.309.10	NA	NA	NA	NA	PS00122;PS00687;PS00070	NA	NA	NA	NA	NA
KAF3067631.1	NA	IPR002088	GO:0008318;GO:0018342	NA	PF01239	SSF48439	G3DSA:1.25.40.120	NA	NA	NA	PS51147	NA	NA	NA	NA	NA	NA
KAF3071703.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3074905.1	NA	IPR029149	GO:0016787	NA	PF00557;PF01321	SSF53092;SSF55920	G3DSA:3.90.230.10;G3DSA:3.40.350.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3058852.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3060212.1	NA	IPR012678	GO:0003735;GO:0005840;GO:0006412	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF00827	SSF54189	G3DSA:3.40.1120.10	SM01384	NA	NA	NA	PS01194	NA	NA	NA	NA	NA
KAF3075720.1	NA	IPR024738	GO:0070461	Reactome: R-HSA-3214847	PF12767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3062708.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3062940.1	mobidb-lite	IPR003613	GO:0004842;GO:0016567;GO:0005515	MetaCyc: PWY-7511	PF00400;PF08606	SSF50978	G3DSA:2.130.10.10;G3DSA:3.30.40.10	SM00504;SM00320	NA	NA	PS50082;PS50294	NA	NA	NA	Coil	NA	NA
KAF3055331.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3066080.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3077341.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3077478.1	NA	IPR001263	GO:0016301	NA	PF00454;PF00613	SSF56112;SSF48371	G3DSA:1.10.1070.11;G3DSA:1.25.40.70;G3DSA:3.30.1010.10	SM00146;SM00145	cd05167	NA	PS51545;PS50290	PS00915;PS00916	NA	NA	NA	NA	NA
KAF3076084.1	mobidb-lite	IPR001375	GO:0006508;GO:0008236;GO:0046982	NA	PF00326;PF07524	SSF82171;SSF53474	G3DSA:3.40.50.1820;G3DSA:1.10.20.10;G3DSA:2.120.10.30	SM00576	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3054688.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3056185.1	NA	IPR000073	NA	NA	PF00561;PF08386	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3056853.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3075711.1	mobidb-lite	IPR025256	NA	NA	PF13886	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3057578.1	NA	IPR021833	NA	NA	PF11905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3077399.1	NA	IPR036188	GO:0071949	NA	PF01494	SSF54373;SSF51905	G3DSA:3.30.9.30;G3DSA:3.50.50.60	NA	NA	PR00420	NA	NA	NA	NA	NA	NA	NA
KAF3072996.1	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	PF04082	NA	NA	SM00906	cd12148	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3074299.1	mobidb-lite	IPR022745	GO:0003723;GO:0005515	NA	PF12152;PF02854	SSF101489;SSF48371	G3DSA:1.20.970.30;G3DSA:1.25.40.180	SM00543	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3076279.1	mobidb-lite	IPR008979	NA	NA	NA	SSF49785	G3DSA:2.60.120.260	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3076593.1	mobidb-lite	IPR003511	NA	NA	PF02301	SSF56019	NA	NA	NA	NA	PS50815	NA	NA	NA	NA	NA	NA
KAF3076934.1	mobidb-lite	IPR038607	NA	NA	PF09423	SSF56300	G3DSA:3.60.21.70	NA	cd07389	NA	NA	NA	NA	NA	NA	NA	NA
KAF3060424.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3076003.1	mobidb-lite	IPR013881		Reactome: R-HSA-72163	PF08572;PF06544	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3073611.1	NA	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PF00067	SSF48264	G3DSA:1.10.630.10	NA	NA	PR00385;PR00463	NA	NA	NA	NA	NA	NA	NA
KAF3068253.1	NA	IPR008812	NA	NA	PF05508	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3076739.1	NA	IPR006694	GO:0005506;GO:0008610;GO:0016491;GO:0055114	NA	PF04116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3069572.1	mobidb-lite	IPR034168	GO:0003723;GO:0003676	Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6798695|Reactome: R-HSA-72163	PF00076	SSF54928	G3DSA:3.30.70.330	SM00360	cd12347	NA	PS50102	NA	NA	NA	NA	NA	NA
KAF3077473.1	NA	IPR000182	GO:0008080	NA	PF00583	SSF55729	G3DSA:3.40.630.30	NA	cd04301	NA	PS51186	NA	NA	NA	NA	NA	NA
KAF3073359.1	NA	IPR025975		MetaCyc: PWY-7644	PF14099	NA	G3DSA:2.60.120.200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3074957.1	NA	IPR036259	GO:0016020;GO:0022857;GO:0055085;GO:0016021	Reactome: R-HSA-189200	PF00083	SSF103473	G3DSA:1.20.1250.20	NA	cd17356	NA	PS50850	NA	TIGR00879	NA	NA	NA	NA
KAF3067571.1	mobidb-lite	IPR014807	NA	NA	PF08695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3062545.1	mobidb-lite	IPR027417	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	NA	PF00005;PF00664	SSF52540;SSF90123	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	SM00382	cd18597;cd03250;cd03244;cd18606	NA	PS50893;PS50929	PS00211	NA	NA	NA	NA	NA
KAF3069473.1	NA	IPR040442	GO:0003824	NA	PF13714	SSF51621	G3DSA:3.20.20.60	NA	cd00377	NA	NA	NA	NA	NA	NA	NA	NA
KAF3077313.1	mobidb-lite	IPR027443	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0016491;GO:0055114	NA	PF00172;PF14226;PF03171	SSF51197;SSF57701	G3DSA:2.60.120.330;G3DSA:4.10.240.10	SM00066	cd12148;cd00067	PR00682	PS50048;PS51471	NA	NA	NA	NA	NA	NA
KAF3056940.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3068799.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3072482.1	mobidb-lite	IPR000195	NA	NA	PF00566	SSF47923	G3DSA:1.10.8.1310;G3DSA:1.10.472.80	SM00164	NA	NA	PS50086	NA	NA	NA	NA	NA	NA
KAF3077279.1	mobidb-lite	IPR012501	GO:0042147	Reactome: R-HSA-6811440	PF07928	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3055444.1	mobidb-lite	IPR035979	GO:0003676	Reactome: R-HSA-429947|Reactome: R-HSA-6804115	PF00076;PF14570	SSF54928;SSF57850	G3DSA:3.30.70.330;G3DSA:3.30.40.10	SM00361	cd16618;cd12438	NA	PS50089;PS50102	NA	NA	NA	Coil	NA	NA
KAF3060248.1	NA	IPR027417	NA	NA	PF05729	SSF52540	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3056166.1	NA	IPR036188	GO:0016491;GO:0055114	NA	PF07992	SSF51905	G3DSA:3.50.50.60	NA	NA	PR00469;PR00368	NA	NA	NA	NA	NA	NA	NA
KAF3076046.1	mobidb-lite	IPR001266	GO:0003735;GO:0005840;GO:0006412	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF01090	SSF46785	G3DSA:1.10.10.2700	SM01413	NA	NA	NA	PS00628	NA	NA	NA	NA	NA
KAF3057692.1	NA	IPR036188	GO:0016491;GO:0055114	NA	PF01266	SSF51905	G3DSA:3.50.50.60;G3DSA:3.30.9.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3077630.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3065471.1	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	NA	PF04082	SSF57701	G3DSA:4.10.240.10	NA	cd12148;cd00067	NA	PS50048	PS00463	NA	NA	NA	NA	NA
KAF3072844.1	NA	IPR008948	GO:0003824	NA	NA	SSF48557	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3066134.1	NA	IPR036249	GO:0005515	NA	PF13417	SSF52833;SSF47616	G3DSA:3.40.30.10;G3DSA:1.20.1050.10	NA	cd00299	NA	NA	NA	NA	NA	NA	NA	NA
KAF3068688.1	mobidb-lite	IPR032704	NA	NA	PF14617	SSF52540	G3DSA:3.40.50.300	NA	cd17957	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3066962.1	NA	IPR000182	GO:0008080	NA	PF00583	SSF55729	G3DSA:3.40.630.30	NA	cd04301	NA	PS51186	NA	NA	NA	NA	NA	NA
KAF3071517.1	NA	IPR002938	GO:0071949	NA	PF01494	SSF51905	G3DSA:3.40.30.120;G3DSA:3.30.9.50;G3DSA:3.50.50.60	NA	NA	PR00420	NA	NA	NA	NA	NA	NA	NA
KAF3075963.1	mobidb-lite	IPR024792	GO:0005094;GO:0005737	Reactome: R-HSA-194840	PF02115	SSF81296	G3DSA:2.70.50.30	NA	NA	PR00492	NA	NA	NA	NA	NA	NA	NA
KAF3063050.1	NA	IPR002110	GO:0005515	NA	PF05729;PF12796	SSF52540;SSF48403	G3DSA:1.25.40.20;G3DSA:3.40.50.300	SM00248	NA	PR01415	PS50088;PS50837;PS50297	NA	NA	NA	NA	NA	NA
KAF3071844.1	mobidb-lite	IPR007590	NA	NA	PF04502	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3056104.1	mobidb-lite	IPR024884	GO:0008270;GO:0070290	Reactome: R-HSA-2466712	PF12706	SSF56281	G3DSA:3.60.15.10	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF038896	NA
KAF3070270.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3068596.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3067509.1	NA	IPR000133	GO:0006621;GO:0016021;GO:0046923	Reactome: R-HSA-6807878|Reactome: R-HSA-6811434	PF00810	NA	NA	NA	NA	PR00660	NA	PS00952;PS00951	NA	NA	NA	NA	NA
KAF3069928.1	mobidb-lite	IPR022703	NA	NA	PF12051	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3055540.1	NA	IPR012338	NA	NA	PF00144	SSF56601	G3DSA:3.40.710.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3062721.1	NA	IPR010286	GO:0008168;GO:0003676;GO:0032259;GO:0006479;GO:0008276	NA	PF05971	SSF53335	G3DSA:3.40.50.150;G3DSA:1.10.8.10	NA	cd02440	NA	NA	PS00092	TIGR00536	NA	NA	NA	NA
KAF3077444.1	mobidb-lite	IPR001594	GO:0016409	NA	PF01529	NA	NA	NA	NA	NA	PS50216	NA	NA	NA	NA	NA	NA
KAF3065406.1	NA	IPR010730	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3077039.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3056864.1	NA	IPR006680	GO:0016787	NA	PF04909	SSF51556	G3DSA:3.20.20.140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3077337.1	NA	IPR002893	GO:0005515	NA	PF01753;PF00856	SSF82199;SSF144232	G3DSA:2.170.270.10;G3DSA:3.30.70.3410;G3DSA:3.30.60.180	SM00317	NA	NA	PS50280;PS50865	NA	NA	NA	NA	NA	NA
KAF3054705.1	NA	IPR036291	NA	NA	PF00106	SSF51735	G3DSA:3.40.50.720	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA
KAF3055511.1	NA	IPR029058	GO:0003824	NA	PF00561	SSF53474	G3DSA:3.40.50.1820	NA	NA	PR00111;PR00412	NA	NA	NA	NA	NA	NA	NA
KAF3057703.1	mobidb-lite	IPR029021	GO:0008138;GO:0016311;GO:0006470	NA	PF00782	SSF52799	G3DSA:3.90.190.10	SM00195	cd14498	NA	NA	NA	NA	NA	NA	NA	NA
KAF3073281.1	mobidb-lite	IPR003323		Reactome: R-HSA-5689896	PF10275	SSF54001	G3DSA:1.20.1300.20;G3DSA:3.30.200.60	NA	NA	NA	PS50802	NA	NA	NA	NA	NA	NA
KAF3073330.1	NA	IPR029063	NA	NA	PF04672	SSF53335	G3DSA:3.40.50.150	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF017393	NA
KAF3065641.1	mobidb-lite	IPR018838	NA	NA	PF10382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3072184.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3068259.1	NA	IPR002347	NA	NA	PF00106	SSF51735	G3DSA:3.40.50.720	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA
KAF3060788.1	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF04082;PF00172	SSF57701	G3DSA:4.10.240.10	SM00066;SM00906	cd00067;cd12148	NA	PS50048	PS00463	NA	NA	NA	NA	NA
KAF3072208.1	mobidb-lite	IPR005637	GO:0005634;GO:0051028;GO:0005515	Reactome: R-HSA-159236	PF03943	SSF52058;SSF46934;SSF54427	G3DSA:3.80.10.10;G3DSA:3.10.450.50;G3DSA:1.10.8.10	SM00804	cd14342	NA	PS51281;PS50177;PS51450	NA	NA	NA	NA	NA	NA
KAF3060585.1	mobidb-lite	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF00172;PF04082	SSF57701	G3DSA:4.10.240.10	SM00066;SM00906	cd12148;cd00067	NA	PS50048	PS00463	NA	NA	Coil	NA	NA
KAF3072966.1	NA	IPR042098	GO:0016491;GO:0055114	Reactome: R-HSA-71262	PF02668	SSF51197	G3DSA:3.60.130.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3075784.1	NA	IPR036046	GO:0003998	KEGG: 00620+3.6.1.7|KEGG: 00627+3.6.1.7	PF00708	SSF54975	G3DSA:3.30.70.100	NA	NA	PR00112	PS51160	PS00150	NA	NA	NA	NA	NA
KAF3062588.1	NA	IPR018028	GO:0004096;GO:0006979;GO:0020037;GO:0055114	KEGG: 00380+1.11.1.6|KEGG: 00630+1.11.1.6|Reactome: R-HSA-3299685|Reactome: R-HSA-6798695|Reactome: R-HSA-9033241|Reactome: R-HSA-9615017	PF00199	SSF56634	G3DSA:2.40.180.10	SM01060	cd08157	PR00067	PS51402	PS00438;PS00437	NA	NA	NA	PIRSF038928	NA
KAF3074073.1	mobidb-lite	IPR034164	GO:0004190;GO:0006508	NA	PF00026	SSF50630	G3DSA:2.40.70.10	NA	cd05471	PR00792	PS51767	NA	NA	NA	NA	NA	NA
KAF3074419.1	NA	NA	NA	NA	NA	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3075330.1	mobidb-lite	IPR012954		Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	PF08146;PF12397	SSF48371	G3DSA:1.25.10.10	SM01036	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3058762.1	NA	IPR024964	GO:0005515	NA	PF10607	NA	NA	SM00668;SM00667;SM00757	NA	NA	PS50897;PS50896;PS51867	NA	NA	NA	NA	NA	NA
KAF3059092.1	mobidb-lite	IPR007246	GO:0016021;GO:0042765;GO:0003824;GO:0009058;GO:0030170	Reactome: R-HSA-162791	PF04114;PF00155	SSF53383	G3DSA:3.40.630.10;G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3072704.1	mobidb-lite	IPR038665	GO:0016021;GO:0055085	NA	PF03595	NA	G3DSA:1.50.10.150	NA	cd09318	NA	NA	NA	NA	NA	NA	NA	NA
KAF3062926.1	NA	IPR001365	GO:0019239	Reactome: R-HSA-74217	PF00962	SSF51556	G3DSA:3.20.20.140	NA	cd00443	NA	NA	NA	NA	NA	NA	NA	NA
KAF3070167.1	NA	IPR002347	GO:0016491	NA	PF00106	SSF51735	G3DSA:3.40.50.720	NA	cd05233	PR00081	NA	PS00061	NA	NA	NA	NA	NA
