Gene	MobiDBLite	interpro	GO	PATHWAY	Pfam	SUPERFAMILY	TIGRFAM	ProSitePatterns	Gene3D	ProSiteProfiles	Coils	CDD	SMART	PRINTS	Hamap	PIRSF	SFLD
EHK45389.1	mobidb-lite	IPR012677	GO:0003676;GO:0003729	NA	PF00076	SSF54928	NA	NA	G3DSA:3.30.70.330	PS50102	NA	cd12577;cd12330	SM00360	NA	NA	NA	NA
EHK39692.1	mobidb-lite	NA	NA	NA	NA	SSF52058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK41658.1	mobidb-lite	IPR012337	GO:0003676;GO:0006139;GO:0008408	NA	PF01612	SSF53098	NA	NA	G3DSA:3.30.420.10	NA	Coil	cd06141	SM00474	NA	NA	NA	NA
EHK39524.1	NA	IPR003732	GO:0002161;GO:0005737;GO:0051499	NA	PF02580	SSF69500	TIGR00256	NA	G3DSA:3.50.80.10	NA	NA	NA	NA	NA	MF_00518	NA	NA
EHK48323.1	mobidb-lite	IPR016024	NA	NA	PF11707;PF16201	SSF48371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK49367.1	mobidb-lite	IPR036465	NA	NA	NA	SSF53300	NA	NA	G3DSA:3.40.50.410	NA	Coil	cd00198	NA	NA	NA	NA	NA
EHK49605.1	mobidb-lite	IPR020846	GO:0055085	NA	PF07690	SSF103473	NA	NA	G3DSA:1.20.1250.20	PS50850	NA	cd17352	NA	NA	NA	NA	NA
EHK45302.1	NA	IPR002893	GO:0005515	NA	PF01753;PF00856	SSF144232;SSF82199	NA	PS01360	G3DSA:3.30.60.180;G3DSA:3.30.70.3410;G3DSA:2.170.270.10	PS50865;PS50280	NA	NA	NA	NA	NA	NA	NA
EHK43662.1	mobidb-lite	IPR000558	GO:0000786;GO:0003677;GO:0046982	NA	PF00125	SSF47113	NA	PS00357	G3DSA:1.10.20.10	NA	NA	NA	SM00427	PR00621	NA	NA	NA
EHK45606.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK39824.1	mobidb-lite	IPR036400	NA	NA	PF00173	SSF55856	NA	NA	G3DSA:3.10.120.10	PS50255	NA	NA	SM01117	NA	NA	NA	NA
EHK48023.1	NA	IPR015424	GO:0003824;GO:0009058;GO:0030170	NA	PF00155	SSF53383	NA	PS00105	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	NA	NA	cd00609	NA	PR00753	NA	NA	NA
EHK41452.1	mobidb-lite	IPR036866	GO:0008033	Reactome: R-HSA-6784531|Reactome: R-HSA-6785470|Reactome: R-HSA-8868766	PF12706;PF13691	SSF56281	NA	NA	G3DSA:3.60.15.10	NA	NA	cd07718	NA	NA	NA	NA	NA
EHK46393.1	NA	IPR002347	GO:0016491	NA	PF13561	SSF51735	NA	PS00061	G3DSA:3.40.50.720	NA	NA	cd05233	NA	PR00081;PR00080	NA	NA	NA
EHK42220.1	NA	IPR011650	GO:0016787;GO:0006508;GO:0008237	NA	PF07687;PF01546;PF00291	SSF53686;SSF55031;SSF53187	TIGR01910	PS00758	G3DSA:3.40.630.10;G3DSA:3.40.50.1100;G3DSA:3.30.70.360	NA	NA	cd08013;cd00640	NA	NA	NA	NA	NA
EHK43882.1	mobidb-lite	IPR013950	GO:0000070;GO:0000776	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	PF08641	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK50620.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS51257	NA	NA	NA	NA	NA	NA	NA
EHK48859.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK50025.1	mobidb-lite	IPR016158	GO:0006511;GO:0031625	Reactome: R-HSA-8951664	PF08672;PF00888	SSF46785;SSF75632	NA	NA	G3DSA:1.10.10.2620;G3DSA:1.10.10.10	PS50069	NA	NA	SM00182;SM01013	NA	NA	NA	NA
EHK49408.1	NA	IPR002347	NA	NA	PF00106	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	PR00081	NA	NA	NA
EHK40284.1	NA	IPR001753	GO:0003824	NA	PF00378	SSF52096	NA	NA	G3DSA:3.90.226.10;G3DSA:1.10.12.10	NA	NA	cd06558	NA	NA	NA	NA	NA
EHK45080.1	NA	IPR001915	GO:0004222;GO:0006508	NA	PF01435	NA	NA	NA	NA	NA	NA	cd07331	NA	NA	NA	NA	NA
EHK45917.1	mobidb-lite	IPR002547	GO:0000049	Reactome: R-HSA-379716	PF01588	SSF47616;SSF50249	NA	NA	G3DSA:2.40.50.140;G3DSA:1.20.1050.130	PS50405;PS50886	NA	cd02799;cd10304	NA	NA	NA	NA	NA
EHK42445.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	SSF57701	NA	PS00463	NA	NA	Coil	cd00067	NA	NA	NA	NA	NA
EHK44072.1	mobidb-lite	IPR018108	GO:0005347;GO:0055085	NA	PF00153	SSF103506	NA	NA	G3DSA:1.50.40.10	PS50920	NA	NA	NA	PR00926	NA	NA	NA
EHK44337.1	NA	IPR002125	GO:0003824	NA	PF18785	SSF53927	NA	NA	G3DSA:3.40.140.10	PS51747	NA	NA	NA	NA	NA	NA	NA
EHK49320.1	NA	IPR036259	GO:0016021;GO:0022857;GO:0055085;GO:0016020	Reactome: R-HSA-189200	PF00083	SSF103473	TIGR00879	PS00216	G3DSA:1.20.1250.20	PS50850	Coil	cd17356	NA	PR00171	NA	NA	NA
EHK43647.1	NA	IPR015931	GO:0003994;GO:0006099;GO:0051539	KEGG: 00290+4.2.1.33	PF00330;PF00694	SSF53732;SSF52016	TIGR01340	PS01244;PS00450	G3DSA:3.30.499.10;G3DSA:3.40.1060.10;G3DSA:3.20.19.10	NA	NA	cd01584	NA	PR00415	NA	NA	NA
EHK45411.1	NA	IPR001753	GO:0003824	NA	PF00378	SSF52096	NA	NA	G3DSA:3.90.226.10	NA	NA	cd06558	NA	NA	NA	NA	NA
EHK45541.1	NA	IPR023614	GO:0005741;GO:0008308;GO:0098656;GO:0055085	Reactome: R-HSA-5689880|Reactome: R-HSA-8949215	PF01459	NA	NA	NA	G3DSA:2.40.160.10	NA	NA	cd07306	NA	PR00185	NA	NA	NA
EHK43669.1	mobidb-lite	IPR001078	GO:0016746;GO:0004149;GO:0006099;GO:0045252	Reactome: R-HSA-389661	PF00198;PF00364	SSF52777;SSF51230	TIGR01347	PS00189	G3DSA:2.40.50.100;G3DSA:3.30.559.10	PS50968	NA	cd06849	NA	NA	NA	NA	NA
EHK47491.1	NA	IPR007197	GO:0003824;GO:0051536	NA	PF04055;PF13353	SSF102114	NA	NA	G3DSA:3.20.20.70	NA	NA	cd01335	SM00729	NA	NA	NA	SFLDG01067;SFLDF00318;SFLDS00029
EHK48357.1	NA	IPR008389	GO:0015078;GO:0033179;GO:1902600	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-9639288|Reactome: R-HSA-983712	PF05493	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42224.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	NA	NA	G3DSA:4.10.240.10	NA	Coil	cd12148;cd00067	NA	NA	NA	NA	NA
EHK44499.1	NA	IPR006598	NA	NA	PF05686	NA	NA	NA	NA	NA	Coil	NA	SM00672	NA	NA	NA	NA
EHK43351.1	NA	IPR036291		Reactome: R-HSA-70635	PF05368	SSF51735	NA	NA	G3DSA:3.40.50.720;G3DSA:3.90.25.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK47958.1	mobidb-lite	IPR009567	GO:0030176;GO:2001256	NA	PF06682	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK39346.1	NA	IPR029058	GO:0004806;GO:0016042	NA	NA	SSF53474	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	PIRSF029171	NA
EHK47999.1	mobidb-lite	IPR009286	GO:0005524;GO:0035299	KEGG: 00562+2.7.1.158|KEGG: 04070+2.7.1.158|MetaCyc: PWY-4661|MetaCyc: PWY-6361|MetaCyc: PWY-6362|MetaCyc: PWY-6369|MetaCyc: PWY-6372|MetaCyc: PWY-6554|Reactome: R-HSA-1855167|Reactome: R-HSA-1855191	PF06090	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK50383.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42816.1	NA	IPR035959		Reactome: R-HSA-8849175	PF01042	SSF55298	NA	NA	G3DSA:3.30.1330.40	NA	NA	cd06154	NA	NA	NA	NA	NA
EHK44484.1	NA	IPR029058	GO:0016787	NA	PF07859	SSF53474	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA
EHK41000.1	NA	IPR007111	GO:0005515	NA	PF05729;PF12796	SSF52540;SSF48403	NA	NA	G3DSA:3.40.50.300	PS50297;PS50088	NA	NA	SM00248	NA	NA	NA	NA
EHK40255.1	mobidb-lite	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF12955	NA	NA	NA	G3DSA:4.10.240.10	NA	NA	cd12148	NA	NA	NA	NA	NA
EHK50479.1	mobidb-lite	IPR022233		Reactome: R-HSA-204005|Reactome: R-HSA-8876198	PF12584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK50666.1	mobidb-lite	IPR011431	NA	NA	PF07543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42052.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK45534.1	mobidb-lite	IPR017853	NA	NA	NA	SSF51445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK46731.1	NA	IPR009799	NA	NA	NA	SSF54909	TIGR02118	NA	G3DSA:3.30.70.100	NA	NA	NA	NA	NA	NA	NA	NA
EHK47143.1	NA	IPR036928		KEGG: 00970+6.3.5.7	PF01425	SSF75304	NA	NA	G3DSA:3.90.1300.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK45164.1	mobidb-lite	IPR001962	GO:0004066;GO:0006529	KEGG: 00250+6.3.5.4|Reactome: R-HSA-380994|Reactome: R-HSA-8963693	PF00733;PF13537	SSF56235;SSF52402	TIGR01536	NA	G3DSA:3.60.20.10;G3DSA:3.40.50.620	PS51278	NA	cd00712;cd01991	NA	NA	NA	PIRSF001589	NA
EHK50404.1	NA	IPR013785	GO:0003824;GO:0010181;GO:0016491;GO:0055114	NA	PF00724	SSF51395	NA	NA	G3DSA:3.20.20.70	NA	NA	cd02933	NA	NA	NA	NA	NA
EHK39445.1	NA	IPR029058	GO:0003824	NA	PF00561	SSF53474	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	PR00412	NA	NA	NA
EHK47955.1	mobidb-lite	IPR038491	NA	NA	PF11754	NA	NA	NA	G3DSA:2.60.40.3960	PS51821	NA	NA	NA	NA	NA	NA	NA
EHK48701.1	NA	IPR013057	NA	NA	PF01490	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK43047.1	mobidb-lite	IPR001253	GO:0003743;GO:0006413;GO:0003723	NA	PF01176	SSF50249	TIGR00523	NA	G3DSA:2.40.50.140	PS50832	NA	cd05793	SM00652	NA	MF_00216	NA	NA
EHK43517.1	mobidb-lite	IPR015069	NA	NA	PF08975	SSF55144	NA	NA	G3DSA:3.90.1140.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK46861.1	NA	IPR011701	GO:0055085	NA	PF07690	SSF103473	NA	NA	G3DSA:1.20.1250.20	PS50850	NA	cd17502	NA	NA	NA	NA	NA
EHK41563.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK46259.1	mobidb-lite	IPR005024	GO:0007034	NA	PF03357	NA	NA	NA	G3DSA:1.10.287.1060	NA	Coil	NA	NA	NA	NA	NA	NA
EHK50592.1	NA	IPR001114	GO:0004019;GO:0005525;GO:0006164	KEGG: 00230+6.3.4.4|KEGG: 00250+6.3.4.4|MetaCyc: PWY-7219|Reactome: R-HSA-73817	NA	NA	NA	NA	NA	NA	NA	cd03108	NA	NA	NA	NA	NA
EHK43183.1	mobidb-lite	IPR008012	GO:0043248	NA	PF05348	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK50063.1	NA	IPR001623	NA	NA	PF00226	SSF46565	NA	NA	G3DSA:1.10.287.110	PS50076	NA	cd06257	SM00271	PR00625	NA	NA	NA
EHK50623.1	mobidb-lite	IPR002504	GO:0003951;GO:0006741;GO:0019674	KEGG: 00760+2.7.1.23|MetaCyc: PWY-5083|MetaCyc: PWY-7268|MetaCyc: PWY-7269|Reactome: R-HSA-196807	PF01513	SSF111331	NA	NA	G3DSA:2.60.200.30;G3DSA:3.40.50.12540	NA	NA	NA	NA	NA	MF_00361	NA	NA
EHK49202.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK51148.1	mobidb-lite	IPR006760		Reactome: R-HSA-2465910	PF04667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK48382.1	NA	IPR036736	GO:0004043;GO:0009085;GO:0003824	KEGG: 00300+1.2.1.95|KEGG: 00310+1.2.1.31	PF00550;PF00501;PF07993	SSF51735;SSF56801;SSF47336	TIGR03443;TIGR01746;TIGR01733	PS00455	G3DSA:1.10.1200.10;G3DSA:3.30.300.30;G3DSA:3.40.50.12780;G3DSA:3.40.50.720	PS50075	NA	cd17647;cd05235	NA	NA	NA	PIRSF001617	NA
EHK42738.1	mobidb-lite	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF04082;PF00172	SSF57701	NA	PS00463	G3DSA:4.10.240.10	PS50048	NA	cd00067;cd12148	SM00066	NA	NA	NA	NA
EHK44494.1	NA	IPR027796	NA	NA	PF14441	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK50782.1	NA	IPR009078	NA	NA	PF13668	SSF47240	NA	NA	NA	NA	NA	cd00657	NA	NA	NA	NA	NA
EHK45429.1	mobidb-lite	IPR004600	GO:0000439;GO:0006289;GO:0006355	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167246|Reactome: R-HSA-427413|Reactome: R-HSA-5696395|Reactome: R-HSA-5696400|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-72086|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-73863|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-77075	PF03850	NA	NA	NA	G3DSA:3.40.50.410	NA	NA	NA	NA	NA	NA	NA	NA
EHK43355.1	NA	IPR004843	GO:0016787	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	PF00149	SSF56300	NA	PS00125	G3DSA:3.60.21.10	NA	NA	cd07415	SM00156	PR00114	NA	NA	NA
EHK45699.1	NA	IPR008271	GO:0004672;GO:0006468;GO:0005515;GO:0005524	NA	PF00498;PF00069	SSF49879;SSF56112	NA	PS00108	G3DSA:1.10.510.10;G3DSA:2.60.200.20	PS50011;PS50006	NA	cd00060	SM00240;SM00220	NA	NA	NA	NA
EHK47899.1	NA	IPR007233	GO:0016192;GO:0030008	Reactome: R-HSA-204005|Reactome: R-HSA-8876198	PF04099	SSF64356	NA	NA	G3DSA:3.30.450.70	NA	NA	cd14855	SM01399	NA	NA	NA	NA
EHK40816.1	mobidb-lite	IPR036202	GO:0003677;GO:0003917;GO:0005694;GO:0006265	NA	PF14370;PF01028;PF02919	SSF56741;SSF56349	NA	NA	G3DSA:3.90.15.10;G3DSA:1.10.10.41;G3DSA:1.10.132.10;G3DSA:2.170.11.10	NA	Coil	cd00659;cd00660	SM00435	PR00416	NA	NA	NA
EHK42565.1	NA	IPR013087	GO:0003676	NA	PF13894	SSF57667	NA	PS00028	G3DSA:3.30.160.60	PS50157	NA	NA	SM00355	NA	NA	NA	NA
EHK43187.1	mobidb-lite	IPR011989	NA	NA	NA	SSF48371	NA	NA	G3DSA:1.25.10.10	NA	NA	cd13394	NA	NA	NA	NA	NA
EHK44575.1	NA	IPR029058	NA	NA	NA	SSF53474	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA
EHK41073.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK48078.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK49181.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK44092.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK44600.1	mobidb-lite	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	PF00069	SSF56112	NA	PS00108;PS00107	G3DSA:1.10.510.10	PS50011	Coil	NA	SM00220	NA	NA	NA	NA
EHK40972.1	mobidb-lite	IPR013087	GO:0003676	NA	PF00096;PF12874	SSF57667	NA	PS00028	G3DSA:3.30.160.60	PS50157	NA	NA	SM00355	NA	NA	NA	NA
EHK50853.1	mobidb-lite	IPR021858	NA	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK43171.1	NA	IPR004522	GO:0000166;GO:0004816;GO:0005524;GO:0006421;GO:0004812;GO:0006418;GO:0003676	KEGG: 00970+6.1.1.22	PF01336;PF00152	SSF55681;SSF50249	TIGR00457	NA	G3DSA:1.10.10.1430;G3DSA:2.40.50.140;G3DSA:3.30.930.10	PS50862	Coil	cd04323;cd00776	NA	PR01042	NA	NA	NA
EHK45725.1	mobidb-lite	IPR027417	GO:0000723;GO:0003678;GO:0006281	NA	PF05970	SSF52540	NA	NA	G3DSA:3.40.50.300	NA	Coil	cd18037	NA	NA	NA	NA	NA
EHK51055.1	mobidb-lite	IPR007201	GO:0003676	NA	PF04059	SSF54928	NA	NA	NA	PS50102	NA	NA	NA	NA	NA	NA	NA
EHK40235.1	NA	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	NA	PF00067	SSF48264	NA	PS00086	G3DSA:1.10.630.10	NA	NA	NA	NA	PR00385;PR00465	NA	NA	NA
EHK43684.1	mobidb-lite	IPR006571	NA	NA	PF07534	NA	NA	NA	NA	NA	NA	NA	SM00584	NA	NA	NA	NA
EHK42030.1	mobidb-lite	IPR036852	GO:0004252;GO:0006508	NA	PF00082	SSF52743	NA	NA	G3DSA:3.40.50.200	NA	NA	cd00306	NA	PR00723	NA	NA	NA
EHK44048.1	NA	IPR020846	GO:0016021;GO:0022857;GO:0055085	NA	PF00083	SSF103473	NA	PS00216	G3DSA:1.20.1250.20	PS50850	NA	cd17364	NA	NA	NA	NA	NA
EHK47760.1	NA	IPR029063	NA	NA	PF04672	SSF53335	NA	NA	G3DSA:3.40.50.150	NA	NA	cd02440	NA	NA	NA	PIRSF017393	NA
EHK42190.1	NA	IPR023753	GO:0016491;GO:0055114	NA	PF07992	SSF51905	NA	NA	G3DSA:3.50.50.100	NA	NA	NA	NA	PR00368;PR00411	NA	NA	NA
EHK39351.1	NA	IPR036291		Reactome: R-HSA-70635	PF05368	SSF51735	NA	NA	G3DSA:3.90.25.10;G3DSA:3.40.50.720	NA	NA	cd05251	NA	NA	NA	NA	NA
EHK42333.1	NA	IPR024535	NA	NA	PF12708	SSF51126	NA	NA	G3DSA:2.160.20.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK43661.1	mobidb-lite	IPR036867	GO:0003676	NA	PF01424;PF01585	SSF82708	NA	NA	G3DSA:3.30.1370.50	PS51061;PS50174	NA	cd02646	SM00443;SM00393	NA	NA	NA	NA
EHK45057.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK41621.1	mobidb-lite	IPR006964		Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	PF04880	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK41881.1	NA	IPR009078	NA	NA	PF13668	SSF47240	NA	NA	NA	NA	NA	cd00657	NA	NA	NA	NA	NA
EHK46477.1	mobidb-lite	IPR011516	GO:0000775;GO:0005634;GO:0045132	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	PF07558;PF07557	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK49871.1	mobidb-lite	IPR011701	GO:0055085	NA	PF07690	SSF103473	NA	NA	G3DSA:1.20.1250.20	NA	NA	cd17399	NA	NA	NA	NA	NA
EHK50000.1	mobidb-lite	IPR001623	GO:0001671;GO:0051087;GO:0097428;GO:0051259	Reactome: R-HSA-1268020|Reactome: R-HSA-1362409	PF07743	SSF46565;SSF47144	TIGR00714	NA	G3DSA:1.20.1280.20;G3DSA:1.10.287.110	PS50076	NA	cd06257	SM00271	NA	NA	NA	NA
EHK40166.1	mobidb-lite	IPR019325	GO:0007034;GO:0030001	NA	PF10176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK43614.1	NA	IPR002213	GO:0016758	Reactome: R-HSA-156588	PF00201	SSF53756	NA	NA	G3DSA:3.40.50.2000	NA	NA	cd03784	NA	NA	NA	NA	NA
EHK50698.1	NA	IPR019495	GO:0000178;GO:0003723	Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226	PF10447;PF14382	SSF110324;SSF50249	NA	NA	G3DSA:2.40.50.140;G3DSA:2.40.50.100	NA	NA	cd05791	SM00316	NA	NA	NA	NA
EHK41604.1	NA	IPR005857	GO:0004122;GO:0005737;GO:0019343;GO:0006535	KEGG: 00260+4.2.1.22|KEGG: 00270+4.2.1.22|MetaCyc: PWY-801|Reactome: R-HSA-1614603	PF00291;PF00571	SSF54631;SSF53686	TIGR01137	PS00901	G3DSA:3.40.50.1100;G3DSA:3.10.580.10	PS51371	NA	cd01561;cd04608	SM00116	NA	NA	NA	NA
EHK46123.1	NA	IPR036259	GO:0055085	NA	PF07690	SSF103473	NA	NA	G3DSA:1.20.1250.20	PS50850	NA	cd17352	NA	NA	NA	NA	NA
EHK47159.1	NA	IPR008949	GO:0016838	KEGG: 00909+4.2.3.6|MetaCyc: PWY-7711	PF06330	SSF48576	NA	NA	G3DSA:1.10.600.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK42890.1	mobidb-lite	IPR013087	GO:0003676	NA	PF18826	NA	NA	PS00028	G3DSA:1.25.40.20	PS50297	Coil	NA	NA	NA	NA	NA	NA
EHK39873.1	mobidb-lite	IPR029026	GO:0008168	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	PF03587	SSF75217	NA	NA	G3DSA:3.40.1280.10	NA	NA	cd18088	NA	NA	NA	NA	NA
EHK41972.1	mobidb-lite	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF00172;PF04082	SSF57701	NA	PS00463	G3DSA:4.10.240.10	PS50048	NA	cd12148;cd00067	SM00906;SM00066	NA	NA	NA	NA
EHK47549.1	mobidb-lite	IPR029058	NA	NA	NA	SSF53474	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA
EHK47645.1	NA	IPR007645	GO:0003677;GO:0003899;GO:0006351;GO:0032549;GO:0005634	Reactome: R-HSA-427413|Reactome: R-HSA-5250924|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73863	PF04565;PF04561;PF00562;PF04563;PF04560;PF06883	SSF64484	NA	PS01166	G3DSA:3.90.1800.10;G3DSA:2.40.50.150;G3DSA:2.40.270.10;G3DSA:3.90.1070.20;G3DSA:3.90.1110.10	NA	NA	cd00653	NA	NA	NA	NA	NA
EHK48462.1	mobidb-lite	NA	NA	NA	PF15365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK49298.1	mobidb-lite	IPR036236	GO:0003676;GO:0003677	NA	NA	SSF57667	NA	PS00028	G3DSA:3.30.160.60	PS50808;PS50157	Coil	NA	SM00355	NA	NA	NA	NA
EHK44028.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK49453.1	NA	IPR008928	GO:0003824;GO:0004560	KEGG: 00511+3.2.1.51|MetaCyc: PWY-6807	PF14498	SSF48208	NA	NA	G3DSA:2.60.40.1180;G3DSA:2.70.98.50;G3DSA:1.50.10.10	NA	NA	NA	NA	NA	NA	PIRSF007663	NA
EHK39378.1	NA	IPR042098	GO:0016491;GO:0055114	Reactome: R-HSA-71262	PF02668;PF05141	SSF51197	NA	NA	G3DSA:3.60.130.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK49300.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF04082;PF00172	SSF57701	NA	PS00463	G3DSA:4.10.240.10	PS50048	NA	cd00067;cd12148	SM00066;SM00906	NA	NA	NA	NA
EHK43102.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK50259.1	mobidb-lite	IPR016024	GO:0006886;GO:0008536	NA	PF03810	SSF48371	NA	NA	NA	PS50166	NA	NA	SM00913	NA	NA	NA	NA
EHK40677.1	mobidb-lite	IPR037103	GO:0005874;GO:0007017;GO:0003924;GO:0000930;GO:0007020;GO:0031122;GO:0005525	Reactome: R-HSA-1445148|Reactome: R-HSA-190840|Reactome: R-HSA-190861|Reactome: R-HSA-2132295|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-3371497|Reactome: R-HSA-380320|Reactome: R-HSA-437239|Reactome: R-HSA-5617833|Reactome: R-HSA-5626467|Reactome: R-HSA-5663220|Reactome: R-HSA-6807878|Reactome: R-HSA-6811434|Reactome: R-HSA-6811436|Reactome: R-HSA-68877|Reactome: R-HSA-8852276|Reactome: R-HSA-8955332|Reactome: R-HSA-9609736|Reactome: R-HSA-9619483|Reactome: R-HSA-983189	PF03953;PF00091	SSF52490;SSF55307	NA	PS00227	G3DSA:3.30.1330.20;G3DSA:1.10.287.600;G3DSA:3.40.50.1440	NA	NA	cd02188	SM00864;SM00865	PR01161;PR01164	NA	NA	NA
