Gene	MobiDBLite	interpro	GO	PATHWAY	Pfam	Coils	SUPERFAMILY	Gene3D	ProSiteProfiles	CDD	SMART	TIGRFAM	PRINTS	ProSitePatterns	PIRSF	SFLD	Hamap
OPB38816.1	mobidb-lite	IPR008271	GO:0004672;GO:0006468;GO:0005524	NA	PF00069	NA	SSF56112	G3DSA:3.30.200.20	PS50011	cd14136	SM00220	NA	NA	PS00108;PS00107	NA	NA	NA
OPB46585.1	NA	IPR010730	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB37661.1	mobidb-lite	IPR036259	GO:0055085	NA	PF07690	NA	SSF103473	G3DSA:1.20.1250.20	PS50850	cd17327	NA	NA	NA	NA	NA	NA	NA
OPB44803.1	NA	IPR001509	GO:0003824;GO:0050662	NA	PF01370	NA	SSF51735	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43609.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46207.1	mobidb-lite	IPR013057	NA	NA	PF01490	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46875.1	mobidb-lite	IPR012677	GO:0003676	NA	PF00076	Coil	SSF54928	G3DSA:3.30.70.330	PS50102	cd12246	SM00360	NA	NA	NA	NA	NA	NA
OPB39840.1	NA	IPR034686	NA	NA	NA	NA	SSF48576	G3DSA:1.10.600.10	NA	NA	NA	NA	NA	NA	NA	SFLDS00005;SFLDG01020	NA
OPB41054.1	mobidb-lite	IPR027417	GO:0005524	NA	PF00004	NA	SSF52540	G3DSA:3.40.50.300	NA	cd00009	SM00382	NA	NA	NA	NA	NA	NA
OPB40185.1	mobidb-lite	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	PF00069	NA	SSF56112	G3DSA:3.30.200.20;G3DSA:1.10.510.10	PS50011	cd07840	SM00220	NA	NA	PS00107;PS00108	NA	NA	NA
OPB39139.1	mobidb-lite	IPR000210	GO:0005515	NA	PF00651	NA	SSF54695	G3DSA:3.30.710.10	PS50097	cd18186	NA	NA	NA	NA	NA	NA	NA
OPB38824.1	NA	IPR040976		KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	PF17667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB45168.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38742.1	mobidb-lite	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	NA	PF04082;PF00172	NA	SSF57701	G3DSA:4.10.240.10	PS50048	cd00067;cd12148	SM00066	NA	NA	PS00463	NA	NA	NA
OPB39507.1	mobidb-lite	IPR001878	GO:0003676;GO:0008270	Reactome: R-HSA-983168	PF13696;PF08783	NA	SSF57850;SSF57756	G3DSA:3.10.20.90;G3DSA:4.10.60.10;G3DSA:3.30.40.10	PS50158;PS51282	cd16620	SM01180	NA	NA	NA	NA	NA	NA
OPB39533.1	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38002.1	NA	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0016491;GO:0003958;GO:0070330;GO:0010181	KEGG: 00071+1.14.14.1|KEGG: 00140+1.14.14.1|KEGG: 00232+1.14.14.1|KEGG: 00380+1.14.14.1|KEGG: 00590+1.14.14.1|KEGG: 00591+1.14.14.1|KEGG: 00627+1.14.14.1|KEGG: 00830+1.14.14.1|KEGG: 00980+1.14.14.1|KEGG: 00982+1.14.14.1|MetaCyc: PWY-5451|MetaCyc: PWY-5665|MetaCyc: PWY-6398|MetaCyc: PWY-6992|MetaCyc: PWY-7466|MetaCyc: PWY-7826	PF00667;PF00175;PF00067;PF00258	NA	SSF52343;SSF48264;SSF52218;SSF63380	G3DSA:3.40.50.360;G3DSA:1.20.990.10;G3DSA:1.10.630.10;G3DSA:2.40.30.10;G3DSA:3.40.50.80	PS51384;PS50902	cd06206	NA	NA	PR00385;PR00463	PS00086	PIRSF000209	NA	NA
OPB41856.1	NA	IPR021858	NA	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36292.1	NA	IPR036291	NA	NA	PF00106	NA	SSF51735	G3DSA:3.40.50.720	NA	cd05233	SM00822	NA	PR00081	NA	NA	NA	NA
OPB40318.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB45232.1	NA	IPR036378	NA	NA	PF02469	NA	SSF82153	G3DSA:2.30.180.10	PS50213	NA	SM00554	NA	NA	NA	NA	NA	NA
OPB45628.1	NA	IPR042098	GO:0016491;GO:0055114	Reactome: R-HSA-71262	PF02668	NA	SSF51197	G3DSA:3.60.130.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB37917.1	NA	IPR031157	GO:0005525;GO:0003924;GO:0003746;GO:0006414	Reactome: R-HSA-5389840	PF00679;PF14492;PF03764;PF00009;PF03144	Coil	SSF50447;SSF54211;SSF54980;SSF52540	G3DSA:3.40.50.300;G3DSA:3.30.230.10;G3DSA:2.40.30.10;G3DSA:3.30.70.870;G3DSA:3.30.70.240	PS51722	cd01434;cd16262;cd04091;cd01886;cd04097	SM00838;SM00889	TIGR00484;TIGR00231	PR00315	PS00301	NA	NA	MF_00054_B
OPB45129.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB37147.1	mobidb-lite	IPR015920	NA	NA	PF03188;PF16010	NA	SSF49344	G3DSA:1.20.120.1770;G3DSA:2.60.40.1210	NA	cd09630;cd08760	SM00665	NA	NA	NA	NA	NA	NA
OPB37946.1	NA	IPR013154	GO:0055114;GO:0016491	NA	PF08240	NA	SSF50129;SSF51735	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	cd08249	SM00829	NA	NA	NA	NA	NA	NA
OPB39381.1	mobidb-lite	IPR002889	NA	NA	PF01822	NA	NA	NA	PS51212	NA	SM00321	NA	PR01217	NA	NA	NA	NA
OPB42978.1	mobidb-lite	IPR017970	GO:0006355;GO:0043565;GO:0003677	NA	PF00046	Coil	SSF46689	G3DSA:1.10.10.60	PS50071	cd00086	SM00389	NA	NA	PS00027	NA	NA	NA
OPB37335.1	mobidb-lite	IPR041628		KEGG: 00860+6.6.1.1|MetaCyc: PWY-5531|MetaCyc: PWY-7159	PF17863	NA	NA	G3DSA:1.10.8.300	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB39768.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43249.1	NA	IPR012094	GO:0000166;GO:0005524;GO:0008033;GO:0016879	Reactome: R-HSA-6782315	PF01171	NA	SSF52402	NA	NA	cd01992	NA	NA	NA	NA	NA	NA	MF_01161
OPB39826.1	mobidb-lite	IPR001313	GO:0003723	NA	PF00806	NA	SSF48371	G3DSA:1.25.10.10	PS50302;PS50303	cd07920	SM00025	NA	NA	NA	NA	NA	NA
OPB39068.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA
OPB41491.1	mobidb-lite	IPR008921	GO:0003677;GO:0006260;GO:0005524;GO:0006281	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174411|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091	PF16193;PF00004;PF12002	NA	SSF48019;SSF52540	G3DSA:1.10.3710.10;G3DSA:1.20.272.10;G3DSA:3.30.160.60;G3DSA:1.10.8.60;G3DSA:3.40.50.300	NA	cd18139;cd00009	SM00382;SM00734	NA	NA	NA	NA	NA	NA
OPB38196.1	mobidb-lite	IPR014001	GO:0003676;GO:0005524	NA	PF02889;PF00270;PF00271	NA	SSF52540;SSF81296;SSF46785;SSF158702	G3DSA:1.10.3380.10;G3DSA:3.40.50.300;G3DSA:2.60.40.150;G3DSA:1.10.10.2530	PS51192;PS51194	cd18795;cd18020;cd18022	SM00973;SM00382;SM00487;SM00490	NA	NA	NA	PIRSF039073	NA	NA
OPB38030.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172	NA	SSF57701	G3DSA:4.10.240.10	PS50048	cd00067	SM00066	NA	PR00755	PS00463	NA	NA	NA
OPB39897.1	mobidb-lite	IPR004580	GO:0003697;GO:0006301;GO:0006513;GO:0061630;GO:0003677;GO:0006281	MetaCyc: PWY-7511	NA	NA	NA	NA	PS50800	NA	SM00513;SM00734	TIGR00599	NA	NA	NA	NA	NA
OPB43766.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46087.1	NA	IPR017972	GO:0016705;GO:0055114;GO:0005506;GO:0020037	NA	PF00067	NA	SSF48264	G3DSA:1.10.630.10	NA	NA	NA	NA	PR00463;PR00385	PS00086	NA	NA	NA
OPB46108.1	NA	IPR042099	NA	NA	NA	NA	SSF56801	G3DSA:3.40.50.12780	NA	cd05913	NA	NA	NA	NA	NA	NA	NA
OPB36685.1	NA	IPR018170	GO:0016491;GO:0055114	NA	PF00248	NA	SSF51430	G3DSA:3.20.20.100	NA	cd06660	NA	NA	PR00069	PS00062;PS00798	PIRSF000097	NA	NA
OPB39541.1	NA	IPR009069	GO:0005515	Reactome: R-HSA-1268020	PF08991	NA	SSF47072	G3DSA:1.10.287.1130	PS51004;PS51808	NA	NA	NA	NA	NA	NA	NA	NA
OPB39730.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB44057.1	mobidb-lite	IPR036870	GO:0003735;GO:0005840;GO:0006412	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	PF01084	NA	SSF46911	G3DSA:4.10.640.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB41332.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43629.1	mobidb-lite	IPR036028	GO:0005515	NA	PF14604;PF00169;PF07647	NA	SSF50044;SSF47769;SSF50729	G3DSA:2.30.30.40;G3DSA:1.10.150.50	PS50003;PS50002;PS50105	cd11886;cd09535;cd13316	SM00233;SM00454;SM00326	NA	NA	NA	NA	NA	NA
OPB41175.1	NA	IPR005828	GO:0016021;GO:0022857;GO:0055085	NA	PF00083	NA	SSF103473	G3DSA:1.20.1250.20	PS50850	cd17356	NA	NA	NA	PS00216	NA	NA	NA
OPB45736.1	mobidb-lite	IPR036322	GO:0005515	NA	NA	NA	SSF50978	G3DSA:2.130.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43499.1	mobidb-lite	IPR017441	GO:0005524;GO:0004672;GO:0006468	NA	PF00069	NA	SSF56112	G3DSA:1.10.510.10;G3DSA:3.30.200.20	PS50011	cd05581	SM00220	NA	NA	PS00107;PS00108	NA	NA	NA
OPB45861.1	mobidb-lite	IPR036908	NA	NA	NA	NA	SSF50685	G3DSA:2.40.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38949.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB41445.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36058.1	NA	IPR002347	NA	NA	PF00106	NA	SSF51735	G3DSA:3.40.50.720	NA	NA	NA	NA	PR00081	NA	NA	NA	NA
OPB42318.1	NA	IPR005345	GO:0000398	Reactome: R-HSA-72163	PF03660	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF016468	NA	NA
OPB46382.1	NA	IPR009197	NA	NA	PF07364;PF07171	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF012702	NA	NA
OPB36220.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38130.1	mobidb-lite	IPR000555	GO:0005515;GO:0000338;GO:0008180	Reactome: R-HSA-5696394|Reactome: R-HSA-6781823|Reactome: R-HSA-8856825|Reactome: R-HSA-8951664	PF01398;PF13012	NA	NA	G3DSA:3.40.140.10	PS50249	cd08063	NA	NA	NA	NA	NA	NA	NA
OPB47130.1	NA	IPR020946	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	PF00743	NA	SSF51905	G3DSA:3.50.50.60	NA	NA	NA	NA	PR00370	NA	NA	NA	NA
OPB36822.1	NA	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0016020	Reactome: R-HSA-189200	PF00083	NA	SSF103473	G3DSA:1.20.1250.20	PS50850	cd17356	NA	NA	PR00171	NA	NA	NA	NA
OPB40451.1	NA	IPR010730	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36128.1	NA	IPR002401	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PF00067	NA	SSF48264	G3DSA:1.10.630.10	NA	NA	NA	NA	PR00463;PR00385	PS00086	NA	NA	NA
OPB46683.1	mobidb-lite	IPR012592	GO:0000398;GO:0030623;GO:0003723;GO:0005515;GO:0017070	Reactome: R-HSA-72163|Reactome: R-HSA-72165	PF08083;PF12134;PF08084;PF08082;PF10597;PF10598;PF10596	NA	SSF53098	G3DSA:3.90.1570.40;G3DSA:3.40.140.10;G3DSA:1.20.80.40;G3DSA:1.20.58.1750;G3DSA:3.30.420.230	NA	cd08056;cd13838	SM00232	NA	NA	NA	NA	NA	NA
OPB36562.1	NA	IPR002347	GO:0016491	NA	PF13561	NA	SSF51735	G3DSA:3.40.50.720	NA	cd05233	NA	NA	PR00081	PS00061	NA	NA	NA
OPB36625.1	NA	IPR038071	GO:0003871;GO:0008270;GO:0009086	Reactome: R-HSA-189451	PF01717	NA	SSF51726	G3DSA:3.20.20.210	NA	cd03311	NA	NA	NA	NA	NA	NA	NA
OPB41019.1	NA	IPR003737		Reactome: R-HSA-162710	PF02585	NA	SSF102588	G3DSA:3.40.50.10320	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38267.1	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43176.1	mobidb-lite	IPR013083	NA	NA	PF01485	Coil	SSF57850	G3DSA:1.20.120.1750;G3DSA:3.30.40.10	PS51873;PS50089	NA	SM00647	NA	NA	NA	NA	NA	NA
OPB44351.1	mobidb-lite	IPR036895	GO:0004844;GO:0006281;GO:0006284;GO:0016799	Reactome: R-HSA-110328|Reactome: R-HSA-110329|Reactome: R-HSA-110357	PF03167	Coil	SSF52141	G3DSA:3.40.470.10	NA	cd10027	SM00987;SM00986	TIGR00628	NA	PS00130	NA	NA	MF_00148
OPB35998.1	NA	IPR035994	GO:0003824;GO:0009116	NA	NA	NA	SSF53167	NA	NA	cd09008	NA	NA	NA	NA	NA	NA	NA
OPB46538.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF00172;PF04082	NA	SSF57701	G3DSA:4.10.240.10	PS50048	cd12148;cd00067	SM00906;SM00066	NA	NA	PS00463	NA	NA	NA
OPB44649.1	mobidb-lite	IPR007696	GO:0005524;GO:0006298;GO:0030983	Reactome: R-HSA-5632928	PF05190;PF00488;PF05192;PF05188;PF01624	Coil	SSF52540;SSF55271;SSF48334;SSF53150	G3DSA:3.40.1170.10;G3DSA:3.40.50.300;G3DSA:1.10.1420.10;G3DSA:3.30.420.110	NA	NA	SM00533;SM00534	NA	NA	PS00486	PIRSF037677	NA	NA
OPB41365.1	NA	IPR014710	NA	NA	PF12973	NA	SSF51182	G3DSA:2.60.120.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38333.1	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46130.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB41057.1	NA	IPR018170	GO:0016491;GO:0055114	NA	PF00248	NA	SSF51430	G3DSA:3.20.20.100	NA	cd06660	NA	NA	PR00069	PS00062	NA	NA	NA
OPB38519.1	NA	IPR000876	GO:0003735;GO:0005840;GO:0006412;GO:0003723	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF00900;PF16121;PF08071;PF00467	NA	NA	G3DSA:2.30.30.30;G3DSA:3.10.290.40;G3DSA:2.40.50.740	PS50889	cd00165;cd06087	SM00363	NA	NA	PS00528	PIRSF002116	NA	MF_00485
OPB40790.1	mobidb-lite	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	PF04082	NA	NA	NA	NA	cd12148	SM00906	NA	NA	NA	NA	NA	NA
OPB45680.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42685.1	NA	IPR017853		KEGG: 00040+3.2.1.31|KEGG: 00531+3.2.1.31|KEGG: 00860+3.2.1.31|KEGG: 00944+3.2.1.31|KEGG: 00983+3.2.1.31|MetaCyc: PWY-7247|MetaCyc: PWY-7445	PF16862	NA	SSF51445	G3DSA:3.20.20.80	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42800.1	NA	IPR004026	GO:0003677;GO:0006281;GO:0006355;GO:0008168;GO:0008270;GO:0003700;GO:0043565	NA	PF02805;PF00165	NA	SSF46689;SSF57884	G3DSA:1.10.10.60;G3DSA:3.40.10.10	PS01124	NA	NA	NA	NA	NA	NA	NA	NA
OPB45409.1	NA	IPR027417	GO:0003924;GO:0005525	NA	PF00350	NA	SSF52540	G3DSA:3.40.50.300	PS51388;PS51718	cd08771	SM00053	NA	PR00195	NA	NA	NA	NA
OPB45910.1	mobidb-lite	IPR036291	GO:0016491	NA	PF13561	Coil	SSF51735	G3DSA:3.40.50.720	NA	NA	NA	NA	PR00081;PR00080	PS00061	NA	NA	NA
OPB36131.1	NA	IPR000182	GO:0008080	NA	PF00583	NA	SSF55729	G3DSA:3.40.630.30	PS51186	cd04301	NA	NA	NA	NA	NA	NA	NA
OPB45700.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40440.1	mobidb-lite	IPR007728	GO:0005634;GO:0008270;GO:0018024;GO:0034968;GO:0005515	Reactome: R-HSA-3214841	PF05033;PF00856	NA	SSF82199	G3DSA:2.170.270.10	PS50867;PS50280;PS50868	NA	SM00468;SM00317	NA	NA	NA	NA	NA	NA
OPB46271.1	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40751.1	mobidb-lite	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF04082	NA	SSF57701	G3DSA:4.10.240.10	PS50048	cd12148;cd00067	SM00906;SM00066	NA	NA	PS00463	NA	NA	NA
OPB44174.1	NA	IPR036858	GO:0016538	NA	PF01111	NA	SSF55637	G3DSA:3.30.170.10	NA	NA	SM01084	NA	PR00296	PS00945	NA	NA	NA
OPB44711.1	NA	IPR004183	GO:0006725;GO:0008198;GO:0016491;GO:0008270;GO:0016701;GO:0055114	NA	PF02900	NA	SSF53213	G3DSA:3.40.830.10	NA	cd07363	NA	NA	NA	NA	PIRSF006157	NA	NA
OPB36468.1	mobidb-lite	IPR002498	GO:0016307;GO:0046488	NA	PF01504	Coil	SSF56104	G3DSA:3.30.810.10;G3DSA:3.30.800.10	PS51455	cd17303	SM00330	NA	NA	NA	NA	NA	NA
OPB37558.1	NA	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	PF00069	NA	SSF56112	G3DSA:3.30.200.20;G3DSA:1.10.510.10	PS50011	cd00180	SM00220	NA	NA	PS00108	NA	NA	NA
OPB39452.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB37887.1	mobidb-lite	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0016020	Reactome: R-HSA-189200	PF00083	NA	SSF103473	G3DSA:1.20.1250.20	PS50850	cd17356	NA	TIGR00879	PR00171	PS00216	NA	NA	NA
OPB46513.1	mobidb-lite	IPR008775	NA	NA	PF05721	NA	SSF51197	G3DSA:2.60.120.620	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB35976.1	mobidb-lite	IPR013536	NA	NA	PF08325	Coil	NA	NA	PS51397	cd07344	NA	NA	NA	NA	NA	NA	NA
OPB39347.1	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB39988.1	mobidb-lite	IPR019148	NA	NA	PF09751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB41270.1	mobidb-lite	IPR036390	NA	NA	PF01399	NA	SSF46785	G3DSA:1.25.40.570	PS50250	NA	SM00753;SM00088	NA	NA	NA	NA	NA	NA
OPB43470.1	NA	IPR013149	GO:0055114;GO:0008270;GO:0016491	Reactome: R-HSA-71384	PF00107;PF08240	NA	SSF50129;SSF51735	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	cd08284	NA	NA	NA	PS00059	NA	NA	NA
OPB38013.1	NA	IPR015872	GO:0005672;GO:0006367	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6807505|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042|Reactome: R-HSA-9018519	PF02268;PF02751	NA	SSF50784;SSF47396	G3DSA:2.30.18.10;G3DSA:1.10.287.190	NA	cd10145;cd10014	NA	NA	NA	NA	PIRSF009415	NA	NA
OPB39787.1	mobidb-lite	IPR007175		Reactome: R-HSA-6784531|Reactome: R-HSA-6791226	PF04032	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB37269.1	mobidb-lite	IPR027795	NA	NA	PF13840	NA	SSF55021	G3DSA:3.30.2130.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB39104.1	NA	IPR002347	NA	NA	PF00106	NA	SSF51735	G3DSA:3.40.50.720	NA	NA	NA	NA	PR00081	NA	NA	NA	NA
OPB42222.1	NA	IPR001805	GO:0004001;GO:0006166;GO:0016773	KEGG: 00230+2.7.1.20|MetaCyc: PWY-6619|Reactome: R-HSA-74217	PF00294	NA	SSF53613	G3DSA:3.40.1190.20;G3DSA:3.30.1110.10	NA	cd01168	NA	NA	PR00989	PS00584	NA	NA	NA
OPB36096.1	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172	NA	SSF57701	G3DSA:4.10.240.10	PS50048	cd00067	SM00066	NA	NA	NA	NA	NA	NA
OPB42930.1	NA	IPR002575	GO:0004672;GO:0006468	Reactome: R-HSA-77289	PF01636	NA	SSF56112	G3DSA:3.30.200.20;G3DSA:3.90.1200.10	NA	cd05154	NA	NA	NA	PS00108	NA	NA	NA
OPB42703.1	NA	IPR004813	GO:0055085	NA	PF03169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB41579.1	NA	IPR005479	GO:0005524;GO:0046872	Reactome: R-HSA-196780	PF02786;PF00364;PF00289;PF02785	NA	SSF51246;SSF52440;SSF56059;SSF51230	G3DSA:2.40.50.100;G3DSA:3.30.470.130	PS50975;PS50979;PS50968	cd06850	SM00878	NA	NA	PS00867	NA	NA	NA
OPB37659.1	NA	IPR036264	GO:0016787;GO:0006508;GO:0008237	NA	PF00291;PF01546;PF07687	NA	SSF55031;SSF53686;SSF53187	G3DSA:3.30.70.360;G3DSA:3.40.50.1100;G3DSA:3.40.630.10	NA	cd08013;cd00640	NA	TIGR01910	NA	PS00758	NA	NA	NA
OPB37731.1	NA	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172;PF11951	NA	SSF57701	G3DSA:4.10.240.10	PS50048	cd00067	SM00066	NA	NA	NA	NA	NA	NA
OPB45183.1	NA	IPR018820	NA	NA	PF13515;PF10334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40134.1	NA	IPR017441	GO:0005524;GO:0004672;GO:0006468	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-198323|Reactome: R-HSA-5674400	PF00069	NA	SSF56112	G3DSA:3.30.200.20;G3DSA:1.10.510.10	PS50011	cd14137	SM00220	NA	NA	PS00107;PS00108	PIRSF000654	NA	NA
OPB37466.1	NA	IPR013149	GO:0055114;GO:0008270;GO:0016491;GO:0006069;GO:0051903	Reactome: R-HSA-71384	PF00107;PF08240	NA	SSF50129;SSF51735	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	cd08300	SM00829	TIGR02818	NA	PS00059	NA	NA	NA
OPB37047.1	mobidb-lite	IPR028094	NA	NA	PF14474	NA	NA	NA	NA	NA	SM01312	NA	NA	NA	NA	NA	NA
OPB41467.1	NA	IPR020904	GO:0016491	NA	PF13561	NA	SSF51735	G3DSA:3.40.50.720	NA	cd05233	NA	NA	PR00080;PR00081	PS00061	NA	NA	NA
OPB43680.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43918.1	mobidb-lite	NA	NA	NA	NA	NA	SSF57959	NA	NA	cd14688	NA	NA	NA	NA	NA	NA	NA
OPB46182.1	NA	IPR004695	GO:0016021;GO:0055085	NA	PF03595	NA	NA	G3DSA:1.50.10.150	NA	cd09318	NA	NA	NA	NA	NA	NA	NA
OPB46734.1	mobidb-lite	IPR000375	GO:0005525;GO:0003924	NA	PF01031;PF00350	Coil	SSF52540	G3DSA:3.40.50.300	PS51388;PS51718	cd08771	SM00053	NA	PR00195	NA	NA	NA	NA
OPB44885.1	mobidb-lite	IPR011701	GO:0055085	NA	PF07690	NA	SSF103473	G3DSA:1.20.1250.20	PS50850	cd17327	NA	NA	NA	NA	NA	NA	NA
