Gene	MobiDBLite	CDD	interpro	GO	Pfam	SMART	PATHWAY	Gene3D	ProSiteProfiles	SUPERFAMILY	ProSitePatterns	Coils	PIRSF	PRINTS	TIGRFAM	SFLD	Hamap
OTA05635.1	mobidb-lite	NA	IPR024626	NA	PF12936;PF05178	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA08694.1	NA	NA	IPR003848	NA	PF02698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01492.1	NA	NA	IPR010730	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00326.1	NA	NA	IPR001279	NA	PF12706	NA	NA	G3DSA:3.60.15.10;G3DSA:3.40.50.12650	NA	SSF56281	NA	NA	NA	NA	NA	NA	NA
OTA02114.1	mobidb-lite	NA	NA	NA	NA	NA	NA	G3DSA:3.90.20.10	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA04283.1	NA	NA	IPR005651	NA	PF03966	NA	NA	G3DSA:2.20.25.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02096.1	mobidb-lite	NA	IPR013868	GO:0005634;GO:0031144;GO:0071630	PF08559	NA	NA	G3DSA:1.20.58.1590	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00842.1	mobidb-lite	cd01380;cd15480	IPR036103	GO:0005515;GO:0003774;GO:0005524;GO:0016459;GO:0051015	PF01843;PF00612;PF02736;PF00063	SM00242;SM01132;SM00015	NA	G3DSA:1.20.58.530;G3DSA:1.20.120.720;G3DSA:1.20.5.190;G3DSA:3.40.850.10;G3DSA:1.10.10.820;G3DSA:3.30.70.3240	PS50096;PS51456;PS51126;PS51844	SSF50084;SSF52540	NA	Coil	NA	PR00193	NA	NA	NA
OTA01349.1	mobidb-lite	cd15670;cd15492	IPR019786		PF13831;PF10513;PF13832	SM00249	Reactome: R-HSA-3214847	G3DSA:3.30.40.10	PS51805;PS50016	SSF57903	PS01359	Coil	NA	NA	NA	NA	NA
OTA06741.1	mobidb-lite	cd02584;cd02733	IPR042102	GO:0003677;GO:0003899;GO:0006351;GO:0005665;GO:0006366	PF04998;PF04990;PF05000;PF04983;PF00623;PF04997;PF04992	SM00663	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167242|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-168325|Reactome: R-HSA-203927|Reactome: R-HSA-5578749|Reactome: R-HSA-5601884|Reactome: R-HSA-5617472|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-6803529|Reactome: R-HSA-6807505|Reactome: R-HSA-72086|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-72203|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-77075|Reactome: R-HSA-8851708|Reactome: R-HSA-9018519	G3DSA:1.10.274.100;G3DSA:1.10.150.390;G3DSA:2.20.25.410;G3DSA:1.10.132.30;G3DSA:3.30.1490.180;G3DSA:1.20.120.1280;G3DSA:3.30.1360.140;G3DSA:2.40.40.20	NA	SSF64484	PS00115	NA	NA	NA	NA	NA	NA
OTA04388.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00696.1	mobidb-lite	NA	IPR000582	GO:0000062	PF00887	NA	NA	G3DSA:1.20.80.10	PS51228	SSF47027	NA	Coil	NA	NA	NA	NA	NA
OTA02715.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06625.1	mobidb-lite	cd18787;cd17963	IPR001650	GO:0003676;GO:0005524	PF00270;PF00271	SM00490;SM00487	NA	G3DSA:3.40.50.300	PS51195;PS51192;PS51194	SSF52540	PS00039	NA	NA	NA	NA	NA	NA
OTA00827.1	NA	NA	IPR036908	NA	NA	NA	NA	G3DSA:2.40.40.10	NA	SSF50685	NA	NA	NA	NA	NA	NA	NA
OTA00067.1	NA	NA	IPR014980	NA	PF08883	NA	NA	G3DSA:3.30.70.1240	NA	SSF143410	NA	NA	NA	NA	NA	NA	NA
OTA08443.1	NA	NA	IPR023395	NA	PF00153	NA	NA	G3DSA:1.50.40.10	PS50920	SSF103506	NA	NA	NA	NA	NA	NA	NA
OTA08768.1	mobidb-lite	NA	IPR002745	GO:0006388;GO:0016772	PF01885	NA	NA	G3DSA:1.10.10.970;G3DSA:3.20.170.30	NA	SSF56399	NA	NA	NA	NA	NA	NA	NA
OTA07586.1	mobidb-lite	cd09607	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OSZ99837.1	mobidb-lite	NA	IPR000717	GO:0005852	PF01399	SM00753;SM00088	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	G3DSA:4.10.860.10;G3DSA:1.25.40.860	PS50250	NA	NA	Coil	NA	NA	NA	NA	MF_03000
OTA08139.1	NA	cd03141	IPR002818		PF01965	NA	Reactome: R-HSA-3899300|Reactome: R-HSA-9613829|Reactome: R-HSA-9615710	G3DSA:3.40.50.880	NA	SSF52317	NA	NA	NA	NA	NA	NA	NA
OTA08248.1	NA	NA	IPR002110	GO:0005515	PF12796	SM00248	NA	G3DSA:1.25.40.20	PS50088;PS50297	SSF48403	NA	NA	NA	NA	NA	NA	NA
OTA03457.1	NA	cd00780	IPR018222	NA	PF02136	NA	NA	G3DSA:3.10.450.50	PS50177	SSF54427	NA	NA	NA	NA	NA	NA	NA
OTA00925.1	NA	NA	IPR018028	GO:0004096;GO:0006979;GO:0020037;GO:0055114	PF00199;PF06628	SM01060	KEGG: 00380+1.11.1.6|KEGG: 00630+1.11.1.6|Reactome: R-HSA-3299685|Reactome: R-HSA-6798695|Reactome: R-HSA-9033241|Reactome: R-HSA-9615017	G3DSA:2.40.180.10	PS51402	SSF56634	PS00438	NA	NA	PR00067	NA	NA	NA
OTA04456.1	NA	NA	IPR036188	GO:0004791;GO:0005737;GO:0019430;GO:0055114;GO:0016491	PF07992	NA	KEGG: 00450+1.8.1.9	G3DSA:3.50.50.60	NA	SSF51905	PS00573	NA	NA	PR00368;PR00469	TIGR01292	NA	NA
OTA00117.1	NA	NA	IPR035992	NA	NA	NA	NA	G3DSA:2.80.10.50	NA	SSF50370	NA	NA	NA	NA	NA	NA	NA
OTA04638.1	NA	NA	IPR011059	GO:0016810	PF07969	NA	NA	G3DSA:2.30.40.10;G3DSA:3.20.20.140;G3DSA:3.10.310.70	NA	SSF51338;SSF51556	NA	NA	NA	NA	NA	NA	NA
OTA06531.1	mobidb-lite	NA	IPR018853	NA	PF10446	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA07146.1	NA	NA	IPR005338	GO:0005524;GO:0006040;GO:0009254;GO:0016773	PF03702	NA	MetaCyc: PWY-7883	G3DSA:3.30.420.40	NA	SSF53067	NA	NA	NA	NA	NA	NA	MF_01270
OTA07182.1	mobidb-lite	NA	IPR021013	GO:0070072	PF11712	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA00334.1	NA	NA	IPR036291		PF05368	NA	Reactome: R-HSA-70635	G3DSA:3.40.50.720;G3DSA:3.90.25.10	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA
OTA05255.1	mobidb-lite	cd15505;cd17016	IPR024610	NA	PF12998	SM01408;SM00249	NA	G3DSA:3.30.40.10	PS50016	SSF57903	PS01359	Coil	NA	NA	NA	NA	NA
OTA07304.1	NA	NA	IPR007568	GO:0016021	PF04479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00398.1	mobidb-lite	NA	IPR025279	NA	PF13945	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA05285.1	mobidb-lite	cd00083	IPR036638	GO:0046983	PF00010	SM00353	NA	G3DSA:4.10.280.10	PS50888	SSF47459	NA	NA	NA	NA	NA	NA	NA
OTA07426.1	NA	cd11711	IPR031633	GO:0006261	PF16922;PF05916	NA	Reactome: R-HSA-176974	G3DSA:1.20.58.1030	NA	SSF158573	NA	NA	PIRSF007764	NA	NA	NA	NA
OTA03048.1	NA	NA	IPR004304	GO:0016811	PF03069	NA	NA	G3DSA:2.60.120.580;G3DSA:3.10.28.20	NA	SSF141130	NA	NA	NA	NA	NA	NA	NA
OTA07130.1	mobidb-lite	NA	IPR036236	GO:0003676	PF00096	SM00355	NA	G3DSA:3.30.160.60	PS50157	SSF57667	PS00028	Coil	NA	NA	NA	NA	NA
OTA03472.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03000.1	mobidb-lite	cd12148;cd00067	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF04082;PF00172	SM00066;SM00906	NA	G3DSA:4.10.240.10	PS50048	SSF57701	NA	NA	NA	NA	NA	NA	NA
OTA01223.1	mobidb-lite	cd00009	IPR027417	GO:0005524;GO:0016887;GO:0000027;GO:0005634	PF17867;PF07728;PF17865	SM00382	NA	G3DSA:3.40.50.300;G3DSA:3.40.50.410	PS50234	SSF52540;SSF53300	NA	Coil	PIRSF010340	NA	NA	NA	NA
OTA05988.1	NA	NA	IPR018908	NA	PF10639	NA	NA	NA	NA	SSF103481	NA	NA	NA	NA	NA	NA	NA
OTA07974.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA00290.1	NA	NA	IPR003480	GO:0016747	PF02458	NA	Reactome: R-HSA-389661	G3DSA:3.30.559.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00834.1	mobidb-lite	NA	IPR007248	GO:0016021	PF04117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06807.1	mobidb-lite	NA	IPR001611	GO:0005515	PF13855	SM00369	NA	G3DSA:3.80.10.10	PS51450	SSF52058	NA	NA	NA	NA	NA	NA	NA
OTA05366.1	mobidb-lite	cd07029	IPR036603	GO:0006351;GO:0046983;GO:0003677;GO:0003899	PF13656	NA	NA	G3DSA:3.30.1360.10	NA	SSF55257	PS01154	Coil	NA	NA	NA	NA	NA
OTA05222.1	NA	cd17390;cd05304	IPR007886	GO:0016491;GO:0055114;GO:0008746;GO:1902600	PF05222;PF12769;PF02233;PF01262	SM01002;SM01003	Reactome: R-HSA-71403	G3DSA:3.40.50.1220;G3DSA:3.40.50.720	NA	SSF52283;SSF51735;SSF52467	PS00836;PS00837	NA	NA	NA	TIGR00561	NA	NA
OTA07971.1	mobidb-lite	NA	IPR017986	GO:0005515	NA	SM00320	NA	G3DSA:2.130.10.10	PS50294;PS50082	SSF50978	PS00678	NA	NA	NA	NA	NA	NA
OTA05202.1	NA	cd06530	IPR015927	GO:0008236;GO:0016021;GO:0006508;GO:0016020	PF00717	NA	NA	G3DSA:2.10.109.10	NA	SSF51306	PS00760	NA	NA	PR00727	NA	NA	NA
OTA01794.1	NA	cd06457	IPR001567	GO:0004222;GO:0006508	PF01432	NA	NA	NA	NA	SSF55486	NA	Coil	NA	NA	NA	NA	NA
OTA02471.1	NA	cd08249	IPR011032	GO:0016491;GO:0055114	PF00107;PF08240	SM00829	NA	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	SSF50129;SSF51735	NA	NA	NA	NA	NA	NA	NA
OTA04503.1	mobidb-lite	cd00165	IPR002942	GO:0003723;GO:0019843	PF01479	SM00363	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	G3DSA:3.10.290.10	PS50889	SSF55174	PS00632	Coil	NA	NA	NA	NA	NA
OTA06755.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA02476.1	mobidb-lite	NA	IPR028143	NA	PF08690	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05177.1	mobidb-lite	NA	IPR035969	NA	PF00566	SM00164	NA	G3DSA:1.10.472.80;G3DSA:1.10.8.270	PS50086	SSF47923	NA	NA	NA	NA	NA	NA	NA
OTA01409.1	mobidb-lite	NA	IPR035952	GO:0004252;GO:0016021	PF01694	NA	NA	G3DSA:1.20.1540.10	NA	SSF144091	NA	NA	NA	NA	NA	NA	NA
OTA08332.1	mobidb-lite	cd09270	IPR041195	GO:0032299	PF17745;PF09468	NA	NA	G3DSA:1.10.20.120	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA01107.1	NA	NA	IPR033121	GO:0004190;GO:0006508	PF00026	NA	NA	G3DSA:2.40.70.10	PS51767	SSF50630	NA	NA	NA	PR00792	NA	NA	NA
OTA08021.1	mobidb-lite	cd14134	IPR000719	GO:0004672;GO:0005524;GO:0006468	PF00069	SM00220	NA	G3DSA:1.10.510.10;G3DSA:3.30.200.20	PS50011	SSF56112	PS00107;PS00108	NA	NA	NA	NA	NA	NA
OTA04170.1	NA	cd00737	IPR002196	GO:0003796;GO:0009253;GO:0016998	PF00959	NA	NA	G3DSA:1.10.530.40	NA	SSF53955	NA	NA	NA	NA	NA	NA	NA
OTA02395.1	mobidb-lite	NA	IPR000719	GO:0004672;GO:0005524;GO:0006468	PF00069	SM00220	NA	G3DSA:1.10.510.10	PS50011	SSF56112	PS00107;PS00108	Coil	NA	NA	NA	NA	NA
OSZ99852.1	mobidb-lite	NA	IPR001180	NA	PF10367	NA	NA	NA	PS50219	NA	NA	Coil	NA	NA	NA	NA	NA
OTA00035.1	NA	NA	IPR029058	NA	PF03959	NA	NA	G3DSA:3.40.50.1820	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
OTA02400.1	NA	NA	IPR013785	GO:0003824;GO:0003849;GO:0009073;GO:0009058	PF00793	NA	KEGG: 00400+2.5.1.54|MetaCyc: PWY-6164	G3DSA:3.20.20.70	NA	SSF51569	NA	NA	PIRSF001361	NA	TIGR00034	NA	NA
OTA08140.1	NA	cd08050	IPR016024	GO:0046982;GO:0006367;GO:0006352	PF07571;PF02969	SM00803	NA	G3DSA:1.10.20.10;G3DSA:1.25.40.770	NA	SSF48371;SSF47113	NA	NA	NA	NA	NA	NA	NA
OTA01806.1	NA	NA	IPR018625	GO:0005739;GO:0033617	PF09803	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA03631.1	NA	cd13969	IPR004147	NA	PF03109	NA	NA	NA	NA	SSF56112	NA	NA	NA	NA	NA	NA	NA
OTA06485.1	NA	NA	IPR029036	GO:0004735;GO:0006561;GO:0055114	PF14748;PF03807	NA	KEGG: 00330+1.5.1.2|MetaCyc: PWY-3341|MetaCyc: PWY-4981|MetaCyc: PWY-6344|Reactome: R-HSA-8964539	G3DSA:3.40.50.720;G3DSA:1.10.3730.10	NA	SSF48179;SSF51735	PS00521	NA	PIRSF000193	NA	TIGR00112	NA	MF_01925
OTA06692.1	NA	cd14688	IPR004827	GO:0003700;GO:0006355	NA	SM00338	NA	G3DSA:1.20.5.170	NA	SSF57959	NA	NA	NA	NA	NA	NA	NA
OTA06983.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06804.1	mobidb-lite	NA	IPR027267	NA	NA	NA	NA	G3DSA:1.20.1270.60	NA	SSF103657	NA	Coil	NA	NA	NA	NA	NA
OTA07093.1	NA	NA	IPR004154	GO:0000166;GO:0004812;GO:0005524;GO:0006418	PF03129;PF00587	NA	NA	G3DSA:3.30.930.10;G3DSA:3.40.50.800	NA	SSF55681;SSF52954	NA	NA	NA	NA	NA	NA	NA
OTA08331.1	mobidb-lite	NA	IPR013960	GO:0000278;GO:0042729;GO:0072686	PF08651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06743.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05602.1	NA	NA	IPR013096	NA	PF07883	NA	NA	G3DSA:2.60.120.10	NA	SSF51182	NA	NA	NA	NA	NA	NA	NA
OTA00969.1	NA	cd08297	IPR011032	GO:0055114;GO:0008270;GO:0016491	PF08240;PF00107	SM00829	Reactome: R-HSA-71384	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	SSF50129;SSF51735	PS00059	NA	NA	NA	NA	NA	NA
OTA01943.1	mobidb-lite	NA	NA	NA	PF17242	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03421.1	NA	cd07038;cd02005	IPR029035	GO:0030976;GO:0003824;GO:0016831;GO:0000287	PF02776;PF02775;PF00205	NA	NA	G3DSA:3.40.50.970;G3DSA:3.40.50.1220	NA	SSF52467;SSF52518	NA	NA	PIRSF036565	NA	NA	NA	NA
OTA04937.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02735.1	mobidb-lite	cd06223	IPR029057	GO:0000287;GO:0004749;GO:0009165;GO:0009156;GO:0044249;GO:0009116	PF14572;PF13793	SM01400	KEGG: 00030+2.7.6.1|KEGG: 00230+2.7.6.1	G3DSA:3.40.50.2020	NA	SSF53271	PS00114	NA	NA	NA	TIGR01251	NA	NA
OTA07483.1	mobidb-lite	cd11651	IPR036770	GO:0005515;GO:0004672;GO:0005524;GO:0006468	PF13637;PF00069	SM00248	NA	G3DSA:1.25.40.20;G3DSA:3.30.200.20;G3DSA:1.10.510.10	PS50297;PS50088;PS50011	SSF48403;SSF56112	NA	NA	NA	NA	NA	NA	NA
OTA06008.1	mobidb-lite	NA	IPR008427	NA	PF05730	SM00747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02970.1	mobidb-lite	cd14521;cd14516	IPR020422	GO:0006470;GO:0008138;GO:0016311;GO:0016791;GO:0004725	PF00782	SM00195	NA	G3DSA:3.90.190.10	PS50054;PS50056	SSF52799	PS00383	NA	NA	NA	NA	NA	NA
OTA06292.1	mobidb-lite	NA	IPR036265	NA	PF04676;PF04677	NA	NA	G3DSA:3.30.428.10	NA	SSF54197	NA	Coil	NA	NA	NA	NA	NA
OTA01714.1	NA	NA	IPR001611	GO:0005515	PF14580	NA	NA	G3DSA:3.80.10.10	PS51450	SSF52058	NA	Coil	NA	NA	NA	NA	NA
OTA03703.1	mobidb-lite	NA	IPR000706	GO:0003942;GO:0006526;GO:0055114;GO:0016620;GO:0051287	PF01118	SM00859	KEGG: 00220+1.2.1.38|MetaCyc: PWY-5154|MetaCyc: PWY-7400	G3DSA:3.30.360.10;G3DSA:3.40.50.720	NA	SSF51735;SSF55347	NA	NA	NA	NA	TIGR01850	NA	MF_00150
OTA00660.1	mobidb-lite	cd00067	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	SM00066	NA	G3DSA:4.10.240.10	PS50048	SSF57701	PS00463	NA	NA	NA	NA	NA	NA
OSZ99902.1	NA	NA	IPR000917	GO:0008484;GO:0003824	PF00884	NA	NA	G3DSA:3.40.720.10;G3DSA:3.30.1120.10	NA	SSF53649	NA	NA	NA	NA	NA	NA	NA
OTA06184.1	NA	cd02440	IPR008854	GO:0008757	PF05724	NA	KEGG: 00983+2.1.1.67|Reactome: R-HSA-156581|Reactome: R-HSA-5578995	G3DSA:3.40.50.150	PS51585	SSF53335	NA	NA	NA	NA	NA	NA	NA
OTA03073.1	mobidb-lite	NA	IPR006958	NA	PF04874;PF01778	NA	NA	G3DSA:3.30.390.110	NA	NA	NA	Coil	PIRSF003352	NA	NA	NA	NA
OTA04407.1	mobidb-lite	cd00144	IPR004843	GO:0016787	PF00149	NA	NA	NA	NA	SSF56300	NA	NA	NA	NA	NA	NA	NA
OSZ99911.1	NA	NA	IPR018852	NA	PF10445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00145.1	mobidb-lite	cd00067;cd12148	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF04082;PF00172	SM00906;SM00066	NA	G3DSA:4.10.240.10	PS50048	SSF57701	PS00463	Coil	NA	NA	NA	NA	NA
OTA02050.1	mobidb-lite	NA	IPR013898	NA	PF08589	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00863.1	mobidb-lite	cd08839	IPR001164	GO:0005096	PF01412	SM00105	NA	G3DSA:3.30.40.160	PS50115	SSF57863	NA	NA	NA	PR00405	NA	NA	NA
OTA00962.1	mobidb-lite	NA	IPR015915	GO:0005515	PF13854	NA	NA	G3DSA:2.120.10.80	NA	SSF50965	NA	NA	NA	NA	NA	NA	NA
OTA07814.1	NA	NA	IPR014347	NA	NA	NA	NA	G3DSA:3.30.429.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01288.1	NA	NA	IPR028116	NA	PF14832	NA	NA	G3DSA:3.30.429.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07949.1	NA	NA	IPR027417	NA	PF13521	NA	NA	G3DSA:3.40.50.300	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA
OTA05494.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OSZ99997.1	NA	cd05917	IPR025110	GO:0003824	PF13193;PF00501	NA	NA	G3DSA:3.40.50.12780;G3DSA:3.30.300.30	NA	SSF56801	PS00455	NA	NA	NA	NA	NA	NA
OTA01762.1	mobidb-lite	cd17340	IPR036259	GO:0055085	PF07690	NA	NA	G3DSA:1.20.1250.20	PS50850	SSF103473	NA	NA	NA	NA	NA	NA	NA
OTA00859.1	NA	NA	IPR019365	GO:0016021	PF10233	SM01077	Reactome: R-HSA-112308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03805.1	mobidb-lite	cd00009	IPR003593	GO:0005524	PF00004	SM00382	NA	G3DSA:3.40.50.300;G3DSA:1.10.8.60	NA	SSF52540	NA	Coil	NA	NA	NA	NA	NA
OTA06732.1	mobidb-lite	cd00067;cd12148	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	SM00066	NA	G3DSA:4.10.240.10	PS50048	SSF57701	PS00463	Coil	NA	NA	NA	NA	NA
OTA07887.1	mobidb-lite	NA	IPR014347	NA	PF01187	NA	NA	G3DSA:3.30.429.10	NA	SSF55331	NA	NA	NA	NA	NA	NA	NA
OTA08227.1	mobidb-lite	cd02440	IPR029063	NA	PF13489	NA	NA	G3DSA:3.40.50.150	NA	SSF53335	NA	NA	NA	NA	NA	NA	NA
OTA08345.1	mobidb-lite	NA	IPR019371	NA	PF10241	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA01813.1	mobidb-lite	cd01860	IPR027417	GO:0003924;GO:0005525	PF00071	SM00173;SM00174;SM00175;SM00176	NA	G3DSA:3.40.50.300	PS51419	SSF52540	NA	NA	NA	PR00449	TIGR00231	NA	NA
OTA01011.1	mobidb-lite	NA	IPR002885	GO:0005515	PF01535	NA	NA	G3DSA:1.25.40.10	NA	SSF48452	NA	Coil	NA	NA	TIGR00756	NA	NA
OTA04063.1	mobidb-lite	cd01992	IPR012094	GO:0000166;GO:0005524;GO:0008033;GO:0016879	PF01171	NA	Reactome: R-HSA-6782315	NA	NA	SSF52402	NA	NA	NA	NA	NA	NA	MF_01161
OTA01882.1	NA	NA	IPR004254	GO:0016021	PF03006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08558.1	NA	cd06558	IPR001753	GO:0003824	PF00378	NA	NA	G3DSA:3.90.226.10	NA	SSF52096	NA	NA	NA	NA	NA	NA	NA
OTA01229.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08701.1	NA	NA	IPR013057	NA	PF01490	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04640.1	mobidb-lite	NA	IPR013099	GO:0005267;GO:0016020;GO:0071805	PF07885	NA	Reactome: R-HSA-5576886	G3DSA:1.10.287.70	NA	SSF81324	NA	Coil	NA	PR01333	NA	NA	NA
OTA03359.1	mobidb-lite	cd01713	IPR002500	GO:0003824	PF01507	NA	Reactome: R-HSA-196843	G3DSA:3.40.50.620	NA	SSF52402	NA	NA	NA	NA	NA	NA	NA
OTA02968.1	mobidb-lite	cd00009	IPR003959	GO:0005524	PF07724;PF10431	SM01086;SM00382	NA	G3DSA:1.10.8.60	NA	SSF52540	NA	Coil	NA	NA	NA	NA	NA
OTA01256.1	NA	cd17327	IPR020846	GO:0055085	PF07690	NA	NA	G3DSA:1.20.1250.20	PS50850	SSF103473	NA	NA	NA	NA	NA	NA	NA
OTA04157.1	NA	NA	NA	NA	PF14223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00286.1	NA	cd05674	IPR002933	GO:0016787	PF01546	NA	NA	G3DSA:3.40.630.10	NA	SSF53187	NA	NA	NA	NA	NA	NA	NA
OTA03961.1	mobidb-lite	cd02883	IPR000086	GO:0016787	PF00293	NA	NA	NA	PS51462	SSF55811	NA	NA	NA	NA	NA	NA	NA
OTA04569.1	mobidb-lite	NA	IPR002634	NA	PF01722	NA	NA	G3DSA:3.30.300.90	NA	SSF82657	NA	NA	NA	NA	NA	NA	NA
OTA07474.1	mobidb-lite	cd00067	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	SM00066	NA	G3DSA:4.10.240.10	PS50048	SSF57701	PS00463	Coil	NA	NA	NA	NA	NA
OTA01566.1	NA	cd00200	IPR015943	GO:0005515	PF00400	SM00320	NA	G3DSA:2.130.10.10	PS50082;PS50294	SSF82171;SSF50978	PS00678	NA	NA	PR00320	NA	NA	NA
OTA08455.1	mobidb-lite	NA	IPR036457		PF13672	NA	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	G3DSA:3.60.40.10	NA	SSF81606	NA	NA	NA	NA	NA	NA	NA
OTA06297.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02965.1	NA	cd18115;cd18110;cd01133	IPR024034	GO:0046034;GO:1902600;GO:0005524;GO:0015986;GO:0045261;GO:0046933	PF00006;PF02874	SM00382	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980	G3DSA:1.10.1140.10;G3DSA:2.40.10.170;G3DSA:3.40.50.300	NA	SSF50615;SSF47917;SSF52540	PS00152	NA	PIRSF039072	NA	TIGR01039	NA	MF_01347
