Gene	interpro	GO	SUPERFAMILY	SMART	MobiDBLite	Gene3D	ProSiteProfiles	Pfam	PATHWAY	ProSitePatterns	PRINTS	CDD	PIRSF	Coils	TIGRFAM	Hamap	SFLD
KKO99049.1	IPR036457	GO:0003824	SSF81606	SM00332	NA	G3DSA:3.60.40.10	PS51746	PF07228	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	NA	NA	NA	NA	NA	NA	NA	NA
KKO97183.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SSF57701	SM00066;SM00906	mobidb-lite	G3DSA:4.10.240.10	PS50048	PF00172;PF04082	NA	PS00463	NA	cd12148;cd00067	NA	NA	NA	NA	NA
KKP01085.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	SM00906	mobidb-lite	NA	NA	PF04082	NA	NA	NA	cd12148	NA	Coil	NA	NA	NA
KKP03822.1	IPR000868	GO:0003824	SSF52499	NA	NA	G3DSA:3.40.50.850	NA	PF00857	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP04127.1	IPR004721	GO:0004151;GO:0019856;GO:0016812;GO:0016787	SSF51556	NA	NA	G3DSA:3.20.20.140	NA	PF04909	KEGG: 00240+3.5.2.3|MetaCyc: PWY-5686|MetaCyc: PWY-7790|MetaCyc: PWY-7791	PS00482;PS00483	NA	NA	PIRSF001237	NA	NA	NA	NA
KKP03260.1	IPR011009	NA	SSF56112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP03933.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP05436.1	IPR017321		SSF52768	NA	NA	G3DSA:3.40.800.20	NA	PF00850;PF09757	Reactome: R-HSA-2122947|Reactome: R-HSA-2644606|Reactome: R-HSA-2894862|Reactome: R-HSA-350054	NA	PR01270	NA	PIRSF037919	NA	NA	NA	NA
KKO99455.1	IPR015876	GO:0016717;GO:0055114;GO:0020037;GO:0004768;GO:0006636;GO:0016021;GO:0006629	SSF55856	SM01117	NA	G3DSA:3.10.120.10	PS50255	PF00173;PF00487	Reactome: R-HSA-75105	PS00191;PS00476	PR00075	cd03505	PIRSF000345	Coil	NA	NA	NA
KKP04870.1	IPR029058	NA	SSF53474	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO96908.1	IPR021833	NA	NA	NA	mobidb-lite	NA	NA	PF11905	NA	NA	NA	cd14688	NA	Coil	NA	NA	NA
KKO99999.1	IPR014844	NA	NA	NA	mobidb-lite	NA	NA	PF08733	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP01200.1	IPR012173	GO:0005634;GO:0005732;GO:0006364;GO:0034457	NA	NA	mobidb-lite	NA	NA	PF04006	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	PIRSF017300	Coil	NA	NA	NA
KKP01267.1	IPR036514	NA	SSF69318;SSF52266	NA	NA	G3DSA:3.40.50.1110	NA	PF13517;PF13472	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP06749.1	IPR003165	GO:0003676;GO:0005515	SSF101690;SSF53098	SM01163;SM00950	mobidb-lite	G3DSA:2.170.260.10;G3DSA:3.30.420.10;G3DSA:3.40.50.2300	PS50822;PS50821	PF02171;PF08699;PF16488;PF16486	Reactome: R-HSA-1912408|Reactome: R-HSA-203927|Reactome: R-HSA-4086398|Reactome: R-HSA-426486|Reactome: R-HSA-426496|Reactome: R-HSA-5628897|Reactome: R-HSA-5687128|Reactome: R-HSA-8934593|Reactome: R-HSA-8943723|Reactome: R-HSA-8948700|Reactome: R-HSA-8986944|Reactome: R-HSA-9018519|Reactome: R-HSA-9022692|Reactome: R-HSA-9029569	NA	NA	cd02846;cd04657	NA	NA	NA	NA	NA
KKO97024.1	IPR013087	GO:0003676	NA	SM00355	mobidb-lite	G3DSA:3.30.160.60	NA	NA	NA	PS00028	NA	NA	NA	NA	NA	NA	NA
KKO96426.1	IPR020602		SSF55620	NA	mobidb-lite	G3DSA:1.10.286.10	NA	PF01227	KEGG: 00790+3.5.4.16|MetaCyc: PWY-5663|MetaCyc: PWY-5664|MetaCyc: PWY-6147|MetaCyc: PWY-6703|MetaCyc: PWY-6983|MetaCyc: PWY-7442|MetaCyc: PWY-7852|Reactome: R-HSA-1474151	NA	NA	NA	NA	NA	NA	NA	NA
KKP02848.1	IPR008270	GO:0003796;GO:0009253;GO:0016998	SSF51445	SM00641	NA	G3DSA:3.20.20.80	NA	PF01183	NA	PS00953	NA	cd06412	NA	NA	NA	NA	NA
KKO98371.1	IPR007537	GO:0000287;GO:0006400;GO:0008193	NA	NA	mobidb-lite	G3DSA:3.30.70.3000	NA	PF14413;PF04446	Reactome: R-HSA-6782315	NA	NA	NA	PIRSF028980	NA	NA	NA	NA
KKP06740.1	IPR036188	GO:0004499;GO:0050660;GO:0050661;GO:0055114	SSF51905	NA	NA	G3DSA:3.50.50.60	NA	PF00743	NA	NA	PR00469	NA	NA	NA	NA	NA	NA
KKO98193.1	IPR003959	GO:0005524	SSF52540	NA	mobidb-lite	G3DSA:3.40.50.300	NA	PF00004	NA	NA	NA	cd00009	NA	NA	NA	NA	NA
KKO99669.1	IPR036895	GO:0006281;GO:0016799;GO:0004844;GO:0006284	SSF52141	SM00987;SM00986	mobidb-lite	G3DSA:3.40.470.10	NA	PF03167	Reactome: R-HSA-110328|Reactome: R-HSA-110329|Reactome: R-HSA-110357	PS00130	NA	cd10027	NA	Coil	TIGR00628	MF_00148	NA
KKO97526.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO99407.1	IPR025363	NA	NA	NA	NA	NA	NA	PF14087	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP05951.1	IPR004686	GO:0006811;GO:0015075;GO:0016020;GO:0055085	NA	NA	NA	NA	NA	PF03820	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP05163.1	IPR011333	GO:0005515	SSF54695	SM00225	NA	G3DSA:3.30.710.10	PS50097	PF00651	NA	NA	NA	cd18186	NA	NA	NA	NA	NA
KKP04302.1	IPR020562	GO:0004637;GO:0009113;GO:0005524;GO:0046872	SSF56059;SSF51246;SSF52440	SM01209;SM01210	NA	G3DSA:3.40.50.20;G3DSA:3.30.470.20;G3DSA:3.30.1490.20;G3DSA:3.90.600.10	PS50975	PF02844;PF01071;PF02843	KEGG: 00230+6.3.4.13|MetaCyc: PWY-6121|MetaCyc: PWY-6122|MetaCyc: PWY-6277|Reactome: R-HSA-73817	PS00184	NA	NA	NA	NA	TIGR00877	NA	NA
KKO96677.1	IPR016445	NA	SSF53474	NA	mobidb-lite	G3DSA:3.40.50.1820	NA	PF05057	NA	NA	NA	NA	PIRSF005412	NA	NA	NA	NA
KKO99559.1	IPR017423	GO:0030488;GO:0031515	NA	NA	mobidb-lite	NA	NA	PF04189	Reactome: R-HSA-6782315	NA	NA	NA	NA	NA	NA	NA	NA
KKP07288.1	IPR006694	GO:0005506;GO:0008610;GO:0016491;GO:0055114	NA	NA	NA	NA	NA	PF04116	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKO96662.1	IPR001680	GO:0005515	SSF50978	SM00320	NA	G3DSA:2.130.10.10	PS50082;PS50294	PF00400;PF17100	NA	PS00678	PR00320	cd00200	NA	NA	NA	NA	NA
KKP04604.1	IPR001910	NA	SSF53590	NA	NA	G3DSA:3.90.245.10	NA	PF01156	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP02018.1	IPR041723	GO:0003824;GO:0009058	SSF52374	NA	NA	G3DSA:3.40.50.620	NA	PF01467	NA	NA	NA	cd02174	NA	Coil	TIGR00125	NA	NA
KKO97440.1	IPR005097	GO:0016491;GO:0055114	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	PF03435	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO97116.1	IPR023575	GO:0003735;GO:0005840;GO:0006412;GO:0003723;GO:0015935	SSF54570	NA	NA	G3DSA:3.30.860.20	NA	PF00203	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PS00323	PR00975	NA	PIRSF002144	NA	TIGR01025	MF_00531	NA
KKP02095.1	IPR019542		NA	NA	mobidb-lite	NA	NA	PF10513	Reactome: R-HSA-3214847	NA	NA	NA	NA	Coil	NA	NA	NA
KKP04203.1	IPR021858	NA	NA	NA	mobidb-lite	NA	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP04919.1	IPR013658	NA	SSF63829	NA	NA	G3DSA:2.120.10.30	NA	PF08450	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP00602.1	IPR011032	GO:0016491;GO:0055114	SSF50129;SSF51735	SM00829	NA	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	PF00107;PF08240	NA	NA	NA	cd08276	NA	NA	NA	NA	NA
KKP00462.1	IPR018108	GO:0005509;GO:0005347;GO:0055085	SSF103506;SSF47473	SM00054	NA	G3DSA:1.10.238.10;G3DSA:1.50.40.10	PS50920;PS50222	PF13833;PF13499;PF00153	NA	PS00018	PR00926	cd00051	NA	NA	NA	NA	NA
KKP00707.1	IPR017853	NA	SSF51445	SM00768	mobidb-lite	G3DSA:1.20.58.1040;G3DSA:3.20.20.80	NA	PF07983;PF03198	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP05717.1	IPR002889	GO:0004553;GO:0005975	SSF51445;SSF52279	SM00321;SM01217	NA	G3DSA:3.40.50.1700;G3DSA:3.20.20.300;G3DSA:2.60.40.10	PS51212	PF01915;PF00933;PF01822;PF14310	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP06557.1	IPR029044	NA	SSF53448	NA	mobidb-lite	G3DSA:3.90.550.10	NA	PF03142	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO96795.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP00569.1	IPR002523	GO:0016020;GO:0030001;GO:0046873;GO:0055085	SSF144083	NA	mobidb-lite	G3DSA:1.20.58.340	NA	PF01544	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKO98814.1	IPR008220	GO:0009058;GO:0016747	SSF53474	NA	mobidb-lite	NA	NA	PF00561	NA	NA	NA	NA	PIRSF000443	NA	TIGR01392	MF_00296	NA
KKO97210.1	IPR020846	GO:0016021;GO:0022857;GO:0055085	SSF103473	NA	mobidb-lite	G3DSA:1.20.1250.20	PS50850	PF00083	NA	NA	NA	cd17316	NA	NA	NA	NA	NA
KKO98564.1	IPR003511	NA	SSF56019	NA	mobidb-lite	NA	PS50815	PF02301	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP01553.1	IPR000209	GO:0004252;GO:0006508	SSF52743	NA	mobidb-lite	G3DSA:3.40.50.200	NA	PF00082	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP07346.1	IPR004827	GO:0003700;GO:0006355	SSF57959	NA	mobidb-lite	NA	NA	NA	NA	PS00036	NA	NA	NA	Coil	NA	NA	NA
KKP04076.1	IPR000133	GO:0006621;GO:0016021;GO:0046923	NA	NA	mobidb-lite	NA	NA	PF00810	Reactome: R-HSA-6807878|Reactome: R-HSA-6811434	NA	PR00660	NA	NA	NA	NA	NA	NA
KKO99922.1	IPR036291	NA	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	cd08948	NA	NA	NA	NA	NA
KKP03758.1	IPR036188	GO:0071949	SSF51905	NA	NA	G3DSA:3.40.30.120;G3DSA:3.50.50.60;G3DSA:3.30.9.50	NA	PF01494	NA	NA	PR00420	NA	NA	NA	NA	NA	NA
KKP00159.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	SM00906	NA	NA	NA	PF04082	NA	NA	NA	cd12148	NA	NA	NA	NA	NA
KKP06997.1	IPR005152	GO:0004806;GO:0016042	SSF53474	NA	NA	G3DSA:3.40.50.1820;G3DSA:1.10.260.130	NA	PF03583	NA	NA	NA	NA	PIRSF029171	NA	NA	NA	NA
KKO99716.1	IPR005025	GO:0016491	SSF52218	NA	NA	G3DSA:3.40.50.360	NA	PF03358	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP01998.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP01141.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP03706.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO99937.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP07379.1	IPR002347	NA	SSF51735	SM00822	NA	G3DSA:3.40.50.720	NA	PF00106	NA	NA	PR00081	NA	NA	NA	NA	NA	NA
KKO97811.1	NA	NA	SSF57959	NA	mobidb-lite	G3DSA:1.20.5.170	NA	NA	NA	NA	NA	cd14688	NA	Coil	NA	NA	NA
KKP01702.1	IPR036565	GO:0005524;GO:0009058;GO:0004326;GO:0009396;GO:0016874	SSF53623;SSF53244	NA	mobidb-lite	G3DSA:3.40.1190.10;G3DSA:3.90.190.20	NA	PF08245	Reactome: R-HSA-196757	PS01012	NA	NA	NA	NA	TIGR01499	NA	NA
KKO97903.1	IPR020373		NA	NA	NA	NA	NA	PF10937	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA	NA	NA
KKP00893.1	IPR041385	GO:0000956;GO:0008409;GO:0003676;GO:0004527	NA	NA	mobidb-lite	G3DSA:2.170.260.40;G3DSA:2.30.30.750;G3DSA:3.40.50.12390;G3DSA:3.30.110.100;G3DSA:2.30.30.30	NA	PF18129;PF17846;PF18334;PF03159;PF18332	Reactome: R-HSA-430039|Reactome: R-HSA-450385|Reactome: R-HSA-450513	NA	NA	cd18673	PIRSF006743	NA	NA	NA	NA
KKO97657.1	IPR000210	GO:0005515	SSF54695	NA	mobidb-lite	G3DSA:3.30.710.10	PS50097	NA	NA	NA	NA	cd18186	NA	NA	NA	NA	NA
KKP05337.1	IPR036866	NA	SSF56281	SM00849	NA	G3DSA:3.60.15.10	NA	PF00753	NA	NA	NA	cd07739	NA	NA	NA	NA	NA
KKP01208.1	IPR006166	GO:0003677;GO:0004518	SSF52980;SSF47802	SM00891	mobidb-lite	G3DSA:3.40.50.10130;G3DSA:1.10.150.110;G3DSA:1.10.10.10	NA	PF02732	Reactome: R-HSA-6783310	NA	NA	NA	NA	NA	NA	NA	NA
KKO99160.1	IPR025676	NA	NA	NA	mobidb-lite	NA	NA	PF14420	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP03191.1	IPR017956	GO:0003677	NA	SM00384	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO99544.1	IPR035521	GO:0005515	SSF50044	SM00326	mobidb-lite	G3DSA:2.30.30.40	PS50002	PF14604	NA	NA	NA	cd11854;cd12087	NA	NA	NA	NA	NA
KKP00348.1	IPR000172	GO:0016614;GO:0050660;GO:0055114	SSF54373;SSF51905	NA	NA	G3DSA:3.50.50.60;G3DSA:3.30.560.10	NA	PF00732;PF05199	Reactome: R-HSA-6798163	PS00623	NA	NA	PIRSF000137	NA	NA	NA	NA
KKP02517.1	IPR035451	GO:0003677;GO:0003700;GO:0006355;GO:0043565;GO:0006281;GO:0008168;GO:0008270	SSF57884;SSF46689	NA	NA	G3DSA:3.40.10.10;G3DSA:1.10.10.60	PS01124	PF00165;PF02805	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO97031.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO99123.1	IPR041054	GO:0003723	SSF50249;SSF54791	NA	NA	G3DSA:2.40.50.140;G3DSA:3.30.1370.10	NA	PF18311;PF15985	Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226	NA	NA	cd05790	NA	NA	NA	NA	NA
KKO99336.1	NA	NA	SSF53187	NA	NA	G3DSA:3.40.630.10	NA	NA	NA	NA	NA	cd05672	NA	NA	NA	NA	NA
KKO99398.1	IPR008930	GO:0005965;GO:0018343;GO:0003824	SSF48239	NA	mobidb-lite	G3DSA:1.50.10.20	NA	PF00432	KEGG: 00900+2.5.1.58|Reactome: R-HSA-2514859	NA	NA	cd02893	NA	NA	NA	NA	NA
KKP07711.1	IPR011706	GO:0005507;GO:0016491;GO:0055114	SSF49503	NA	mobidb-lite	G3DSA:2.60.40.420	NA	PF07731;PF07732;PF00394	NA	PS00079;PS00080	NA	cd13899;cd13851;cd13877	NA	NA	NA	NA	NA
KKO97254.1	IPR014801	GO:0003712;GO:0006357;GO:0016592	NA	NA	mobidb-lite	NA	NA	PF08689	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO98910.1	IPR001381	GO:0003855;GO:0004764;GO:0055114;GO:0003824	SSF52540;SSF53223;SSF51735	NA	NA	G3DSA:3.40.50.10860;G3DSA:3.40.50.720;G3DSA:3.40.50.300;G3DSA:3.20.20.70	NA	PF01487;PF08501;PF18317;PF01202	KEGG: 00400+4.2.1.10|MetaCyc: PWY-6163|MetaCyc: PWY-6416|MetaCyc: PWY-6707	NA	NA	cd01065	NA	NA	NA	NA	NA
KKP05111.1	IPR013766	GO:0045454	SSF52833	NA	NA	G3DSA:3.40.30.10	PS51352	PF00085	NA	PS00194	PR00421	cd02947	NA	NA	NA	NA	NA
KKP06085.1	IPR001104	GO:0006629;GO:0016627	NA	NA	NA	NA	PS50244	PF02544	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP01887.1	IPR008217	GO:0005384;GO:0030026	NA	NA	NA	NA	NA	PF01988	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP05814.1	IPR002110	GO:0005515;GO:0016409	SSF48403	SM00248	mobidb-lite	G3DSA:1.25.40.20	PS50216;PS50088;PS50297	PF12796;PF01529;PF13857	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO98671.1	IPR005062	NA	NA	NA	mobidb-lite	G3DSA:1.25.40.990	PS50250	PF03399	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP06752.1	IPR036259	GO:0055085	SSF103473	NA	mobidb-lite	G3DSA:1.20.1720.10	PS50850	PF07690	NA	NA	PR01036	cd17502	NA	NA	NA	NA	NA
KKP07704.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP01592.1	IPR000073	NA	SSF53474	NA	mobidb-lite	NA	NA	PF12697	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO98826.1	IPR002190	NA	NA	SM01373	mobidb-lite	G3DSA:1.10.10.1210;G3DSA:1.10.10.1200	NA	PF01454	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP05791.1	IPR036910	NA	SSF47095	SM00398	mobidb-lite	G3DSA:1.10.30.10	PS50118	PF00505	NA	NA	PR00886	cd01390	NA	Coil	NA	NA	NA
KKP01995.1	IPR000182	GO:0008080	SSF55729	NA	mobidb-lite	G3DSA:3.40.630.30	PS51186	PF00583	NA	NA	NA	cd04301	NA	NA	NA	NA	NA
KKO97494.1	IPR002641	GO:0006629	SSF52151	NA	NA	G3DSA:3.40.1090.10	PS51635	PF01734	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP04502.1	IPR009057	GO:0003677	SSF46689	SM00717	mobidb-lite	G3DSA:1.10.10.60	NA	PF15963	Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	NA	NA	cd00167	NA	Coil	NA	NA	NA
KKP00139.1	IPR006067	GO:0016491;GO:0020037;GO:0051536;GO:0055114;GO:0051537;GO:0008942	SSF51905;SSF56014;SSF50022;SSF55124	NA	mobidb-lite	G3DSA:3.30.413.10;G3DSA:2.102.10.10;G3DSA:3.50.50.60;G3DSA:1.10.10.1100	PS51296	PF01077;PF04324;PF07992;PF13806;PF03460	KEGG: 00920+1.8.1.2|MetaCyc: PWY-6683	PS00365	PR00368;PR00397	NA	NA	NA	TIGR02378	NA	NA
KKP03974.1	IPR013026	GO:0005515	SSF48452	NA	NA	G3DSA:1.25.40.10	PS50293;PS50005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP05226.1	IPR023674	GO:0003723;GO:0003735;GO:0006412;GO:0015934	SSF56808	NA	NA	G3DSA:3.30.190.20;G3DSA:3.40.50.790	NA	PF00687	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PS01199	NA	cd00403	PIRSF002155	NA	NA	NA	NA
KKP00761.1	IPR005935	GO:0008299;GO:0016831;GO:0005524;GO:0004163;GO:0005829;GO:0019287	SSF54211;SSF55060	NA	NA	G3DSA:3.30.230.10;G3DSA:3.30.70.890	NA	PF18376;PF00288	KEGG: 00900+4.1.1.33|MetaCyc: PWY-7391|MetaCyc: PWY-922|Reactome: R-HSA-191273|Reactome: R-HSA-2426168|Reactome: R-HSA-446199	NA	NA	NA	PIRSF015950	NA	TIGR01240	NA	NA
KKO99476.1	IPR002110	GO:0005515;GO:0003824;GO:0009116	SSF48403;SSF53167;SSF52540	SM00248	NA	G3DSA:1.25.40.20;G3DSA:3.40.50.300;G3DSA:3.40.50.1580	PS50088;PS50297	PF13637;PF12796	NA	NA	PR01415	cd09008	NA	NA	NA	NA	NA
KKP03369.1	IPR000727	NA	SSF58038	SM00397	mobidb-lite	G3DSA:1.20.5.110	PS50192	NA	NA	NA	NA	cd15886;cd15857	NA	Coil	NA	NA	NA
KKP06229.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP03267.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP02177.1	IPR020846	GO:0016021;GO:0022857;GO:0055085;GO:0016020	SSF103473	NA	NA	G3DSA:1.20.1250.20	PS50850	PF00083	Reactome: R-HSA-189200	PS00217	PR00171	cd17356	NA	NA	TIGR00879	NA	NA
KKP00076.1	IPR021858	NA	NA	NA	NA	NA	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP07731.1	IPR013894		NA	SM01161	mobidb-lite	G3DSA:2.40.50.770	NA	PF08585	Reactome: R-HSA-5685938|Reactome: R-HSA-5685942|Reactome: R-HSA-5693554|Reactome: R-HSA-5693568|Reactome: R-HSA-5693579|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6804756|Reactome: R-HSA-69473	NA	NA	NA	NA	NA	NA	NA	NA
KKP01153.1	IPR012943	GO:0005815	SSF57997	NA	mobidb-lite	NA	NA	PF07989;PF12808	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKO97620.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP07572.1	IPR016024	NA	SSF48371	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO97958.1	IPR013785	GO:0003824;GO:0016491;GO:0055114;GO:0020037	SSF51395;SSF55856	SM01117	NA	G3DSA:3.20.20.70;G3DSA:3.10.120.10	PS51349;PS50255	PF01070;PF00173	Reactome: R-HSA-9033241	PS00557;PS00191	PR00363	cd02922	NA	NA	NA	NA	NA
KKO99515.1	IPR015408	GO:0005634;GO:0006260	NA	NA	mobidb-lite	G3DSA:2.40.50.140	NA	PF09329	Reactome: R-HSA-176187|Reactome: R-HSA-68962	NA	NA	NA	NA	Coil	NA	NA	NA
KKP05095.1	IPR016509	GO:0000753;GO:0016020;GO:0032220	NA	NA	NA	NA	NA	PF12351	NA	NA	NA	NA	PIRSF007138	NA	NA	NA	NA
KKP06383.1	IPR012349	GO:0048037;GO:0010181	SSF50475	NA	NA	G3DSA:2.30.110.10	NA	PF01613	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP05431.1	IPR006880	GO:0031011	NA	SM01406	mobidb-lite	NA	NA	PF04795	Reactome: R-HSA-5689603|Reactome: R-HSA-5696394	NA	NA	NA	NA	Coil	NA	NA	NA
KKO99840.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SSF57701	SM00906;SM00066	mobidb-lite	G3DSA:4.10.240.10	PS50048	PF00172;PF04082	NA	PS00463	NA	cd12148;cd00067	NA	NA	NA	NA	NA
KKP00110.1	IPR006603	NA	NA	SM00679	NA	NA	NA	PF04193	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP03425.1	IPR027537	GO:0007005;GO:0032865;GO:0008289	NA	NA	mobidb-lite	NA	PS51847	PF10296	NA	NA	NA	NA	NA	NA	NA	MF_03103	NA
KKP03965.1	IPR008972	GO:0005507;GO:0016491;GO:0055114	SSF49503	NA	NA	G3DSA:2.60.40.420	NA	PF07731;PF07732	NA	PS00080	NA	cd13889	NA	NA	NA	NA	NA
KKO97369.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO99236.1	IPR019049		NA	NA	mobidb-lite	NA	NA	PF09531	Reactome: R-HSA-1169408|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-5619107|Reactome: R-HSA-6784531	NA	NA	NA	NA	NA	NA	NA	NA
KKO97679.1	IPR001163	GO:0000398;GO:0005688;GO:0046540	SSF50182	SM00651	NA	G3DSA:2.30.30.100	NA	PF01423	Reactome: R-HSA-72163	NA	NA	cd01727	NA	NA	NA	NA	NA
KKO99571.1	IPR038305	NA	NA	NA	mobidb-lite	G3DSA:1.20.120.1020	NA	PF14479	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP07292.1	IPR001650	GO:0003676;GO:0008270;GO:0016818;GO:0005524	SSF52540;SSF57850	SM00910;SM00184;SM00487;SM00490	mobidb-lite	G3DSA:3.30.40.10;G3DSA:3.40.50.10810;G3DSA:3.30.70.2330	PS51192;PS51194;PS50089	PF13923;PF00271;PF00176;PF08797	Reactome: R-HSA-8866654	PS00518	NA	cd16509;cd18071;cd18793	NA	NA	NA	NA	NA
