Gene	interpro	Gene3D	SUPERFAMILY	Pfam	PRINTS	MobiDBLite	Coils	CDD	GO	PATHWAY	ProSitePatterns	SMART	ProSiteProfiles	PIRSF	TIGRFAM	Hamap	SFLD
PTB67949.1	IPR032819	G3DSA:3.30.2350.10;G3DSA:2.30.130.70	SSF55120;SSF88697	PF16198;PF01472;PF08068;PF01509	NA	mobidb-lite	Coil	cd02572	GO:0001522;GO:0003723;GO:0009451;GO:0009982;GO:0006396	Reactome: R-HSA-171319|Reactome: R-HSA-6790901	NA	SM00359;SM01136	PS50890	NA	TIGR00425;TIGR00451	NA	NA
PTB70194.1	IPR004841	G3DSA:1.20.1740.10	NA	PF00324	NA	NA	NA	NA	GO:0016020;GO:0055085;GO:0006865;GO:0016021;GO:0022857	NA	PS00218	NA	NA	PIRSF006060	NA	NA	NA
PTB70553.1	IPR007175	G3DSA:2.20.25.200	NA	PF04032	NA	mobidb-lite	NA	NA		Reactome: R-HSA-6784531|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA
PTB62623.1	IPR001138	G3DSA:4.10.240.10	SSF57701	PF00172;PF04082	NA	mobidb-lite	NA	cd00067;cd12148	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PS00463	SM00906;SM00066	PS50048	NA	NA	NA	NA
PTB66992.1	IPR029058	G3DSA:3.40.50.1820	SSF53474	PF12697	NA	mobidb-lite	NA	NA	GO:0006482;GO:0051723	Reactome: R-HSA-69273	NA	NA	NA	PIRSF022950	NA	NA	NA
PTB67721.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61951.1	IPR036396	G3DSA:1.10.630.10	SSF48264	PF00067	PR00463;PR00385	NA	NA	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PS00086	NA	NA	NA	NA	NA	NA
PTB63069.1	IPR002347	G3DSA:3.40.50.720	SSF51735	PF00106	PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65232.1	IPR017853	G3DSA:3.10.50.10;G3DSA:3.20.20.80	SSF51445	PF00704	NA	mobidb-lite	NA	NA	GO:0004553;GO:0005975;GO:0008061	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	PS01095	SM00636	NA	NA	NA	NA	NA
PTB61949.1	IPR011990	G3DSA:1.25.40.10	SSF48452	PF08640	NA	NA	NA	NA	GO:0005515;GO:0000462;GO:0030515;GO:0006396	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	SM00386	NA	NA	NA	NA	NA
PTB63905.1	IPR036427	NA	SSF47370	NA	PR01217	mobidb-lite	Coil	NA	GO:0005515	NA	NA	NA	NA	NA	NA	NA	NA
PTB69613.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69547.1	IPR000195	G3DSA:1.10.8.270;G3DSA:1.10.472.80	SSF47923	PF00566	NA	mobidb-lite	NA	NA	NA	NA	NA	SM00164	PS50086	NA	NA	NA	NA
PTB63407.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69729.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65526.1	IPR029226	NA	NA	PF14856	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69916.1	IPR023333	G3DSA:3.60.20.10	SSF56235	PF00227	NA	NA	NA	cd03757	GO:0004298;GO:0005839;GO:0051603	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	PS51476	NA	NA	NA	NA
PTB66010.1	IPR007219	NA	NA	PF04082	NA	mobidb-lite	Coil	cd12148	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	SM00906	NA	NA	NA	NA	NA
PTB63950.1	IPR010905	G3DSA:1.50.10.10	SSF48208	PF07470	NA	NA	NA	NA	GO:0003824	NA	NA	NA	NA	NA	NA	NA	NA
PTB66048.1	IPR011701	G3DSA:1.20.1250.20	SSF103473	PF07690	NA	NA	NA	cd17327	GO:0055085	NA	NA	NA	PS50850	NA	NA	NA	NA
PTB69982.1	IPR026992	G3DSA:2.60.120.330	SSF51197	PF14226;PF03171	NA	mobidb-lite	NA	NA	GO:0016491;GO:0055114	NA	NA	NA	PS51471	NA	NA	NA	NA
PTB69849.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64740.1	IPR011008	G3DSA:3.30.70.100	SSF54909	PF07978	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64840.1	IPR041470	NA	NA	PF17681;PF04130	NA	mobidb-lite	NA	NA	GO:0043015	Reactome: R-HSA-380270|Reactome: R-HSA-380320	NA	NA	NA	NA	NA	NA	NA
PTB68786.1	IPR018060	G3DSA:3.40.10.10;G3DSA:1.10.10.60	SSF46689;SSF57884	PF02805	NA	NA	NA	NA	GO:0003700;GO:0006355;GO:0043565;GO:0003677;GO:0006281;GO:0008168;GO:0008270	NA	NA	NA	PS01124	NA	NA	NA	NA
PTB66608.1	IPR012404	NA	SSF103481	PF04142	NA	NA	NA	NA	GO:0016021;GO:0000139;GO:0015165;GO:0090481	NA	NA	NA	NA	PIRSF036436	NA	NA	NA
PTB69907.1	IPR002893	G3DSA:3.30.70.3410;G3DSA:2.170.270.10;G3DSA:3.30.60.180	SSF82199;SSF144232	PF01753;PF00856	NA	NA	Coil	NA	GO:0005515	NA	PS01360	SM00317	PS50280;PS50865	NA	NA	NA	NA
PTB66908.1	IPR038664	G3DSA:2.40.10.230	SSF50447	PF04410	NA	mobidb-lite	NA	NA	GO:0001522;GO:0042254	NA	NA	NA	NA	NA	NA	NA	NA
PTB66912.1	IPR012349	G3DSA:2.30.110.10;G3DSA:2.40.30.10;G3DSA:3.40.50.80	SSF63380;SSF52343	PF01243	NA	NA	NA	cd06197	GO:0048037;GO:0016491;GO:0055114	KEGG: 00750+1.4.3.5|MetaCyc: PWY-7204|MetaCyc: PWY-7282|Reactome: R-HSA-964975	NA	NA	PS51384	NA	NA	NA	NA
PTB64229.1	IPR016300	G3DSA:3.40.50.300	SSF52540	PF02374	NA	NA	Coil	cd02035	GO:0005524;GO:0016887	Reactome: R-HSA-9609523	NA	NA	NA	NA	TIGR00345	MF_03112	NA
PTB69390.1	IPR001734	G3DSA:1.20.1730.10	NA	PF00474	NA	mobidb-lite	NA	cd11476	GO:0016020;GO:0022857;GO:0055085	NA	NA	NA	PS50283	NA	TIGR00813	NA	NA
PTB62333.1	IPR006153	G3DSA:1.20.1530.20	NA	PF00999	NA	NA	NA	NA	GO:0006812;GO:0015299;GO:0016021;GO:0055085	NA	NA	NA	NA	NA	NA	NA	NA
PTB67139.1	IPR001375	G3DSA:2.120.10.30;G3DSA:3.40.50.1820	SSF53474;SSF82171	PF00326	NA	NA	NA	NA	GO:0006508;GO:0008236	NA	NA	NA	NA	NA	NA	NA	NA
PTB63930.1	IPR011701	G3DSA:1.20.1250.20	SSF103473	PF07690	NA	mobidb-lite	NA	cd17327	GO:0055085	NA	NA	NA	NA	NA	NA	NA	NA
PTB65600.1	IPR027417	G3DSA:1.10.150.300;G3DSA:3.40.50.300;G3DSA:3.10.20.30	SSF52540;SSF81271	PF06071;PF01926	PR00326	NA	NA	cd01900;cd04867	GO:0005525	Reactome: R-HSA-114608	NA	NA	PS51710	PIRSF006641	TIGR00092	NA	NA
PTB67620.1	IPR029063	G3DSA:3.40.50.150	SSF53335	PF05971	NA	mobidb-lite	NA	cd02440	GO:0008168	NA	NA	NA	NA	NA	NA	NA	NA
PTB67160.1	IPR011333	G3DSA:3.30.710.10	SSF54695	PF00651	NA	mobidb-lite	NA	cd18186	GO:0005515	NA	NA	NA	PS50097	NA	NA	NA	NA
PTB70561.1	IPR011993	G3DSA:2.30.29.30	SSF50729	PF00568	NA	mobidb-lite	Coil	cd01205		Reactome: R-HSA-2029482|Reactome: R-HSA-5663213	NA	SM00461	PS50229	NA	NA	NA	NA
PTB63541.1	IPR021851	NA	NA	PF11937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70764.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61877.1	IPR000917	G3DSA:3.40.720.10	SSF53649	PF00884	NA	NA	NA	cd16027	GO:0008484;GO:0003824	NA	NA	NA	NA	NA	NA	NA	NA
PTB65101.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69033.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64166.1	IPR017877	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	PS50090	NA	NA	NA	NA
PTB63635.1	IPR002347	G3DSA:3.40.50.720	SSF51735	PF13561	PR00080;PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63133.1	IPR006968	NA	NA	PF04884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64435.1	IPR008564	NA	NA	PF05832	NA	NA	NA	NA	GO:0016021	NA	NA	NA	NA	NA	NA	NA	NA
PTB69140.1	IPR004147	NA	SSF56112	PF03109	NA	NA	NA	cd13971	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63686.1	IPR000453	G3DSA:3.60.150.10	SSF103263	PF01264	NA	mobidb-lite	NA	cd07304	GO:0004107;GO:0009073	KEGG: 00400+4.2.3.5|MetaCyc: PWY-6163	PS00789;PS00788	NA	NA	PIRSF001456	TIGR00033	MF_00300	NA
PTB68234.1	IPR002656	NA	NA	PF01757	NA	NA	NA	NA	GO:0016747	NA	NA	NA	NA	NA	NA	NA	NA
PTB69737.1	IPR014710	G3DSA:2.60.120.10	SSF51182	PF07883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70536.1	IPR007855	NA	NA	PF05183	NA	mobidb-lite	NA	NA	GO:0003968	NA	NA	NA	NA	NA	NA	NA	NA
PTB66136.1	IPR016185	G3DSA:3.40.50.12210;G3DSA:3.30.1490.20;G3DSA:3.30.470.20;G3DSA:3.90.1770.10;G3DSA:2.40.50.100;G3DSA:3.90.226.10;G3DSA:2.40.460.10	SSF52440;SSF51246;SSF56059;SSF52096;SSF51230	PF00364;PF02786;PF08326;PF00289;PF01039;PF02785	NA	NA	Coil	cd06850	GO:0005524;GO:0046872;GO:0003989;GO:0006633;GO:0016874	Reactome: R-HSA-196780	PS00867;PS00188;PS00866	SM00878	PS50975;PS50968;PS50989;PS50979;PS50980	NA	NA	NA	NA
PTB63163.1	IPR001680	G3DSA:2.130.10.10;G3DSA:1.20.1280.50	SSF81383;SSF50978	PF12937;PF00400	NA	mobidb-lite	NA	cd00200	GO:0005515	NA	PS00678	SM00256;SM00320	PS50082;PS50294;PS50181	NA	NA	NA	NA
PTB63780.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68732.1	IPR001680	G3DSA:2.130.10.10	SSF50978	PF00400	NA	mobidb-lite	NA	NA	GO:0005515	NA	PS00678	SM00320	PS50082;PS50294	NA	NA	NA	NA
PTB69176.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61433.1	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65627.1	IPR036851	G3DSA:1.10.489.10	SSF47571	PF01328	NA	NA	NA	NA	GO:0004601	NA	NA	NA	PS51405	NA	NA	NA	NA
PTB63632.1	IPR023576	G3DSA:3.40.50.150	SSF53335	PF13489	NA	NA	NA	cd02440	GO:0008168	KEGG: 00130+2.1.1.163|MetaCyc: PWY-5839|MetaCyc: PWY-5844|MetaCyc: PWY-5849|MetaCyc: PWY-5890|MetaCyc: PWY-5891|MetaCyc: PWY-5892|MetaCyc: PWY-5895|MetaCyc: PWY-7996	PS01184	NA	NA	NA	NA	NA	NA
PTB65324.1	IPR035587	G3DSA:3.20.20.70	SSF51395	PF01207	NA	mobidb-lite	NA	cd02801	GO:0008033;GO:0017150;GO:0050660;GO:0055114;GO:0003824	NA	PS01136	NA	NA	NA	NA	NA	NA
PTB64025.1	IPR013126	G3DSA:3.30.30.30;G3DSA:3.30.420.40;G3DSA:3.90.640.10;G3DSA:2.60.34.10;G3DSA:1.20.1270.10	SSF100920;SSF53067;SSF100934	PF00012	PR00301	mobidb-lite	Coil	cd10228		Reactome: R-HSA-3371453	PS01036	NA	NA	NA	NA	NA	NA
PTB65441.1	IPR007858	G3DSA:1.20.890.10	NA	PF05186	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63191.1	IPR021369	NA	NA	PF11204	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63779.1	IPR036259	G3DSA:1.20.1250.20	SSF103473	PF07690	NA	mobidb-lite	NA	cd17352	GO:0055085	NA	NA	NA	NA	NA	NA	NA	NA
PTB67738.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65100.1	IPR002110	G3DSA:1.25.40.20	SSF48403	PF12796	PR01415	NA	NA	NA	GO:0005515	NA	NA	SM00248	PS50088;PS50297	NA	NA	NA	NA
PTB65634.1	IPR006411	G3DSA:3.20.20.70	SSF51569	PF01116	NA	NA	NA	cd00946	GO:0004332;GO:0006096;GO:0005975;GO:0008270;GO:0016832;GO:0003824	KEGG: 00010+4.1.2.13|KEGG: 00030+4.1.2.13|KEGG: 00051+4.1.2.13|KEGG: 00680+4.1.2.13|KEGG: 00710+4.1.2.13|MetaCyc: PWY-1042|MetaCyc: PWY-1861|MetaCyc: PWY-5484|MetaCyc: PWY-6142|MetaCyc: PWY-7385	PS00602;PS00806	NA	NA	PIRSF001359	TIGR00167;TIGR01520	NA	NA
PTB66372.1	IPR035979	G3DSA:3.30.70.330	SSF54928	PF00076;PF12220	NA	NA	NA	NA	GO:0003676	Reactome: R-HSA-72163	NA	SM00360	PS50102	NA	NA	NA	NA
PTB62391.1	IPR013894	G3DSA:2.40.50.770	NA	PF08585	NA	mobidb-lite	NA	NA		Reactome: R-HSA-5685938|Reactome: R-HSA-5685942|Reactome: R-HSA-5693554|Reactome: R-HSA-5693568|Reactome: R-HSA-5693579|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6804756|Reactome: R-HSA-69473	NA	SM01161	NA	NA	NA	NA	NA
PTB66437.1	IPR003131	G3DSA:3.30.710.10	SSF54695	PF02214	NA	NA	NA	cd18316	GO:0051260	NA	NA	NA	NA	NA	NA	NA	NA
PTB70248.1	IPR005645	G3DSA:3.40.50.1820	SSF53474	PF03959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64749.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69700.1	IPR002129	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	SSF53383	PF00282	NA	NA	NA	NA	GO:0016831;GO:0019752;GO:0030170;GO:0003824	NA	PS00392	NA	NA	NA	NA	NA	NA
PTB66396.1	IPR002687	G3DSA:1.10.287.660;G3DSA:1.10.246.90;G3DSA:1.10.150.460	SSF89124	PF08156;PF01798	NA	mobidb-lite	NA	NA		Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	SM00931	PS51358	NA	NA	NA	NA
PTB61933.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61605.1	IPR024629	NA	NA	PF12829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62641.1	IPR036852	G3DSA:3.40.50.200;G3DSA:3.30.70.80	SSF52743	PF00082;PF05922	PR00723	NA	Coil	cd04077	GO:0004252;GO:0006508	Reactome: R-HSA-381426|Reactome: R-HSA-8866427|Reactome: R-HSA-8957275|Reactome: R-HSA-8964038	PS00137;PS00138	NA	NA	NA	NA	NA	NA
PTB64997.1	IPR001138	G3DSA:4.10.240.10	SSF57701	PF00172;PF11951	NA	NA	NA	cd00067	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PS00463	SM00066	PS50048	NA	NA	NA	NA
PTB61832.1	IPR011990	G3DSA:1.25.40.10	SSF48452;SSF103107	PF13424;PF15044;PF12807;PF13374;PF13236	NA	mobidb-lite	Coil	cd15466	GO:0005515;GO:0048312	NA	NA	NA	PS51823;PS50005;PS50293	NA	NA	MF_03013	NA
PTB65423.1	IPR014898	NA	NA	PF08790	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66149.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64950.1	IPR013149	G3DSA:3.40.50.720;G3DSA:3.90.180.10	SSF50129;SSF51735	PF00107	NA	NA	NA	NA	GO:0055114	NA	PS00065	NA	NA	NA	NA	NA	NA
PTB64230.1	IPR014891	G3DSA:3.10.20.90;G3DSA:4.10.60.10;G3DSA:3.30.40.10	SSF57850;SSF57756	PF08783;PF13696	NA	mobidb-lite	NA	cd16620	GO:0008270;GO:0003676	Reactome: R-HSA-983168	NA	SM01180	PS50158;PS51282	NA	NA	NA	NA
PTB61506.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66500.1	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62725.1	IPR021858	NA	NA	PF11951	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65308.1	IPR036815	G3DSA:1.20.190.20	SSF48445	PF00244	PR00305	mobidb-lite	Coil	cd11309		Reactome: R-HSA-111447|Reactome: R-HSA-1445148|Reactome: R-HSA-5625740|Reactome: R-HSA-5628897|Reactome: R-HSA-75035	PS00796;PS00797	SM00101	NA	PIRSF000868	NA	NA	NA
PTB67056.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64686.1	IPR008972	G3DSA:2.60.40.420	SSF49503	PF00394;PF07732;PF07731	NA	mobidb-lite	NA	cd13901;cd13880;cd13854	GO:0055114;GO:0005507;GO:0016491	NA	PS00080;PS00079	NA	NA	NA	NA	NA	NA
PTB61761.1	IPR006048	G3DSA:2.60.40.1180;G3DSA:3.20.20.80;G3DSA:2.60.40.10	SSF81296;SSF51011;SSF51445	PF02806;PF00128;PF02922	NA	NA	NA	cd02854;cd11321	GO:0003824;GO:0005975;GO:0043169;GO:0003844;GO:0005978;GO:0004553	KEGG: 00500+2.4.1.18|MetaCyc: PWY-5067|MetaCyc: PWY-622|MetaCyc: PWY-7900	NA	SM00642	NA	PIRSF000463	NA	NA	NA
PTB62146.1	IPR001128	NA	SSF48264	PF00067	PR00385;PR00465	NA	NA	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	NA	PS00086	NA	NA	NA	NA	NA	NA
PTB69371.1	IPR010730	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69567.1	IPR036250	G3DSA:2.40.110.10;G3DSA:1.20.140.10;G3DSA:1.10.540.10	SSF47203;SSF56645	PF02771;PF02770;PF00441	NA	NA	NA	NA	GO:0016627;GO:0055114;GO:0050660	NA	NA	NA	NA	NA	NA	NA	NA
PTB67827.1	NA	NA	SSF69989	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68857.1	IPR011993	G3DSA:2.30.29.30	SSF50729	PF15406	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	PS50003	NA	NA	NA	NA
PTB65763.1	IPR008271	G3DSA:1.10.510.10	SSF56112	PF00069	NA	mobidb-lite	NA	cd14019	GO:0004672;GO:0006468;GO:0005524	NA	PS00108	SM00220	PS50011	NA	NA	NA	NA
PTB70074.1	IPR008901	NA	NA	PF05875	NA	NA	NA	NA	GO:0006672;GO:0016021;GO:0016811	Reactome: R-HSA-1660661	NA	NA	NA	NA	NA	NA	NA
PTB62801.1	IPR004827	NA	NA	NA	NA	mobidb-lite	Coil	cd14688	GO:0003700;GO:0006355	NA	PS00036	NA	NA	NA	NA	NA	NA
PTB67244.1	IPR005301	NA	SSF101152	PF03637	NA	NA	NA	NA	NA	NA	NA	SM01388	NA	NA	NA	NA	NA
PTB68247.1	IPR018109	G3DSA:3.40.1190.10	SSF53623	NA	NA	NA	NA	NA	GO:0004326;GO:0005524;GO:0009396;GO:0009058	Reactome: R-HSA-196757	PS01012	NA	NA	NA	TIGR01499	NA	NA
PTB63267.1	IPR036188	G3DSA:3.50.50.60	SSF51905	PF00743	PR00370	NA	NA	NA	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	NA	NA	PS51257	PIRSF000332	NA	NA	NA
PTB65082.1	IPR018020	G3DSA:1.10.3330.10	SSF158694	PF09349	NA	NA	Coil	NA		KEGG: 00230+4.1.1.97|MetaCyc: PWY-5691|MetaCyc: PWY-7394|MetaCyc: PWY-7849	NA	NA	NA	NA	NA	NA	NA
PTB65728.1	IPR005829	G3DSA:1.20.1250.20	SSF103473	PF00083	PR00171	mobidb-lite	NA	cd17356	GO:0016021;GO:0022857;GO:0055085;GO:0016020	Reactome: R-HSA-189200	PS00216;PS00217	NA	PS50850	NA	TIGR00879	NA	NA
PTB66786.1	IPR011059	G3DSA:2.30.40.10;G3DSA:1.20.58.520;G3DSA:3.40.50.10910;G3DSA:3.30.110.90	SSF51338;SSF51556	PF01979	NA	NA	NA	NA	GO:0016810;GO:0016787	NA	NA	NA	PS51257	NA	NA	NA	NA
PTB66087.1	IPR009081	G3DSA:3.30.300.30;G3DSA:3.40.50.12780;G3DSA:3.30.559.10;G3DSA:3.30.559.30;G3DSA:1.10.1200.10	SSF52777;SSF56801;SSF47336	PF00550;PF00501;PF00668	NA	mobidb-lite	NA	cd05966;cd05918	GO:0003824;GO:0031177	Reactome: R-HSA-389661	PS00012;PS00455	SM00823	PS50075	NA	TIGR01733	NA	NA
PTB66781.1	IPR000467	NA	NA	PF01585	NA	mobidb-lite	Coil	NA	GO:0003676	NA	NA	NA	PS50174	NA	NA	NA	NA
PTB65761.1	IPR004274	G3DSA:2.40.50.100;G3DSA:3.40.50.10190	SSF52113;SSF56784	PF03031;PF00533	NA	mobidb-lite	NA	cd17729;cd07521	GO:0004721;GO:0005634	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16|Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167242|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-75955	NA	SM00292;SM00577	PS50969;PS50172	NA	TIGR02250	NA	NA
PTB62015.1	IPR002575	G3DSA:3.90.1200.10	SSF56112	PF01636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63219.1	IPR013154	G3DSA:3.90.180.10;G3DSA:3.40.50.720	SSF50129;SSF51735	PF08240;PF13602	NA	NA	NA	cd05289	GO:0055114;GO:0016491	NA	NA	SM00829	NA	NA	NA	NA	NA
PTB64234.1	IPR040442	G3DSA:3.20.20.60;G3DSA:1.10.10.850	SSF51621	PF00463	NA	NA	NA	NA	GO:0003824;GO:0004451;GO:0019752	KEGG: 00630+4.1.3.1|MetaCyc: PWY-6969	PS00161	NA	NA	PIRSF001362	TIGR01346	NA	NA
PTB64531.1	IPR029017	G3DSA:3.30.390.10;G3DSA:3.20.20.120	SSF51604;SSF54826	PF02746;PF13378	NA	mobidb-lite	NA	cd03327	GO:0050032	KEGG: 00051+4.2.1.90|MetaCyc: PWY-6713|MetaCyc: PWY-6714	NA	SM00922	NA	NA	NA	NA	SFLDG00179;SFLDF00006
PTB70456.1	IPR007146	NA	NA	PF04000	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61485.1	IPR036396	G3DSA:1.10.630.10	SSF48264	PF00067	PR00385;PR00463	NA	NA	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PS00086	NA	NA	NA	NA	NA	NA
PTB66839.1	IPR010619	NA	NA	PF06738;PF12821	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67465.1	IPR037525	G3DSA:2.60.40.3960	NA	PF11754	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	PS51821	NA	NA	NA	NA
PTB68017.1	IPR001680	G3DSA:2.130.10.10	SSF50978	PF00400	NA	mobidb-lite	NA	NA	GO:0005515	NA	NA	SM00320	PS50082;PS50294	NA	NA	NA	NA
PTB61608.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69014.1	IPR002347	G3DSA:3.40.50.720	SSF51735	PF00106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64439.1	IPR036457	G3DSA:3.60.40.10	SSF81606	PF13672	NA	mobidb-lite	NA	NA		KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	NA	NA	NA	NA	NA	NA	NA
PTB67107.1	NA	G3DSA:1.10.357.90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
