Gene	interpro	GO	SMART	ProSiteProfiles	SUPERFAMILY	CDD	Gene3D	Pfam	MobiDBLite	PATHWAY	ProSitePatterns	Coils	PRINTS	TIGRFAM	PIRSF	SFLD	Hamap
PTB36936.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB36914.1	IPR011989	NA	NA	NA	NA	NA	G3DSA:1.25.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB45921.1	NA	NA	NA	NA	NA	cd12148	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB45940.1	IPR027417	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	SM00382	PS50893;PS50929	SSF52540;SSF90123	cd18578;cd03249;cd18577	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	PF00664;PF00005	mobidb-lite	NA	PS00211	NA	NA	NA	NA	NA	NA
PTB41257.1	IPR036612	GO:0003723;GO:0003676	SM00322	PS50084	SSF54791	cd00105	G3DSA:3.30.1370.10	PF00013	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB44330.1	IPR005708	GO:0004411;GO:0006559;GO:0006570;GO:0055114	NA	NA	SSF51182	NA	G3DSA:2.60.120.10	PF04209	NA	KEGG: 00350+1.13.11.5|KEGG: 00643+1.13.11.5|Reactome: R-HSA-8963684	NA	NA	NA	TIGR01015	NA	NA	NA
PTB39648.1	NA	NA	NA	NA	NA	NA	G3DSA:1.10.357.90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB42517.1	IPR013049	GO:0003677;GO:0003824;GO:0005524;GO:0005694;GO:0006259;GO:0000737;GO:0016889	NA	NA	SSF56726	NA	NA	PF04406	mobidb-lite	Reactome: R-HSA-912446	NA	NA	PR01550	NA	NA	NA	NA
PTB42038.1	IPR008030		NA	NA	SSF51735	NA	G3DSA:3.40.50.720;G3DSA:3.90.25.10	PF05368	mobidb-lite	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA
PTB41373.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB37133.1	IPR031348	NA	NA	NA	NA	NA	NA	PF17111	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PTB37033.1	IPR013785	GO:0003824;GO:0010181;GO:0016491;GO:0055114	NA	NA	SSF51395	cd02932	G3DSA:3.20.20.70	PF00724	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB38729.1	IPR036236	NA	NA	NA	SSF57667	NA	NA	PF12756	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB39199.1	IPR016024	GO:0006886;GO:0016192;GO:0030117	NA	NA	SSF48371	NA	NA	PF01602	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB45827.1	IPR015069	NA	NA	NA	SSF55144	NA	G3DSA:3.90.1140.10	PF08975	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB37666.1	IPR001005	GO:0003677	NA	PS50090	SSF46689	cd00167	G3DSA:1.10.10.60	PF00249	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB40505.1	IPR013177		SM01155	NA	NA	NA	NA	PF08213	mobidb-lite	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	Coil	NA	NA	NA	NA	NA
PTB44971.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SM00066	PS50048	SSF57701	cd00067;cd12148	G3DSA:4.10.240.10	PF00172;PF04082	mobidb-lite	NA	PS00463	NA	NA	NA	NA	NA	NA
PTB39136.1	IPR037401	NA	NA	NA	SSF54427	cd00531	G3DSA:3.10.450.50	PF13577	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB44334.1	IPR000184	GO:0019867	NA	NA	NA	NA	G3DSA:2.40.160.50	PF01103	mobidb-lite	Reactome: R-HSA-1268020|Reactome: R-HSA-8949613	NA	NA	NA	NA	NA	NA	NA
PTB43833.1	IPR013087	GO:0003676	NA	PS50157	NA	NA	NA	NA	NA	NA	PS00028	Coil	NA	NA	NA	NA	NA
PTB35321.1	IPR019775	GO:0005515	SM00320	PS50082;PS50294;PS50837	SSF50998;SSF52540;SSF50978	cd00200	G3DSA:2.130.10.10;G3DSA:3.40.50.300	PF00400;PF05729;PF17100	mobidb-lite	NA	PS00678	NA	PR00320	NA	NA	NA	NA
PTB35076.1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	SSF48264	NA	G3DSA:1.10.630.10	PF00067	mobidb-lite	NA	PS00086	NA	PR00385;PR00463	NA	NA	NA	NA
PTB46535.1	IPR006680	GO:0016787	NA	NA	SSF51556	NA	G3DSA:3.20.20.140	PF04909	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB40201.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB34856.1	IPR009072	GO:0046982	NA	NA	SSF47113	NA	G3DSA:1.10.20.10	PF00808	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB41623.1	IPR016712	NA	NA	NA	NA	NA	NA	PF11709	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB45716.1	IPR029069	GO:0016491	SM00822	NA	SSF54637;SSF51735	cd05353;cd03448	G3DSA:3.10.129.10;G3DSA:3.40.50.720	PF00106;PF01575	mobidb-lite	NA	PS00061	Coil	PR00080;PR00081	NA	NA	NA	NA
PTB44807.1	IPR036188	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	NA	SSF51905	NA	G3DSA:3.50.50.60	PF00743	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB34949.1	IPR016169	GO:0071949;GO:0016491;GO:0050660;GO:0055114	NA	PS51387	SSF56176	NA	G3DSA:3.30.465.10;G3DSA:3.40.462.20;G3DSA:3.30.465.40	PF01565	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB37710.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB39937.1	IPR002130	GO:0000413;GO:0003755;GO:0006457	NA	PS50072	SSF50891	cd01928	G3DSA:2.40.100.10	PF00160	NA	NA	PS00170	NA	PR00153	NA	PIRSF001467	NA	NA
PTB44845.1	IPR002347	NA	NA	NA	SSF51735	cd05233	G3DSA:3.40.50.720	PF00106	NA	NA	NA	NA	PR00081	NA	NA	NA	NA
PTB39786.1	IPR016024	NA	NA	NA	SSF48371	NA	NA	PF10521	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB38935.1	IPR019775	GO:0005515	SM00320	PS50294;PS50082	SSF50978	NA	G3DSA:2.130.10.10	PF00400	mobidb-lite	NA	PS00678	NA	PR00320	NA	NA	NA	NA
PTB36067.1	IPR001593	GO:0003735;GO:0005840;GO:0006412	SM01397	NA	NA	NA	NA	PF01015	mobidb-lite	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PS01191	NA	NA	NA	NA	NA	MF_03122
PTB37197.1	IPR016166	GO:0071949;GO:0050660;GO:0016491;GO:0055114	NA	PS51387;PS51257	SSF56176	NA	G3DSA:3.40.462.20;G3DSA:3.30.465.40	PF08031;PF01565	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB41952.1	IPR017956	GO:0003677	SM00384	NA	NA	NA	NA	PF02178	mobidb-lite	NA	NA	NA	PR00929	NA	NA	NA	NA
PTB39246.1	IPR001509	GO:0003824;GO:0050662	NA	NA	SSF51735	NA	G3DSA:3.40.50.720	PF01370	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB41526.1	IPR016680	GO:0006120	NA	PS51808	NA	NA	NA	PF06747	NA	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	NA	NA	NA	PIRSF017016	NA	NA
PTB37857.1	IPR006140	GO:0051287;GO:0055114;GO:0016616	NA	NA	SSF51735;SSF52283	cd12169	G3DSA:3.40.50.720	PF02826;PF00389	NA	NA	PS00065	NA	NA	NA	NA	NA	NA
PTB40335.1	IPR009057	GO:0003677;GO:0003676;GO:0006355	SM00355;SM00389	PS50071;PS50157	SSF46689	cd00086	G3DSA:1.10.10.60;G3DSA:3.30.160.60	PF05920	mobidb-lite	NA	PS00028	NA	NA	NA	NA	NA	NA
PTB34763.1	IPR036770	GO:0005515	NA	PS50088;PS50297	SSF48403	NA	G3DSA:1.25.40.20	PF12796	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB39574.1	IPR003695		NA	NA	SSF53067	NA	G3DSA:3.30.420.40;G3DSA:3.30.420.150	PF02541	NA	KEGG: 00230+3.6.1.40	NA	NA	NA	NA	NA	NA	NA
PTB39589.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB43720.1	IPR014895	NA	NA	NA	SSF49899	NA	G3DSA:2.60.120.200	PF08787	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB45431.1	IPR036703	NA	SM01388	NA	SSF101152	NA	G3DSA:1.20.140.30	PF03637	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB44561.1	IPR013121	GO:0016491;GO:0055114	NA	PS51384	SSF52343	cd06186	G3DSA:3.40.50.80	PF08030;PF08022;PF01794	mobidb-lite	NA	NA	NA	NA	NA	NA	SFLDS00052;SFLDG01168	NA
PTB34994.1	IPR036291	NA	NA	NA	SSF51735	NA	G3DSA:3.40.50.720	PF13561	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB46357.1	IPR006254	GO:0004451;GO:0019752;GO:0003824	NA	NA	SSF51621	NA	G3DSA:3.20.20.60;G3DSA:1.10.10.850	PF00463	NA	KEGG: 00630+4.1.3.1|MetaCyc: PWY-6969	PS00161	NA	NA	TIGR01346	PIRSF001362	NA	NA
PTB38259.1	IPR008927	GO:0055114;GO:0004665;GO:0006571;GO:0008977	NA	PS51176	SSF48179;SSF51735	NA	G3DSA:3.40.50.720;G3DSA:1.10.3660.10	PF02153	NA	KEGG: 00400+1.3.1.13	NA	NA	NA	NA	PIRSF036510	NA	NA
PTB46128.1	IPR038427	GO:0003712;GO:0006357;GO:0016592	NA	NA	NA	NA	G3DSA:1.20.58.1600	PF06179	NA	Reactome: R-HSA-1989781|Reactome: R-HSA-381340	NA	Coil	NA	NA	NA	NA	NA
PTB42235.1	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0016020	NA	PS50850	SSF103473	cd17356	G3DSA:1.20.1250.20	PF00083	NA	Reactome: R-HSA-189200	PS00216;PS00217	NA	PR00171	TIGR00879	NA	NA	NA
PTB40977.1	IPR036249	GO:0045454;GO:0016209;GO:0016491;GO:0055114	NA	PS51352	SSF52833	cd03017	G3DSA:3.40.30.10	PF00578	mobidb-lite	KEGG: 00480+1.11.1.15|Reactome: R-HSA-3299685	NA	Coil	NA	NA	NA	NA	NA
PTB43377.1	NA	NA	NA	NA	SSF58022	NA	G3DSA:1.20.5.370	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB38780.1	IPR020683	NA	NA	PS50297	SSF48403	NA	G3DSA:1.25.40.20	PF12796	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB45281.1	IPR009571	GO:0005886	NA	NA	NA	NA	NA	PF06687	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB37903.1	IPR024936	GO:0003755;GO:0000413;GO:0006457	NA	PS50072	SSF50891	NA	G3DSA:2.40.100.10	PF00160	NA	NA	PS00170	NA	PR00153	NA	PIRSF001467	NA	NA
PTB41282.1	IPR002317	GO:0000166;GO:0004828;GO:0005524;GO:0006434;GO:0004812;GO:0006418	NA	PS50862	SSF46589;SSF55681	NA	G3DSA:1.10.287.40;G3DSA:3.30.930.10	PF02403;PF00587	NA	KEGG: 00970+6.1.1.11|MetaCyc: PWY-6281	NA	Coil	PR00981	TIGR00414	PIRSF001529	NA	NA
PTB39641.1	IPR001910	NA	NA	NA	SSF53590	cd02651	G3DSA:3.90.245.10	PF01156	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB40606.1	IPR031315		SM00775	NA	SSF56784	NA	NA	PF04571;PF08235	mobidb-lite	KEGG: 00561+3.1.3.4|KEGG: 00564+3.1.3.4|KEGG: 00565+3.1.3.4|KEGG: 00600+3.1.3.4|MetaCyc: PWY-6453|MetaCyc: PWY-7782|MetaCyc: PWY-8051|MetaCyc: PWY-8052|MetaCyc: PWY-8053|MetaCyc: PWY-8055|Reactome: R-HSA-1483191|Reactome: R-HSA-1483213|Reactome: R-HSA-4419969|Reactome: R-HSA-75109	NA	NA	NA	NA	NA	NA	NA
PTB44829.1	IPR000210	GO:0005515;GO:0006629	NA	PS50097	SSF53474	NA	G3DSA:3.40.50.1820	PF01764	NA	Reactome: R-HSA-426048	NA	NA	NA	NA	NA	NA	NA
PTB35072.1	IPR003480	GO:0016747	NA	NA	NA	NA	G3DSA:3.30.559.10	PF02458	NA	Reactome: R-HSA-389661	NA	NA	NA	NA	NA	NA	NA
PTB41753.1	IPR016181	GO:0008080	NA	PS51186	SSF55729	cd04301	G3DSA:3.40.630.30	PF13673	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB42409.1	IPR011150	GO:0005576;GO:0050525;GO:0016787	SM01110	NA	SSF53474	NA	G3DSA:3.40.50.1820	PF01083	NA	NA	PS00155;PS00931	NA	PR00129	NA	NA	NA	NA
PTB42574.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB39324.1	IPR042097	GO:0006508;GO:0008237;GO:0008270	NA	NA	SSF55486;SSF63737	cd09601	G3DSA:2.60.40.1730;G3DSA:2.60.40.1910;G3DSA:1.25.50.20;G3DSA:1.10.390.60	PF17900;PF11838;PF01433	NA	NA	NA	NA	PR00756	NA	NA	NA	NA
PTB45988.1	IPR009783	NA	NA	NA	SSF54427	NA	G3DSA:3.10.450.50	PF07080	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB41035.1	IPR006797	NA	NA	PS50904	NA	NA	NA	PF04707	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB42781.1	IPR036873	NA	SM00450	PS50206	SSF52821	cd01519	G3DSA:3.40.250.10	PF00581	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB45664.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB39346.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB47195.1	IPR006140	GO:0051287;GO:0055114;GO:0016616	NA	NA	SSF52283;SSF51735	NA	G3DSA:3.40.50.720	PF02826;PF00389	NA	NA	PS00065	NA	NA	NA	NA	NA	NA
PTB46569.1	IPR037191		SM00167	PS51205	SSF109993	NA	G3DSA:1.20.1050.80	PF02204	mobidb-lite	Reactome: R-HSA-8876198	NA	Coil	NA	NA	NA	NA	NA
PTB44309.1	IPR000511	GO:0004408;GO:0005739	NA	NA	NA	NA	NA	PF01265	mobidb-lite	KEGG: 00860+4.4.1.17	PS00822;PS00821	NA	NA	NA	NA	NA	NA
PTB41031.1	IPR023375	GO:0016829	NA	NA	SSF160104	NA	G3DSA:2.40.400.10	PF06314	NA	KEGG: 00072+4.1.1.4|KEGG: 00640+4.1.1.4|MetaCyc: PWY-5451|MetaCyc: PWY-6588|MetaCyc: PWY-6876|MetaCyc: PWY-7466	NA	NA	NA	NA	NA	NA	NA
PTB46789.1	IPR009906	NA	NA	NA	SSF160920	NA	G3DSA:3.30.2040.10;G3DSA:3.40.1640.10	PF07286	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB45657.1	IPR003111	GO:0004252;GO:0006515;GO:0005524;GO:0004176;GO:0006508	SM00464;SM00382	PS51786;PS51787	SSF88697;SSF54211;SSF52540	cd00009	G3DSA:3.30.230.10;G3DSA:2.30.130.40;G3DSA:1.20.58.1480;G3DSA:3.40.50.300;G3DSA:1.10.8.60	PF02190;PF00004;PF05362	mobidb-lite	NA	PS01046	Coil	PR00830	TIGR00763	NA	NA	MF_03120
PTB35854.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SM00906	PS50048	SSF57701	cd12148;cd00067	G3DSA:4.10.240.10	PF04082;PF00172	mobidb-lite	NA	PS00463	NA	NA	NA	NA	NA	NA
PTB36387.1	IPR041675	GO:0005085	SM00325;SM00233;SM00036	PS50010;PS50219	SSF48065;SSF50729	cd00160	G3DSA:1.20.900.10	PF15405;PF00621;PF00780	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB39951.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB35518.1	IPR002637	GO:0009143;GO:0047429	NA	NA	SSF52972	cd00515	G3DSA:3.90.950.10	PF01725	NA	KEGG: 00230+3.6.1.66|Reactome: R-HSA-74259	NA	NA	NA	TIGR00042	NA	NA	MF_03148
PTB46384.1	IPR036259	GO:0055085	NA	PS50850	SSF103473	cd17323	G3DSA:1.20.1250.20	PF07690	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB35654.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB44217.1	IPR025151		NA	NA	NA	NA	NA	PF13934	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA
PTB36823.1	IPR001766	GO:0003700;GO:0006355;GO:0043565;GO:0005515	SM00339	PS50039	SSF46785;SSF49879	cd00060	G3DSA:1.10.10.10	PF00250	mobidb-lite	NA	NA	Coil	PR00053	NA	NA	NA	NA
PTB37138.1	IPR013785	GO:0003824;GO:0004076;GO:0009102;GO:0051536	SM00876;SM00729	NA	SSF102114	cd01335	G3DSA:3.20.20.70	PF06968;PF04055	NA	KEGG: 00780+2.8.1.6|MetaCyc: PWY-7380	NA	NA	NA	TIGR00433	PIRSF001619	SFLDG01278;SFLDF00272	MF_01694
PTB37917.1	IPR019465	GO:0006891;GO:0017119	NA	NA	NA	NA	NA	PF10392	NA	Reactome: R-HSA-6807878|Reactome: R-HSA-6811438|Reactome: R-HSA-6811440	NA	Coil	NA	NA	NA	NA	NA
PTB39375.1	IPR022233		NA	NA	NA	NA	NA	PF12584	mobidb-lite	Reactome: R-HSA-204005|Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	NA	NA
PTB41170.1	IPR036852	GO:0004252;GO:0006508;GO:0008236	SM00944	PS51695	SSF52743;SSF54897	cd04056;cd11377	NA	PF09286	NA	Reactome: R-HSA-381038	NA	NA	NA	NA	NA	NA	NA
PTB41442.1	IPR016169	GO:0016491;GO:0050660;GO:0055114;GO:0003885;GO:0016020;GO:0016899;GO:0071949	NA	PS51387	SSF56176	NA	G3DSA:3.30.465.10;G3DSA:3.30.43.10	PF01565;PF04030	NA	NA	NA	NA	NA	TIGR01678	PIRSF000136	NA	NA
PTB36865.1	IPR016163	GO:0016491;GO:0016620;GO:0055114;GO:0003842;GO:0010133	NA	NA	SSF53720	cd07123	G3DSA:3.40.309.10;G3DSA:3.40.605.10	PF00171	NA	KEGG: 00250+1.2.1.88|KEGG: 00330+1.2.1.88|MetaCyc: PWY-6853|Reactome: R-HSA-389661|Reactome: R-HSA-70688	PS00687;PS00070	Coil	NA	TIGR01236	NA	NA	NA
PTB35453.1	IPR022800		SM01389	NA	SSF63393	cd07973	G3DSA:3.30.40.210	PF06093	NA	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167242|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6807505|Reactome: R-HSA-75955	NA	NA	NA	NA	NA	NA	NA
PTB39361.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB36735.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB46349.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB39963.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PTB40343.1	IPR029058	GO:0004806;GO:0016042	NA	NA	SSF53474	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	PIRSF029171	NA	NA
PTB34979.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SM00066	PS50048	SSF57701	cd00067	G3DSA:4.10.240.10	PF00172	mobidb-lite	NA	PS00463	NA	NA	NA	NA	NA	NA
PTB42013.1	IPR036188	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	NA	SSF51905	NA	G3DSA:3.50.50.60	PF13450;PF00743	NA	NA	NA	NA	PR00419	NA	PIRSF000332	NA	NA
PTB45151.1	IPR000873	GO:0003824	NA	NA	SSF56801	cd05911	G3DSA:2.30.38.10;G3DSA:3.40.50.980;G3DSA:3.30.300.310	PF00501;PF13193	NA	NA	PS00455	NA	NA	NA	NA	NA	NA
PTB35028.1	IPR005829	GO:0016021;GO:0022857;GO:0055085;GO:0016020	NA	PS50850	SSF103473	cd17356	G3DSA:1.20.1250.20	PF00083	NA	Reactome: R-HSA-189200	PS00217	NA	PR00171	NA	NA	NA	NA
PTB42340.1	IPR036962	GO:0004553;GO:0005975	SM01217	NA	SSF52279;SSF51445	NA	G3DSA:3.20.20.300;G3DSA:2.60.40.10;G3DSA:3.40.50.1700	PF00933;PF01915;PF14310	NA	NA	NA	NA	PR00133	NA	NA	NA	NA
PTB34900.1	IPR007400	NA	NA	NA	SSF54506	NA	G3DSA:3.10.310.10	PF04303	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB37178.1	IPR011058	NA	SM01111	NA	SSF51322	NA	G3DSA:2.30.60.10	PF08881	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB44569.1	IPR000164	GO:0000786;GO:0003677;GO:0046982	SM00428	NA	SSF47113	NA	G3DSA:1.10.20.10	PF00125	NA	NA	NA	NA	PR00622	NA	NA	NA	NA
PTB43225.1	IPR019165	GO:0004222	NA	NA	NA	NA	NA	PF09768	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB41075.1	IPR002575	NA	NA	NA	SSF56112	NA	NA	PF01636	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB46435.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB39212.1	IPR007873	GO:0000030;GO:0030176	NA	NA	NA	NA	NA	PF05208	NA	KEGG: 00510+2.4.1.258|KEGG: 00513+2.4.1.258|Reactome: R-HSA-446193|Reactome: R-HSA-4720475	NA	NA	NA	NA	NA	NA	NA
PTB34775.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB35787.1	IPR001279	NA	SM00849	NA	SSF56281	NA	G3DSA:3.60.15.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB46681.1	IPR002355	GO:0005507;GO:0055114;GO:0016491	NA	NA	SSF49503	cd13886;cd13910;cd13857	G3DSA:2.60.40.420	PF00394;PF07732;PF07731	mobidb-lite	NA	PS00080;PS00079	NA	NA	NA	NA	NA	NA
PTB46025.1	IPR001002	GO:0008061;GO:0005975;GO:0016810;GO:0003824	SM00270	PS50941;PS51677	SSF57016;SSF88713	cd11618;cd00035;cd10951	G3DSA:3.20.20.370;G3DSA:3.30.60.10	PF01522	mobidb-lite	NA	PS00026	NA	NA	NA	NA	NA	NA
PTB38811.1	IPR036374	GO:0042128;GO:0016491;GO:0030151;GO:0055114	NA	NA	SSF81296;SSF56524	cd02110	G3DSA:2.60.40.650;G3DSA:3.90.420.10	PF03404;PF00174	NA	Reactome: R-HSA-1614517	NA	NA	PR00407	NA	NA	NA	NA
PTB43537.1	IPR028162	GO:0006779;GO:0019354;GO:0055114	NA	NA	SSF51735;SSF75615	NA	G3DSA:3.40.50.720;G3DSA:1.10.3280.10	PF14823;PF14824;PF13241	NA	KEGG: 00860+4.99.1.4+1.3.1.76|MetaCyc: PWY-5194|MetaCyc: PWY-5196|MetaCyc: PWY-7377	NA	NA	NA	TIGR01470	NA	NA	NA
PTB40225.1	IPR001623	NA	SM00271	PS50076	SSF46565	cd06257	G3DSA:1.10.287.110	PF00226;PF09320	mobidb-lite	NA	NA	NA	PR00625	NA	NA	NA	NA
PTB41416.1	IPR036940	GO:0016301;GO:0004674;GO:0005515	SM01342;SM00146;SM01343	PS51189;PS51190;PS50290	SSF56112	cd05171	G3DSA:1.10.1070.11;G3DSA:3.30.1010.10	PF02259;PF11640;PF02260;PF00454	mobidb-lite	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-2559586|Reactome: R-HSA-3371453|Reactome: R-HSA-349425|Reactome: R-HSA-5685938|Reactome: R-HSA-5685942|Reactome: R-HSA-5693548|Reactome: R-HSA-5693554|Reactome: R-HSA-5693565|Reactome: R-HSA-5693568|Reactome: R-HSA-5693571|Reactome: R-HSA-5693579|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6796648|Reactome: R-HSA-6803204|Reactome: R-HSA-6803207|Reactome: R-HSA-6804756|Reactome: R-HSA-6804757|Reactome: R-HSA-6804760|Reactome: R-HSA-69473|Reactome: R-HSA-69541|Reactome: R-HSA-912446	PS00915;PS00916	Coil	NA	NA	NA	NA	NA
PTB43455.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB41208.1	NA	NA	NA	NA	SSF52047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB44892.1	IPR012292	GO:0019825;GO:0020037;GO:0016491;GO:0055114	NA	PS51384;PS01033	SSF52343;SSF46458;SSF63380	cd06184;cd08922	G3DSA:2.40.30.10;G3DSA:1.10.490.10;G3DSA:3.40.50.80	PF00175;PF00042;PF00970	NA	Reactome: R-HSA-1237044	NA	NA	PR00371	NA	NA	NA	NA
PTB40270.1	IPR036259	GO:0055085	NA	NA	SSF103473	cd17354	NA	PF07690	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB35544.1	IPR004838	GO:0003824;GO:0009058;GO:0030170	NA	NA	SSF53383	cd00609	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	PF00155	NA	NA	PS00105	Coil	NA	NA	NA	NA	NA
PTB37799.1	IPR003734	NA	NA	NA	NA	NA	NA	PF02582	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
