Gene	MobiDBLite	interpro	SMART	GO	PRINTS	Gene3D	CDD	ProSitePatterns	ProSiteProfiles	SUPERFAMILY	Pfam	Coils	PIRSF	PATHWAY	Hamap	TIGRFAM	SFLD
EGR47584.1	mobidb-lite	IPR010816	NA	NA	NA	NA	NA	NA	NA	NA	PF07217	Coil	NA	NA	NA	NA	NA
EGR47143.1	NA	IPR001128	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	G3DSA:1.10.630.10	NA	NA	NA	SSF48264	PF00067	NA	NA	NA	NA	NA	NA
EGR52217.1	mobidb-lite	IPR029035	NA	GO:0070403	NA	G3DSA:3.30.1600.10;G3DSA:3.40.50.1220	NA	NA	PS50305	SSF52467	PF02146	Coil	NA	NA	NA	NA	NA
EGR47618.1	mobidb-lite	IPR002500	NA	GO:0003824	NA	G3DSA:3.40.50.620	cd01713	NA	NA	SSF52402	PF01507	NA	NA	Reactome: R-HSA-196843	NA	NA	NA
EGR48768.1	NA	IPR002347	NA	GO:0016491	PR00081;PR00080	G3DSA:3.40.50.720	NA	PS00061	NA	SSF51735	PF00106	NA	NA	NA	NA	NA	NA
EGR46254.1	NA	IPR036259	NA	GO:0016020;GO:0022857;GO:0055085;GO:0016021	PR00171	G3DSA:1.20.1250.20	cd17356	PS00216;PS00217	PS50850	SSF103473	PF00083	NA	NA	Reactome: R-HSA-189200	NA	TIGR00879	NA
EGR45691.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR47604.1	mobidb-lite	IPR007109	SM00879	NA	NA	NA	NA	NA	PS50833	NA	PF04427	NA	NA	NA	NA	NA	NA
EGR49254.1	NA	IPR004853	NA	NA	NA	NA	NA	NA	NA	NA	PF03151	NA	NA	NA	NA	NA	NA
EGR49259.1	mobidb-lite	IPR004015	NA	GO:0000398;GO:0005681	NA	NA	NA	NA	NA	NA	PF02731	Coil	NA	Reactome: R-HSA-1912408|Reactome: R-HSA-210744|Reactome: R-HSA-2122947|Reactome: R-HSA-2173796|Reactome: R-HSA-2644606|Reactome: R-HSA-2894862|Reactome: R-HSA-350054|Reactome: R-HSA-72163|Reactome: R-HSA-8941856|Reactome: R-HSA-9013508|Reactome: R-HSA-9013695	NA	NA	NA
EGR52197.1	NA	IPR027267	NA	NA	NA	G3DSA:1.20.1270.60	NA	NA	NA	NA	PF13805	Coil	NA	NA	NA	NA	NA
EGR44911.1	mobidb-lite	IPR036236	SM01253	GO:0003676	NA	G3DSA:1.10.10.2030	NA	PS00028	NA	SSF57667	PF10357;PF12874	NA	NA	Reactome: R-HSA-8876725	NA	NA	NA
EGR50995.1	NA	IPR006073	NA	GO:0005525	NA	G3DSA:3.40.50.300	cd00882	NA	NA	SSF52540	PF01926	Coil	NA	NA	NA	NA	NA
EGR51967.1	mobidb-lite	IPR036028	NA	GO:0005515	NA	G3DSA:2.30.30.40	NA	NA	NA	SSF81995;SSF50044	PF14604	NA	NA	NA	NA	NA	NA
EGR50371.1	NA	IPR001365	NA	GO:0019239	NA	G3DSA:3.20.20.140	NA	NA	NA	SSF51556	PF00962	NA	NA	Reactome: R-HSA-74217	NA	NA	NA
EGR52747.1	mobidb-lite	IPR013861	SM01160	GO:0006890;GO:0016021	NA	NA	NA	NA	NA	SSF144091	PF08551	NA	NA	Reactome: R-HSA-6807878	NA	NA	NA
EGR50596.1	mobidb-lite	IPR010754	NA	NA	NA	NA	NA	NA	NA	NA	PF07047	Coil	NA	NA	NA	NA	NA
EGR46260.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49520.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46313.1	NA	IPR000608	SM00212	GO:0005515	NA	G3DSA:3.10.110.10	cd00195	PS00183	PS50127	SSF46934;SSF54495	PF00179;PF09288	NA	NA	Reactome: R-HSA-983168	NA	NA	NA
EGR52162.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
EGR45864.1	mobidb-lite	IPR006575	SM00591	GO:0005515	NA	G3DSA:3.10.110.10	NA	NA	PS50908	SSF54495	PF05773	Coil	NA	NA	NA	NA	NA
EGR44763.1	NA	IPR016087	NA	GO:0016872	NA	NA	NA	NA	NA	SSF54626	PF16035	NA	NA	NA	NA	NA	NA
EGR49891.1	mobidb-lite	IPR001138	SM00066	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	G3DSA:4.10.240.10	cd00067	PS00463	PS50048	SSF57701	PF00172	NA	NA	NA	NA	NA	NA
EGR44961.1	NA	IPR002685	NA	GO:0000030;GO:0006486;GO:0016020	NA	G3DSA:3.90.550.10	NA	NA	NA	SSF53448	PF01793	NA	PIRSF018153	NA	NA	NA	NA
EGR46207.1	NA	IPR036264	NA	GO:0016787;GO:0006508;GO:0008237;GO:0004181	NA	G3DSA:3.40.630.10;G3DSA:3.30.70.360	cd05674	PS00758	NA	SSF55031;SSF53187	PF01546;PF07687	NA	PIRSF037217	NA	NA	NA	NA
EGR46836.1	mobidb-lite	IPR011989	NA	NA	NA	G3DSA:1.25.10.10	NA	NA	NA	SSF81995;SSF48371	PF04078	Coil	NA	NA	NA	NA	NA
EGR49821.1	NA	IPR005103	NA		NA	G3DSA:2.70.50.70	NA	NA	NA	NA	PF03443	NA	NA	KEGG: 00500+3.2.1.4|MetaCyc: PWY-6788	NA	NA	NA
EGR53026.1	NA	IPR006094	NA	GO:0016491;GO:0050660;GO:0055114;GO:0071949	NA	G3DSA:3.30.465.50;G3DSA:3.30.465.40	NA	NA	PS51387	SSF56176	PF01565;PF08031	NA	NA	NA	NA	NA	NA
EGR52994.1	mobidb-lite	IPR000571	NA	GO:0046872	NA	NA	NA	NA	PS50103	NA	NA	Coil	NA	NA	NA	NA	NA
EGR47333.1	mobidb-lite	IPR000073	NA	NA	NA	NA	NA	NA	NA	SSF53474	PF12697	NA	NA	NA	NA	NA	NA
EGR48195.1	mobidb-lite	IPR020846	NA	GO:0016020;GO:0022857;GO:0055085;GO:0016021	PR00171	G3DSA:1.20.1250.20	cd17356	PS00217	PS50850	SSF103473	PF00083	NA	NA	Reactome: R-HSA-189200	NA	TIGR00879	NA
EGR50579.1	mobidb-lite	IPR011009	NA	NA	NA	G3DSA:3.30.200.20;G3DSA:3.90.1200.10	cd05157	NA	NA	SSF56112	PF01633	Coil	NA	NA	NA	NA	NA
EGR50875.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
EGR52084.1	NA	IPR006789	NA	GO:0005885;GO:0015629;GO:0030833;GO:0034314	NA	NA	NA	NA	NA	SSF69103	PF04699	NA	PIRSF039096	NA	NA	NA	NA
EGR46087.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR52467.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
EGR52304.1	mobidb-lite	IPR007741	NA	NA	NA	NA	NA	NA	NA	SSF52833	PF05047	Coil	NA	NA	NA	NA	NA
EGR51400.1	mobidb-lite	IPR000504	SM00360	GO:0003676	NA	G3DSA:3.30.70.330	cd12611;cd12346;cd12613	NA	PS50102	SSF54928	PF00076	NA	NA	NA	NA	NA	NA
EGR46446.1	NA	IPR020904	NA	GO:0016491	PR00080;PR00081	G3DSA:3.40.50.720	NA	PS00061	NA	SSF51735	PF13561	NA	NA	NA	NA	NA	NA
EGR50714.1	NA	IPR015422	NA	GO:0003824;GO:0019346;GO:0030170	NA	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	PS00868	NA	SSF53383	PF01053	Coil	PIRSF001434	Reactome: R-HSA-1614558|Reactome: R-HSA-1614603|Reactome: R-HSA-2408508	NA	NA	NA
EGR51465.1	NA	IPR014729	NA	GO:0004055;GO:0005524;GO:0006526	NA	G3DSA:3.40.50.620;G3DSA:3.90.1260.10	cd01999	PS00564;PS00565	NA	SSF52402;SSF69864	PF00764	NA	NA	KEGG: 00220+6.3.4.5|KEGG: 00250+6.3.4.5|MetaCyc: PWY-4983|MetaCyc: PWY-4984|MetaCyc: PWY-5|MetaCyc: PWY-5154|MetaCyc: PWY-7400|Reactome: R-HSA-70635	MF_00005	TIGR00032	NA
EGR50968.1	NA	IPR024316	NA	NA	NA	NA	NA	NA	NA	NA	PF12716	NA	NA	NA	NA	NA	NA
EGR51839.1	NA	IPR000086	NA	GO:0016787	NA	G3DSA:3.30.750.160;G3DSA:3.90.79.10	cd03676	NA	PS51462	SSF55811	PF00293;PF15916	NA	NA	NA	NA	NA	NA
EGR50606.1	mobidb-lite	IPR003008	SM00864;SM00865	GO:0003924;GO:0005874;GO:0007017;GO:0005525;GO:0000930;GO:0007020;GO:0031122	PR01161;PR01164	G3DSA:3.30.1330.20;G3DSA:1.10.287.600;G3DSA:3.40.50.1440	cd02188	PS00227	NA	SSF55307;SSF52490	PF00091;PF03953	Coil	NA	Reactome: R-HSA-380320	NA	NA	NA
EGR47371.1	NA	IPR026891	SM01217	GO:0004553;GO:0005975	PR00133	G3DSA:3.40.50.1700;G3DSA:3.20.20.300;G3DSA:2.60.40.10	NA	NA	PS51820	SSF51445;SSF52279	PF14310;PF01915;PF07691;PF00933	NA	NA	NA	NA	NA	NA
EGR51345.1	mobidb-lite	IPR009057	SM00674	GO:0003677	NA	G3DSA:1.10.10.60	NA	NA	PS51253	SSF46689	PF18107;PF03221	Coil	NA	NA	NA	NA	NA
EGR51796.1	mobidb-lite	IPR011009	SM00220	GO:0004672;GO:0005524;GO:0006468	NA	G3DSA:1.10.510.10	NA	NA	PS50011	SSF56112	PF00069	NA	NA	NA	NA	NA	NA
EGR49733.1	NA	IPR001138	SM00066	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	G3DSA:4.10.240.10	cd00067	PS00463	PS50048	SSF57701	PF00172	Coil	NA	NA	NA	NA	NA
EGR47100.1	NA	IPR020841	SM00825;SM00826;SM00827;SM00822;SM00829	GO:0003824;GO:0055114;GO:0016740;GO:0016491	NA	G3DSA:3.40.47.10;G3DSA:3.40.50.720;G3DSA:3.10.129.110;G3DSA:3.90.180.10;G3DSA:3.40.366.10	cd05195;cd05274;cd00833	PS00606	PS50075	SSF52151;SSF47336;SSF51735;SSF55048;SSF50129;SSF53901	PF02801;PF00107;PF08659;PF16197;PF14765;PF00550;PF00109;PF00698	Coil	NA	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	NA	NA	NA
EGR47256.1	mobidb-lite	IPR008775	NA	NA	NA	G3DSA:2.60.120.620;G3DSA:3.40.50.150	NA	NA	PS51560	SSF51197;SSF53335	PF05721;PF10294	NA	NA	NA	MF_03223	NA	NA
EGR45261.1	NA	IPR016024	NA		NA	NA	NA	NA	NA	SSF48371	PF16547;PF11919;PF16507	NA	NA	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-983168	NA	NA	NA
EGR48126.1	NA	IPR010730	NA	NA	NA	NA	NA	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA
EGR48725.1	NA	IPR015943	NA	GO:0005515	NA	G3DSA:2.130.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48677.1	mobidb-lite	IPR007194	NA	GO:0043087;GO:0048193	NA	G3DSA:3.30.1380.20	cd14944	NA	NA	SSF111126	PF04051	NA	NA	Reactome: R-HSA-204005|Reactome: R-HSA-8876198	NA	NA	NA
EGR45929.1	mobidb-lite	IPR001766	SM00339	GO:0003700;GO:0006355;GO:0043565;GO:0005515	PR00053	G3DSA:2.60.200.20;G3DSA:1.10.10.10	cd00060	NA	PS50006;PS50039	SSF49879;SSF46785	PF00250	Coil	NA	NA	NA	NA	NA
EGR51752.1	NA	IPR009571	NA	GO:0005886	NA	NA	NA	NA	NA	NA	PF06687	Coil	NA	NA	NA	NA	NA
EGR46531.1	NA	IPR014710	NA		NA	G3DSA:2.60.120.10	NA	NA	NA	SSF51182	PF02678	NA	NA	Reactome: R-HSA-8935690	NA	NA	NA
EGR48130.1	mobidb-lite	IPR036890	SM00853	GO:0005524;GO:0006298	NA	G3DSA:3.30.565.10;G3DSA:3.30.1370.100;G3DSA:2.30.42.20	cd16926	NA	NA	SSF55874;SSF118116	PF08676;PF13589	NA	NA	NA	NA	NA	NA
EGR51112.1	NA	IPR027417	SM00490;SM00487	GO:0005524	NA	G3DSA:3.40.50.10810	cd18793;cd18008	PS00518	PS50089;PS51192;PS51194	SSF52540	PF00176;PF00271	NA	NA	NA	NA	NA	NA
EGR52576.1	mobidb-lite	IPR001394	SM00290	GO:0016579;GO:0036459;GO:0008270;GO:0000245;GO:0006397	NA	G3DSA:3.30.40.10;G3DSA:3.90.70.10	cd02669	NA	PS50271;PS50235	SSF57850;SSF54001	PF00443;PF02148	NA	NA	Reactome: R-HSA-72163	NA	NA	NA
EGR46665.1	NA	IPR005336	NA	GO:0005743;GO:0006850	NA	NA	NA	NA	NA	NA	PF03650	NA	NA	NA	NA	NA	NA
EGR46199.1	NA	IPR000719	SM00220	GO:0004672;GO:0005524;GO:0006468	NA	G3DSA:3.30.200.20;G3DSA:1.10.510.10	cd14132	NA	PS50011	SSF56112	PF00069	NA	NA	NA	NA	NA	NA
EGR46767.1	mobidb-lite	NA	NA	NA	NA	NA	cd13214	NA	NA	SSF50729	NA	NA	NA	NA	NA	NA	NA
EGR44161.1	NA	IPR002347	NA	NA	PR00081	G3DSA:3.40.50.720	cd05233	NA	NA	SSF51735	PF00106	NA	NA	NA	NA	NA	NA
EGR47469.1	NA	IPR002320	NA	GO:0004829;GO:0005524;GO:0005737;GO:0006435;GO:0000166;GO:0004812;GO:0006418	PR01047	G3DSA:3.30.930.10;G3DSA:3.40.50.800	cd00771	NA	PS50862	SSF55681;SSF52954	PF00587;PF03129	NA	NA	KEGG: 00970+6.1.1.3	NA	TIGR00418	NA
EGR53043.1	NA	IPR029058	NA	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
EGR45415.1	NA	IPR004254	NA	GO:0016021	NA	NA	NA	NA	NA	NA	PF03006	NA	NA	NA	NA	NA	NA
EGR49116.1	mobidb-lite	IPR002934	NA	GO:0016779	NA	G3DSA:3.30.460.10;G3DSA:1.10.1410.10	cd05402	NA	NA	SSF81301;SSF81631	PF01909;PF03828	NA	NA	NA	NA	NA	NA
EGR51337.1	NA	IPR007568	NA	GO:0016021	NA	NA	NA	NA	NA	NA	PF04479	NA	NA	NA	NA	NA	NA
EGR44531.1	NA	IPR001138	SM00066	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	G3DSA:4.10.240.10	cd00067;cd12148	PS00463	PS50048	SSF57701	PF00172	NA	NA	NA	NA	NA	NA
EGR49722.1	mobidb-lite	IPR036259	NA	GO:0055085	NA	G3DSA:1.20.1250.20	cd17323	NA	NA	SSF103473	PF07690	NA	NA	NA	NA	NA	NA
EGR47817.1	mobidb-lite	IPR013096	NA	NA	NA	G3DSA:2.60.120.10	NA	NA	NA	SSF51182	PF07883	NA	NA	NA	NA	NA	NA
EGR48452.1	NA	IPR008253	NA	GO:0016020	NA	NA	NA	NA	NA	NA	PF01284	NA	NA	NA	NA	NA	NA
EGR52287.1	mobidb-lite	IPR019310	NA	GO:0006364	NA	NA	NA	NA	NA	NA	PF10153	Coil	NA	NA	NA	NA	NA
EGR51606.1	NA	IPR036188	NA	NA	PR00411	G3DSA:3.50.50.60	NA	NA	NA	SSF51735;SSF51905	PF13738	NA	NA	NA	NA	NA	NA
EGR46969.1	NA	IPR001279	NA	NA	NA	NA	NA	NA	NA	SSF56281	PF00753	NA	NA	NA	NA	NA	NA
EGR50893.1	mobidb-lite	IPR006876	NA	NA	NA	NA	NA	NA	NA	NA	PF04791	Coil	NA	NA	NA	NA	NA
EGR44755.1	mobidb-lite	IPR027267	SM00721	GO:0005515;GO:0005737	NA	G3DSA:1.20.1270.60	NA	NA	PS51021	SSF103657	PF03114	Coil	NA	NA	NA	NA	NA
EGR52448.1	mobidb-lite	IPR036770	NA	GO:0004252;GO:0006508	NA	G3DSA:1.25.40.20	NA	NA	NA	SSF52743	PF00082	NA	NA	NA	NA	NA	NA
EGR53075.1	mobidb-lite	IPR007599	NA		NA	NA	NA	NA	NA	SSF144091	PF04511	NA	NA	Reactome: R-HSA-382556|Reactome: R-HSA-5678895	NA	NA	NA
EGR46542.1	NA	IPR038765	NA	GO:0004843;GO:0006511	PR00707	G3DSA:3.40.532.10	cd09616	PS00140	NA	SSF54001	PF01088	NA	NA	Reactome: R-HSA-5689603	NA	NA	NA
EGR51227.1	mobidb-lite	IPR002078	NA	GO:0005524;GO:0006355;GO:0008134	NA	NA	NA	NA	PS50045	SSF55961	PF11274	Coil	NA	NA	NA	NA	NA
EGR47744.1	NA	IPR031884	NA	GO:0000774;GO:0005783	NA	G3DSA:1.25.10.10	NA	NA	NA	NA	PF16782	Coil	NA	NA	NA	NA	NA
EGR52789.1	mobidb-lite	IPR033923	SM00285;SM00220;SM00233	GO:0004674;GO:0004672;GO:0005524;GO:0006468	NA	G3DSA:3.90.810.10;G3DSA:3.30.200.20;G3DSA:2.30.29.30;G3DSA:1.10.510.10	cd01093;cd13279;cd06614	PS00108	PS50003;PS50108;PS50011	SSF56112;SSF50729	PF00786;PF00069	Coil	NA	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-428540	NA	NA	NA
EGR51553.1	NA	IPR036291	NA	NA	PR00081	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	PF00106	NA	NA	NA	NA	NA	NA
EGR50940.1	mobidb-lite	IPR036427	SM00297;SM00490;SM01314;SM00487;SM00951	GO:0005515;GO:0005524;GO:0005634;GO:0006355;GO:0042393	PR00503	G3DSA:1.20.920.10;G3DSA:3.40.50.10810;G3DSA:1.20.5.170;G3DSA:3.40.50.300	cd18793;cd17996	NA	PS50014;PS51666;PS51204;PS51194;PS51192	SSF47370;SSF52540	PF00176;PF08880;PF00271;PF00439;PF07529;PF14619	Coil	NA	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	NA	NA	NA
EGR45313.1	NA	IPR018306	SM00974	NA	NA	NA	NA	NA	NA	NA	PF10544	NA	NA	NA	NA	NA	NA
EGR45990.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
EGR46722.1	NA	IPR026893	NA	GO:0004725;GO:0016311;GO:0016791	NA	G3DSA:3.90.190.10	cd14529	PS00383	PS50056	SSF52799	PF13350	NA	NA	NA	NA	NA	NA
EGR48933.1	mobidb-lite	IPR036738	SM01343;SM01345;SM00146;SM01346	GO:0044877;GO:0005515;GO:0016301	NA	G3DSA:1.20.120.150;G3DSA:1.25.10.10;G3DSA:3.30.1010.10;G3DSA:1.10.1070.11	cd05169	PS00915	PS51189;PS50290;PS51190	SSF48371;SSF47212;SSF56112	PF02259;PF08771;PF02260;PF02985;PF11865;PF00454	Coil	NA	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-1257604|Reactome: R-HSA-1632852|Reactome: R-HSA-165159|Reactome: R-HSA-166208|Reactome: R-HSA-3371571|Reactome: R-HSA-380972|Reactome: R-HSA-389357|Reactome: R-HSA-5218920|Reactome: R-HSA-5628897|Reactome: R-HSA-5674400|Reactome: R-HSA-6804757|Reactome: R-HSA-8943724|Reactome: R-HSA-9639288	NA	NA	NA
EGR50134.1	mobidb-lite	IPR036770	SM00248	GO:0005515	NA	G3DSA:1.25.40.20	NA	NA	PS50297;PS50088	SSF48403	PF12796	NA	NA	NA	NA	NA	NA
EGR44882.1	NA	IPR002401	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PR00463;PR00385	G3DSA:1.10.630.10	NA	PS00086	NA	SSF48264	PF00067	NA	NA	NA	NA	NA	NA
EGR48694.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46096.1	mobidb-lite	IPR003439	SM00382	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	NA	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	cd18578;cd18577	PS00211	PS50893;PS50929	SSF90123;SSF52540	PF00005;PF00664	NA	NA	NA	NA	NA	NA
EGR47940.1	mobidb-lite	IPR006153	NA	GO:0006812;GO:0015299;GO:0016021;GO:0055085	NA	NA	NA	NA	NA	NA	PF00999	NA	NA	NA	NA	NA	NA
EGR45854.1	mobidb-lite	IPR003593	SM00382	GO:0016020;GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	NA	G3DSA:3.40.50.300	cd03233	PS00211	PS50893	SSF52540	PF01061;PF00005;PF06422	Coil	NA	Reactome: R-HSA-1369062	NA	NA	NA
EGR49013.1	NA	IPR016509	NA	GO:0000753;GO:0016020;GO:0032220	NA	NA	NA	NA	NA	NA	PF12351	NA	PIRSF007138	NA	NA	NA	NA
EGR51659.1	mobidb-lite	IPR003892	SM00546	GO:0005515	NA	G3DSA:1.10.8.10	cd14424	NA	PS51140	SSF46934	PF02845	NA	NA	NA	NA	NA	NA
EGR50222.1	NA	IPR001567	NA	GO:0004222;GO:0006508	NA	NA	cd06457	NA	NA	SSF55486	PF01432	Coil	NA	NA	NA	NA	NA
EGR52044.1	NA	NA	NA	NA	NA	G3DSA:3.40.50.2000	cd03816	NA	NA	SSF53756	NA	NA	NA	NA	NA	NA	NA
EGR52786.1	mobidb-lite	IPR011990	SM00028	GO:0005515	NA	G3DSA:1.25.40.10	NA	NA	PS50293;PS50005	SSF48452	PF13181;PF13174;PF13374	Coil	NA	NA	NA	NA	NA
EGR45287.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51090.1	mobidb-lite	IPR019258	NA	GO:0003712;GO:0006357;GO:0016592	NA	NA	NA	NA	NA	NA	PF10018	Coil	NA	Reactome: R-HSA-1989781|Reactome: R-HSA-212436|Reactome: R-HSA-381340	NA	NA	NA
EGR51877.1	NA	IPR004648	NA	GO:0055085	NA	NA	NA	NA	NA	NA	PF03169	NA	NA	NA	NA	TIGR00727;TIGR00728	NA
EGR49962.1	NA	IPR036249	NA	NA	NA	NA	NA	NA	NA	SSF52833	PF06764	NA	NA	NA	NA	NA	NA
EGR45574.1	mobidb-lite	IPR005828	NA	GO:0016021;GO:0022857;GO:0055085;GO:0016020	PR00171	G3DSA:1.20.1250.20	cd17356	PS00216;PS00217	PS50850	SSF103473	PF00083	NA	NA	Reactome: R-HSA-189200	NA	TIGR00879	NA
EGR48146.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51722.1	NA	IPR001806	SM00176;SM00175;SM00173;SM00174	GO:0003924;GO:0005525;GO:0007165;GO:0016020	PR00449	G3DSA:3.40.50.300	cd04138	NA	PS51421	SSF52540	PF00071	NA	NA	NA	NA	TIGR00231	NA
EGR49218.1	mobidb-lite	IPR001382	NA	GO:0004571;GO:0005509;GO:0016020;GO:0003824	PR00747	G3DSA:1.50.10.10	NA	NA	NA	SSF48225	PF01532	NA	NA	NA	NA	NA	NA
EGR51190.1	mobidb-lite	IPR029058	NA	GO:0006482;GO:0051723	NA	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	PF12697	NA	PIRSF022950	Reactome: R-HSA-69273	NA	NA	NA
EGR48235.1	NA	IPR001179	NA	GO:0003755	NA	G3DSA:3.10.50.40	NA	NA	PS50059	SSF54534	PF00254	NA	NA	NA	NA	NA	NA
EGR47165.1	mobidb-lite	IPR018325	SM00460		NA	G3DSA:3.10.620.30;G3DSA:2.20.25.10	NA	NA	NA	SSF54001	PF03835	Coil	NA	Reactome: R-HSA-3108214|Reactome: R-HSA-5696394|Reactome: R-HSA-5696395	NA	NA	NA
EGR52408.1	mobidb-lite	IPR000719	SM00220	GO:0004672;GO:0005524;GO:0006468	NA	G3DSA:3.30.200.20;G3DSA:1.10.510.10	cd14135	PS00108;PS00107	PS50011	SSF56112	PF00069	NA	NA	NA	NA	NA	NA
EGR52318.1	mobidb-lite	IPR001313	SM00025	GO:0003723	NA	G3DSA:1.25.10.10	cd07920	NA	PS50302;PS50303	SSF48371	PF00806	Coil	NA	NA	NA	NA	NA
EGR45412.1	NA	IPR010730	NA	NA	NA	NA	NA	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA
EGR51269.1	NA	IPR019163	NA		NA	NA	NA	NA	NA	NA	PF09766	Coil	NA	Reactome: R-HSA-159236|Reactome: R-HSA-72187|Reactome: R-HSA-73856	NA	NA	NA
EGR44275.1	NA	IPR012404	NA	GO:0016021;GO:0000139;GO:0015165;GO:0090481	NA	NA	NA	NA	NA	SSF103481	PF04142	NA	PIRSF036436	NA	NA	NA	NA
EGR52094.1	NA	IPR008254	NA	GO:0010181;GO:0003824;GO:0016491;GO:0055114;GO:0004783;GO:0008652;GO:0009337;GO:0050661;GO:0051539;GO:0020037;GO:0051536	PR00369;PR00397	G3DSA:3.40.50.920;G3DSA:3.40.50.360;G3DSA:3.30.413.10;G3DSA:3.40.50.970;G3DSA:3.90.480.10	cd07034	PS00365	PS50902	SSF52518;SSF55124;SSF52922;SSF56014;SSF52218	PF00258;PF01077;PF01855;PF03460	NA	NA	KEGG: 00920+1.8.1.2|MetaCyc: PWY-6683	MF_01540	NA	NA
