Gene	interpro	GO	Pfam	SUPERFAMILY	Gene3D	ProSitePatterns	MobiDBLite	ProSiteProfiles	Coils	PRINTS	PATHWAY	CDD	Hamap	SMART	TIGRFAM	PIRSF	SFLD
RFU77702.1	IPR034904	NA	PF01883	SSF117916	G3DSA:3.30.300.130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80941.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72901.1	IPR020846	GO:0055085	PF07690	SSF103473	G3DSA:1.20.1250.20	NA	NA	PS50850	NA	NA	NA	cd17323	NA	NA	NA	NA	NA
RFU76857.1	IPR005052	GO:0016020	PF03388	SSF49899	G3DSA:2.60.120.200	NA	mobidb-lite	PS51328	Coil	NA	Reactome: R-HSA-204005|Reactome: R-HSA-5694530	cd06903	NA	NA	NA	NA	NA
RFU78142.1	IPR008914	NA	PF01161	SSF49777	G3DSA:3.90.280.10	NA	NA	NA	NA	NA	NA	cd00457	NA	NA	NA	NA	NA
RFU79751.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74803.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76299.1	IPR032466	GO:0016787;GO:0016810	PF01979	SSF51556;SSF51338	G3DSA:3.20.20.140;G3DSA:2.30.40.10	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74709.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF04082;PF00172	SSF57701	G3DSA:4.10.240.10	PS00463	mobidb-lite	PS50048	NA	NA	NA	cd12148;cd00067	NA	SM00066;SM00906	NA	NA	NA
RFU72436.1	IPR020915	NA	PF11578	NA	G3DSA:2.40.160.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73825.1	IPR016166	GO:0071949;GO:0050660;GO:0016491;GO:0055114	PF01565	SSF56176	G3DSA:3.30.465.40;G3DSA:3.40.462.20	NA	NA	PS51387	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75856.1	IPR035979	GO:0003676	PF00076	SSF54928	G3DSA:3.30.70.330	NA	mobidb-lite	PS50102	Coil	NA	NA	NA	NA	SM00360	NA	NA	NA
RFU73738.1	IPR002562	GO:0003676;GO:0006139;GO:0008408	PF01612	SSF53098	G3DSA:3.30.420.10	NA	mobidb-lite	NA	Coil	NA	NA	cd06141	NA	SM00474	NA	NA	NA
RFU74754.1	IPR036318	GO:0050660;GO:0071949;GO:0016491;GO:0055114	PF01565;PF08031	SSF56176	G3DSA:3.40.462.20;G3DSA:3.30.465.50;G3DSA:3.30.465.40	NA	NA	PS51387	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81117.1	IPR013149	GO:0055114;GO:0016491	PF00107;PF08240	SSF50129;SSF51735	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	cd08276	NA	SM00829	NA	NA	NA
RFU75143.1	IPR013724	NA	PF08518	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	SM00555	NA	NA	NA
RFU76858.1	IPR004856	GO:0005789;GO:0016758	PF03155	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-446193	NA	NA	NA	NA	NA	NA
RFU79554.1	IPR012988	GO:0000463;GO:0003735;GO:0022625	PF08079;PF00327	SSF55129	G3DSA:1.10.15.30;G3DSA:3.30.1390.20	NA	NA	NA	Coil	NA	NA	cd01657	NA	NA	TIGR01310	NA	NA
RFU81159.1	IPR023271	GO:0015267;GO:0016020;GO:0055085	PF00230	SSF81338	G3DSA:1.20.1080.10	NA	mobidb-lite	NA	NA	PR00783	Reactome: R-HSA-432047	NA	NA	NA	NA	NA	NA
RFU81130.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU76533.1	IPR008699	GO:0003954;GO:0005739;GO:0008137	PF05821	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1268020|Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	NA	NA	NA	NA	NA
RFU72468.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81114.1	IPR002347	NA	PF00106	SSF51735	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74919.1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	PF00067	SSF48264	G3DSA:1.10.630.10	NA	NA	NA	NA	PR00465	NA	NA	NA	NA	NA	NA	NA
RFU74799.1	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067	SSF48264	G3DSA:1.10.630.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75774.1	IPR042098	GO:0016491;GO:0055114	PF02668	SSF51197	G3DSA:3.60.130.10	NA	NA	NA	NA	NA	Reactome: R-HSA-71262	NA	NA	NA	NA	NA	NA
RFU80951.1	IPR010339	GO:0003678;GO:0005524	PF06068;PF17856	SSF52540	G3DSA:2.40.50.360;G3DSA:3.40.50.300;G3DSA:1.10.8.60	NA	NA	NA	NA	NA	Reactome: R-HSA-171319|Reactome: R-HSA-3214847	cd17930	NA	SM00382	NA	NA	NA
RFU81919.1	IPR026992	NA	PF14226	SSF51197	G3DSA:2.60.120.330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72314.1	IPR042099	GO:0003824	PF16177;PF00501;PF13193	SSF56801	G3DSA:3.40.50.12780;G3DSA:3.30.300.30	PS00455	mobidb-lite	NA	NA	NA	KEGG: 00010+6.2.1.1|KEGG: 00620+6.2.1.1|KEGG: 00630+6.2.1.1|KEGG: 00640+6.2.1.1|KEGG: 00680+6.2.1.1|KEGG: 00720+6.2.1.1|MetaCyc: PWY-5108|MetaCyc: PWY-5132|MetaCyc: PWY-5133|MetaCyc: PWY-6672|MetaCyc: PWY-7118|MetaCyc: PWY-7857	cd05967	NA	NA	NA	NA	NA
RFU73782.1	IPR002830	GO:0016831	PF01977	SSF143968;SSF50475	G3DSA:3.40.1670.10	NA	NA	NA	NA	NA	KEGG: 00130+4.1.1.98|MetaCyc: PWY-5855|MetaCyc: PWY-5856|MetaCyc: PWY-5857|MetaCyc: PWY-6708|MetaCyc: PWY-6978	NA	MF_01983	NA	TIGR00148	NA	NA
RFU78605.1	IPR005828	GO:0016021;GO:0022857;GO:0055085	PF00083	SSF103473	G3DSA:1.20.1250.20	PS00217	mobidb-lite	PS50850	NA	NA	NA	cd17358	NA	NA	NA	NA	NA
RFU76879.1	IPR023395	NA	PF00153	SSF103506	G3DSA:1.50.40.10	NA	NA	PS50920	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74386.1	NA	NA	NA	SSF53067	G3DSA:3.30.420.40	NA	mobidb-lite	NA	NA	PR00301	NA	cd10229	NA	NA	NA	NA	NA
RFU81340.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF11951;PF00172	SSF57701	G3DSA:4.10.240.10	PS00463	mobidb-lite	PS50048	NA	NA	NA	cd00067	NA	SM00066	NA	NA	NA
RFU73506.1	IPR036640	GO:0005524;GO:0016021;GO:0016887;GO:0042626;GO:0055085	PF00005;PF00664	SSF52540;SSF90123	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	PS00211	mobidb-lite	PS50929;PS50893	NA	NA	NA	cd18583	NA	SM00382	NA	NA	NA
RFU74910.1	IPR033749	GO:0008299	PF00348	SSF48576	G3DSA:1.10.600.10	PS00444;PS00723	NA	NA	NA	NA	NA	cd00685	NA	NA	NA	NA	SFLDS00005;SFLDG01017
RFU76151.1	IPR027815	GO:0016020	PF14703;PF13967;PF02714;PF12621	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU72185.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU74868.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU74226.1	IPR002938	GO:0071949	PF01494	SSF51905	G3DSA:3.50.50.60	NA	NA	NA	NA	PR00420	NA	NA	NA	NA	NA	NA	NA
RFU80874.1	IPR002048	GO:0005509	PF00566	SSF47473;SSF47923	G3DSA:1.10.8.270;G3DSA:1.10.472.80	NA	mobidb-lite	PS50222;PS50086	Coil	NA	NA	NA	NA	SM00164	NA	NA	NA
RFU78793.1	IPR008011	NA	PF05347	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU71769.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU77650.1	IPR007568	GO:0016021	PF04479	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU80906.1	IPR023210	NA	PF00248	SSF51430	G3DSA:3.20.20.100	NA	NA	NA	NA	NA	NA	cd06660	NA	NA	NA	NA	NA
RFU72465.1	IPR003890	GO:0003723;GO:0005515	PF02854;PF12152	SSF101489;SSF48371	G3DSA:1.25.40.180;G3DSA:1.20.970.30	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	SM00543	NA	NA	NA
RFU75150.1	IPR001810	GO:0005515	PF12937	SSF81383	G3DSA:1.20.1280.50	NA	mobidb-lite	PS50181	NA	NA	NA	NA	NA	SM00256	NA	NA	NA
RFU73273.1	IPR008000	GO:0016857	PF05336	SSF54909	G3DSA:3.30.70.100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80071.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79951.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74220.1	IPR036400	NA	PF00173	SSF55856	G3DSA:3.10.120.10	NA	NA	NA	NA	NA	NA	NA	NA	SM01117	NA	NA	NA
RFU76281.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80690.1	IPR036259	GO:0055085	PF07690	SSF103473	G3DSA:1.20.1250.20	NA	mobidb-lite	NA	NA	NA	NA	cd17323	NA	NA	NA	NA	NA
RFU80294.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU71984.1	IPR002347	NA	PF00106	SSF51735	G3DSA:3.40.50.720	NA	mobidb-lite	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA
RFU80936.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU77540.1	NA	NA	NA	NA	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	cd18793	NA	NA	NA	NA	NA
RFU80412.1	IPR035969	NA	PF00566	SSF47923	G3DSA:1.10.8.270;G3DSA:1.10.472.80	NA	mobidb-lite	PS50086	Coil	NA	NA	NA	NA	SM00164	NA	NA	NA
RFU72553.1	IPR019519	GO:0002098;GO:0033588	PF10483	NA	G3DSA:3.40.50.300	NA	mobidb-lite	NA	Coil	NA	Reactome: R-HSA-3214847	NA	NA	NA	NA	NA	NA
RFU72612.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79634.1	IPR006680	GO:0016787;GO:0016810	PF01979	SSF51556;SSF51338	G3DSA:3.20.20.140;G3DSA:2.30.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76948.1	IPR038765	GO:0004843;GO:0006511;GO:0016579	PF01088;PF18031	SSF54001	G3DSA:3.40.532.10	NA	NA	NA	NA	PR00707	Reactome: R-HSA-5689603	cd09617	NA	NA	NA	PIRSF038120	NA
RFU75153.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF04082	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	cd15486;cd12148	NA	SM00906	NA	NA	NA
RFU75165.1	IPR025770	GO:0004671;GO:0005783;GO:0006481;GO:0016021	PF04140	NA	G3DSA:1.20.120.1630	NA	NA	PS51564	NA	NA	KEGG: 00900+2.1.1.100|Reactome: R-HSA-163841	NA	NA	NA	NA	NA	NA
RFU79619.1	IPR002110	GO:0005515	PF12796	SSF53300;SSF48403	G3DSA:3.40.50.410;G3DSA:1.25.40.20	NA	NA	PS50088;PS50297	NA	NA	NA	NA	NA	SM00248	NA	NA	NA
RFU79078.1	IPR003593	GO:0005737;GO:0016787;GO:0030163;GO:0005524	PF17862;PF00004	SSF52540	G3DSA:1.10.8.60;G3DSA:3.40.50.300;G3DSA:2.40.50.140	PS00674	NA	NA	NA	NA	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	cd00009	NA	SM00382	TIGR01242	NA	NA
RFU81006.1	IPR018460	GO:0016020	PF02487	SSF103473	NA	NA	NA	NA	NA	PR01315	NA	cd06174	NA	NA	NA	PIRSF015974	NA
RFU78665.1	IPR027500	GO:0003735;GO:0005840;GO:0006412	PF01015	NA	NA	PS01191	mobidb-lite	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	MF_03122	SM01397	NA	NA	NA
RFU78446.1	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0004497	PF00067;PF00172	SSF48264;SSF57701	G3DSA:1.10.630.10;G3DSA:4.10.240.10	NA	NA	NA	NA	PR00465;PR00385	NA	cd00067;cd12148	NA	NA	NA	NA	NA
RFU80012.1	IPR037274	GO:0008270	NA	SSF161219	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-110320|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA
RFU81701.1	IPR003010	GO:0006807;GO:0016810	PF00795	SSF56317	G3DSA:3.60.110.10	PS00920	NA	PS50263	NA	NA	NA	cd07564	NA	NA	NA	NA	NA
RFU71776.1	IPR029753	GO:0051287;GO:0055114	PF02826	SSF51735	G3DSA:3.40.50.720	PS00671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74927.1	IPR006166	GO:0003677;GO:0004518;GO:0003697;GO:0004520;GO:0006281	PF02732	SSF52980;SSF47781	G3DSA:1.10.150.20;G3DSA:3.40.50.10130	NA	mobidb-lite	NA	Coil	NA	Reactome: R-HSA-6783310	NA	NA	SM00891	TIGR00596	NA	NA
RFU79618.1	IPR021109	GO:0004190;GO:0006508	PF00026	SSF50630	G3DSA:2.40.70.10	NA	NA	PS51767	NA	PR00792	NA	cd05471	NA	NA	NA	NA	NA
RFU76361.1	IPR016024	GO:0016579;GO:0036459;GO:0006511	PF12030;PF00443	SSF48371;SSF54001	G3DSA:3.90.70.10	PS00973	mobidb-lite	PS50235	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73750.1	IPR015422	GO:0003824;GO:0019346;GO:0030170	PF01053	SSF53383	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	NA	NA	NA	NA	Reactome: R-HSA-1614558|Reactome: R-HSA-1614603|Reactome: R-HSA-2408508	cd00614	NA	NA	NA	PIRSF001434	NA
RFU71900.1	IPR000727	NA	NA	SSF58038	G3DSA:1.20.5.110	NA	mobidb-lite	PS50192	Coil	NA	NA	cd15857;cd15886	NA	NA	NA	NA	NA
RFU81320.1	IPR013748	GO:0003677;GO:0006260;GO:0005524	PF08542;PF01569;PF00004	SSF52540;SSF48019;SSF48317	G3DSA:1.10.8.60;G3DSA:3.40.50.300;G3DSA:1.20.144.10;G3DSA:1.20.272.10	NA	mobidb-lite	NA	NA	NA	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174411|Reactome: R-HSA-176187|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685938|Reactome: R-HSA-5685942|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6804756|Reactome: R-HSA-69091|Reactome: R-HSA-69473	cd03388;cd00009;cd18140	NA	SM00382;SM00014	NA	NA	NA
RFU79838.1	IPR037175	GO:0004061;GO:0019441	PF04199	SSF102198	G3DSA:3.50.30.50	NA	NA	NA	NA	NA	KEGG: 00380+3.5.1.9|KEGG: 00630+3.5.1.9|MetaCyc: PWY-5651|MetaCyc: PWY-6309|MetaCyc: PWY-7717|MetaCyc: PWY-7733|MetaCyc: PWY-7734|MetaCyc: PWY-7765	NA	NA	NA	NA	NA	NA
RFU77924.1	IPR011012	NA	PF01217	SSF64356	G3DSA:3.30.450.60	NA	NA	NA	NA	NA	NA	cd14829	NA	NA	NA	NA	NA
RFU74192.1	IPR007653	GO:0005787;GO:0006465;GO:0008233;GO:0016021	PF04573	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1799339|Reactome: R-HSA-381771|Reactome: R-HSA-400511|Reactome: R-HSA-422085	NA	NA	NA	NA	PIRSF016089	NA
RFU73923.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF04082	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	cd12148	NA	SM00906	NA	NA	NA
RFU79464.1	IPR000704	GO:0005956;GO:0019887	PF01214	SSF57798	G3DSA:1.10.1820.10;G3DSA:2.20.25.20	PS01101	mobidb-lite	NA	NA	PR00472	Reactome: R-HSA-1483191|Reactome: R-HSA-201688|Reactome: R-HSA-2514853|Reactome: R-HSA-445144|Reactome: R-HSA-6798695|Reactome: R-HSA-6804756|Reactome: R-HSA-6814122|Reactome: R-HSA-8934903|Reactome: R-HSA-8939243|Reactome: R-HSA-8948751	NA	NA	SM01085	NA	NA	NA
RFU74158.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	PF00069	SSF56112	G3DSA:1.10.510.10	PS00108	mobidb-lite	PS50011	NA	NA	NA	NA	NA	SM00220	NA	NA	NA
RFU78492.1	IPR010730	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72177.1	IPR021842	NA	PF11917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73717.1	IPR023210	NA	PF00248	SSF51430	G3DSA:3.20.20.100	NA	NA	NA	NA	NA	NA	cd06660	NA	NA	NA	NA	NA
RFU74059.1	IPR011990	GO:0005515	NA	SSF48452;SSF52047	G3DSA:1.25.40.10;G3DSA:3.80.10.10	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79507.1	IPR016066	GO:0000287;GO:0016868;GO:0071704;GO:0005975;GO:0003676;GO:0000175	PF00408;PF00929;PF02878;PF02880;PF02879	SSF53738;SSF55957;SSF53098	G3DSA:3.40.120.10;G3DSA:3.30.420.10;G3DSA:3.30.310.50	PS00710	NA	NA	NA	PR00509	KEGG: 00520+5.4.2.10|MetaCyc: PWY-6749	cd06135;cd03085	NA	SM00479	NA	NA	NA
RFU72205.1	IPR007180	GO:0005634	PF04037;PF04046	NA	NA	NA	mobidb-lite	NA	Coil	NA	Reactome: R-HSA-72163|Reactome: R-HSA-72165	NA	NA	SM00581	NA	NA	NA
RFU75690.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76586.1	IPR008775	NA	PF05721	SSF51197	G3DSA:2.60.120.620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78403.1	IPR007193		PF04050	NA	NA	NA	mobidb-lite	NA	NA	NA	Reactome: R-HSA-9010553|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA
RFU78486.1	IPR004240	GO:0016021	PF02990	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75182.1	IPR001849	NA	PF15410	SSF50729	G3DSA:2.30.29.30	NA	mobidb-lite	PS50003	NA	NA	NA	NA	NA	SM00233	NA	NA	NA
RFU76205.1	IPR029056	GO:0003677;GO:0006275;GO:0030337;GO:0008478;GO:0009443	PF00705;PF02747;PF08543	SSF53613;SSF55979	G3DSA:3.40.1190.20;G3DSA:3.10.150.10;G3DSA:3.10.150.20	PS01251;PS00293	NA	NA	NA	PR00339	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-1362277|Reactome: R-HSA-174411|Reactome: R-HSA-174414|Reactome: R-HSA-174417|Reactome: R-HSA-174437|Reactome: R-HSA-4615885|Reactome: R-HSA-5358565|Reactome: R-HSA-5358606|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6804114|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183|Reactome: R-HSA-69205|Reactome: R-HSA-8866654	cd01173;cd00577	MF_00317	NA	TIGR00590	NA	NA
RFU81003.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79974.1	IPR014719	GO:0003735;GO:0005840;GO:0006412	PF16320;PF00542	SSF54736;SSF48300	G3DSA:3.30.1390.10	NA	NA	NA	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	cd00387	MF_00368	NA	NA	NA	NA
RFU80005.1	IPR023606	GO:0008410	PF02515	SSF89796	G3DSA:3.40.50.10540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79918.1	IPR004147	NA	PF03109	SSF56112	G3DSA:3.30.200.20;G3DSA:1.10.510.10	NA	mobidb-lite	NA	NA	NA	NA	cd13970	NA	NA	NA	NA	NA
RFU73090.1	IPR008271	GO:0004672;GO:0006468;GO:0005524	PF00069	SSF56112	G3DSA:3.30.200.20	PS00108	mobidb-lite	PS50011	NA	NA	NA	cd07842	NA	SM00220	NA	NA	NA
RFU73669.1	IPR040457	GO:0043015	PF04130;PF17681	NA	G3DSA:1.20.120.1900	NA	NA	NA	NA	NA	Reactome: R-HSA-380270|Reactome: R-HSA-380320	NA	NA	NA	NA	NA	NA
RFU81388.1	IPR001680	GO:0005515	PF00400;PF05729	SSF52540;SSF50978	G3DSA:2.130.10.10;G3DSA:3.40.50.300	NA	NA	PS50082;PS50837;PS50294	Coil	PR00320	NA	cd00200	NA	SM00320	NA	NA	NA
RFU72550.1	IPR008429	GO:0016021	PF05602	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80526.1	IPR021848	NA	PF11927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81783.1	IPR013883	NA	PF08574	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75715.1	IPR020846	GO:0055085	PF07690	SSF103473	G3DSA:1.20.1250.20	NA	mobidb-lite	PS50850	NA	NA	NA	cd17316	NA	NA	NA	NA	NA
RFU78066.1	IPR008972	GO:0005507;GO:0016491;GO:0055114	PF07732;PF07731;PF00394	SSF49503	G3DSA:2.60.40.420	PS00079;PS00080	NA	NA	NA	NA	NA	cd13876;cd13898;cd13850	NA	NA	NA	NA	NA
RFU78891.1	IPR013149	GO:0055114	PF00107;PF16884	SSF50129;SSF51735	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	NA	NA	NA	NA	NA	cd05288	NA	NA	NA	NA	NA
RFU75740.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU74232.1	IPR036291		PF05368	SSF51735	G3DSA:3.90.25.10;G3DSA:3.40.50.720	NA	NA	NA	NA	NA	Reactome: R-HSA-70635	cd05259	NA	NA	NA	NA	NA
RFU79221.1	IPR006094	GO:0016491;GO:0050660;GO:0055114;GO:0003824;GO:0071949	PF01565;PF02913	SSF55103;SSF56176	G3DSA:3.30.465.40;G3DSA:1.10.45.10;G3DSA:3.30.70.2740	NA	NA	PS51387	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79692.1	IPR029069	GO:0005524;GO:0003824	PF08442;PF00549	SSF54637;SSF52210;SSF56059	G3DSA:3.40.50.261;G3DSA:3.30.1490.20;G3DSA:3.30.470.20;G3DSA:3.10.129.10	PS01217	NA	NA	NA	NA	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384	NA	NA	NA	NA	NA	NA
RFU73586.1	IPR015422	GO:0003824;GO:0009058;GO:0030170	PF00155	SSF53383	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	PS00105	NA	NA	NA	NA	NA	cd00609	NA	NA	NA	NA	NA
RFU73339.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
