Gene	interpro	GO	SUPERFAMILY	PATHWAY	SMART	Pfam	Gene3D	MobiDBLite	Coils	CDD	ProSiteProfiles	PIRSF	ProSitePatterns	PRINTS	Hamap	TIGRFAM	SFLD
PTB72688.1	IPR002058	GO:0016779	SSF81631;SSF81301	NA	NA	PF03828;PF01909	G3DSA:3.30.460.10;G3DSA:1.10.1410.10	mobidb-lite	NA	cd05402	NA	NA	NA	NA	NA	NA	NA
PTB81090.1	IPR013083	NA	SSF57903	NA	SM01408;SM00249	NA	G3DSA:3.30.40.10	mobidb-lite	Coil	cd17017;cd15505	PS50016	NA	NA	NA	NA	NA	NA
PTB78233.1	IPR023409		SSF48445	Reactome: R-HSA-111447|Reactome: R-HSA-1445148|Reactome: R-HSA-5625740|Reactome: R-HSA-5628897|Reactome: R-HSA-75035	SM00101	PF00244	G3DSA:1.20.190.20	mobidb-lite	NA	NA	NA	PIRSF000868	PS00796	PR00305	NA	NA	NA
PTB80511.1	IPR027469	GO:0006812;GO:0008324;GO:0016021;GO:0055085	SSF161111	NA	NA	PF01545	G3DSA:1.20.1510.10	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	TIGR01297	NA
PTB73432.1	IPR015267	GO:0019888;GO:0030289	NA	Reactome: R-HSA-5693607	NA	PF09184	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75722.1	IPR007122	GO:0051015	SSF55753	NA	SM00262	PF13254	G3DSA:3.40.20.10	mobidb-lite	NA	NA	NA	NA	NA	PR00597	NA	NA	NA
PTB74004.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76961.1	IPR001579	GO:0004553;GO:0005975	SSF51445	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	NA	PF00704	G3DSA:3.20.20.80	mobidb-lite	NA	cd02877	NA	NA	PS01095	NA	NA	NA	NA
PTB73765.1	IPR002155	GO:0016747;GO:0003824	SSF53901	NA	NA	PF00108;PF02803	G3DSA:3.40.47.10	NA	NA	cd00751	NA	PIRSF000429	PS00098;PS00737	NA	NA	TIGR01930	NA
PTB73976.1	IPR008427	NA	NA	NA	NA	PF05730	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71778.1	IPR042104		NA	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	NA	NA	G3DSA:3.10.129.110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72406.1	IPR001563	GO:0004185;GO:0006508	SSF53474	NA	NA	PF00450	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	PS00131	PR00724	NA	NA	NA
PTB81410.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	SSF56112	NA	SM00220	PF00069	G3DSA:1.10.510.10	mobidb-lite	NA	NA	PS50011	NA	PS00108;PS00107	NA	NA	NA	NA
PTB74730.1	IPR029063	NA	SSF53335	NA	NA	PF13489	G3DSA:3.40.50.150	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA
PTB79602.1	IPR029044	GO:0003983;GO:0006011;GO:0070569	SSF53448	KEGG: 00040+2.7.7.9|KEGG: 00052+2.7.7.9|KEGG: 00500+2.7.7.9|KEGG: 00520+2.7.7.9|KEGG: 00561+2.7.7.9|MetaCyc: PWY-3801|MetaCyc: PWY-6527|MetaCyc: PWY-7238|MetaCyc: PWY-7343|MetaCyc: PWY-7817|Reactome: R-HSA-173599|Reactome: R-HSA-3322077	NA	PF01704	G3DSA:3.90.550.10;G3DSA:2.160.10.10	mobidb-lite	NA	cd00897	NA	PIRSF000806	NA	NA	NA	NA	NA
PTB72567.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73718.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74957.1	IPR018852	NA	NA	NA	NA	PF10445	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75221.1	IPR015422	GO:0003824;GO:0016831;GO:0019752;GO:0030170	SSF53383	NA	NA	PF00282	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB78588.1	IPR016864	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	PIRSF028035	NA	NA	NA	NA	NA
PTB75599.1	IPR016117		SSF56266	KEGG: 00220+2.3.1.35+2.3.1.1|MetaCyc: PWY-5154	NA	PF03576	G3DSA:3.60.70.12	NA	NA	cd02253	NA	NA	NA	NA	NA	NA	NA
PTB79464.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71119.1	IPR014718	GO:0030246;GO:0003824	SSF48208	NA	NA	PF17678;PF07971	G3DSA:2.70.98.10;G3DSA:1.20.1050.60;G3DSA:3.30.2080.10;G3DSA:1.20.1610.10	NA	NA	NA	NA	NA	NA	NA	NA	TIGR01180	NA
PTB73201.1	IPR003807	NA	NA	NA	NA	PF02656;PF09359	G3DSA:2.40.320.20	mobidb-lite	Coil	cd14480	PS51382	NA	NA	NA	NA	NA	NA
PTB73429.1	IPR036910	NA	SSF47095	NA	SM00398	PF00505	G3DSA:1.10.30.10	mobidb-lite	NA	cd01390	PS50118	NA	NA	NA	NA	NA	NA
PTB74684.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	cd06503	NA	NA	NA	NA	NA	NA	NA
PTB81692.1	IPR001305	GO:0031072;GO:0051082;GO:0006457;GO:0005524;GO:0009408	SSF57938;SSF49493;SSF46565	NA	SM00271	PF00684;PF01556;PF00226	G3DSA:2.60.260.20;G3DSA:2.10.230.10;G3DSA:1.10.287.110	mobidb-lite	Coil	cd06257;cd10747;cd10719	PS51188;PS50076	NA	PS00636	PR00625	MF_01152	NA	NA
PTB71895.1	IPR003123	GO:0035091;GO:0005515	SSF64268;SSF109993;SSF48403	Reactome: R-HSA-8876198	SM00248	PF02204;PF13857	G3DSA:3.30.1520.10;G3DSA:1.20.1050.80	mobidb-lite	Coil	cd06093	PS51205;PS50297	NA	NA	NA	NA	NA	NA
PTB74294.1	IPR026822		NA	Reactome: R-HSA-72163	NA	PF12656	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75128.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76957.1	IPR029063	NA	SSF53335	NA	NA	PF02353	G3DSA:3.40.50.150	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA
PTB77205.1	IPR032698	GO:0003677;GO:0005515	SSF141255;SSF81383	Reactome: R-HSA-8951664|Reactome: R-HSA-983168	SM00992	PF13369;PF08755;PF12937	G3DSA:1.20.1280.50	NA	NA	NA	PS50181	NA	NA	NA	NA	NA	NA
PTB74464.1	IPR031463	GO:0042407;GO:0044284;GO:0061617	NA	NA	NA	PF17050	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80218.1	IPR027417	GO:0005525	SSF52540	NA	NA	PF00735	NA	mobidb-lite	NA	NA	PS51719	NA	NA	NA	NA	NA	NA
PTB75425.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SSF57701	NA	SM00066	PF04082;PF00172	G3DSA:4.10.240.10	NA	NA	cd12148;cd00067	PS50048	NA	PS00463	NA	NA	NA	NA
PTB75606.1	IPR036282	GO:0005515	SSF47616;SSF52833	NA	NA	PF02798;PF14497	G3DSA:1.20.1050.10;G3DSA:3.40.30.10	NA	NA	cd03039	PS50405;PS50404	NA	NA	NA	NA	NA	SFLDS00019
PTB80546.1	IPR001680	GO:0005515	SSF50978	NA	SM00320	PF00400	NA	mobidb-lite	NA	NA	PS50294;PS50082	NA	NA	NA	NA	NA	NA
PTB80195.1	IPR001849	GO:0005515;GO:0005543;GO:0005938;GO:0032065	SSF50729	NA	SM00233	PF12814	NA	mobidb-lite	Coil	cd13365	PS50003	NA	NA	NA	NA	NA	NA
PTB81244.1	IPR014401	GO:0003735;GO:0005840;GO:0006412	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-166208|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6790901|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	SM01405	PF01092	NA	NA	Coil	NA	NA	PIRSF002129	PS00578	NA	NA	NA	NA
PTB75522.1	IPR008532	NA	NA	NA	NA	PF05670	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB77024.1	IPR039261	GO:0016491;GO:0055114	SSF52343	NA	NA	PF01794	G3DSA:3.40.50.80	mobidb-lite	NA	cd06186	PS51384	NA	NA	NA	NA	NA	SFLDS00052;SFLDG01168
PTB74025.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71428.1	IPR011990	GO:0005515	SSF48452	NA	SM00028	PF13176;PF13432	G3DSA:1.25.40.10	mobidb-lite	NA	NA	PS50005;PS50293	NA	NA	NA	NA	NA	NA
PTB76995.1	IPR014001	GO:0005524	SSF52540	NA	SM00487;SM00490	PF00271;PF00176	G3DSA:3.40.50.300;G3DSA:3.40.50.10810	mobidb-lite	NA	cd18008;cd18793	PS51192;PS51194	NA	NA	NA	NA	NA	NA
PTB78459.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78336.1	IPR015500	GO:0004252;GO:0006508	SSF52743	NA	NA	PF00082	G3DSA:3.40.50.200	mobidb-lite	NA	cd07491	NA	NA	NA	PR00723	NA	NA	NA
PTB81720.1	IPR041698	NA	SSF53335	NA	NA	PF13649	G3DSA:3.40.50.150	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA
PTB81774.1	IPR002575	GO:0004672;GO:0006468	SSF56112	NA	NA	PF01636	G3DSA:3.90.1200.10	NA	NA	cd05120	NA	NA	PS00109	NA	NA	NA	NA
PTB79248.1	IPR022185	NA	NA	NA	NA	PF12505	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76914.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71261.1	NA	NA	NA	NA	NA	NA	G3DSA:1.10.530.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77898.1	IPR019410	NA	SSF53335	NA	NA	PF10294	G3DSA:3.40.50.150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78892.1	IPR029045	GO:0003824	SSF52096	NA	NA	PF00378	G3DSA:3.90.226.10	NA	NA	cd06558	NA	NA	PS00166	NA	NA	NA	NA
PTB80292.1	IPR004728	GO:0015031;GO:0030176	NA	NA	NA	PF03839	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	TIGR00869	NA
PTB80106.1	IPR029058	GO:0016787	SSF53474	NA	NA	PF07859	G3DSA:3.40.50.1820	NA	NA	NA	PS50835	NA	NA	NA	NA	NA	NA
PTB75593.1	IPR001734	GO:0016020;GO:0022857;GO:0055085	NA	NA	NA	PF00474	G3DSA:1.20.1730.10	NA	NA	cd11476	PS50283	NA	NA	NA	NA	TIGR00813	NA
PTB81359.1	IPR002068	NA	SSF49764	NA	NA	PF00011	NA	mobidb-lite	NA	NA	PS01031	NA	NA	NA	NA	NA	NA
PTB80594.1	IPR004000	NA	SSF53067	NA	SM00268	PF00022	G3DSA:3.90.640.10;G3DSA:3.30.420.40	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB81858.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71132.1	IPR003781	GO:0048037;GO:0003824	SSF51735;SSF52210	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384	SM00881	PF02629;PF00549	G3DSA:3.40.50.261;G3DSA:3.40.50.720	NA	Coil	NA	NA	PIRSF001553	PS01216;PS00399	PR01798	MF_01988	NA	NA
PTB73724.1	IPR025204		NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-606279|Reactome: R-HSA-68877	NA	PF13092	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76618.1	IPR000163	GO:0016020;GO:0008168	SSF53335;SSF117892	Reactome: R-HSA-8949664	SM00244	PF01145;PF08241	G3DSA:3.40.50.150	mobidb-lite	Coil	cd03401	NA	NA	NA	PR00679	NA	NA	NA
PTB74896.1	IPR036898		NA	Reactome: R-HSA-427413|Reactome: R-HSA-5250924|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73863	NA	PF17875	G3DSA:2.40.50.1060;G3DSA:3.30.1490.120	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB81607.1	IPR013087	GO:0003676;GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SSF57667;SSF53474;SSF57701	NA	SM00355;SM00066	PF00172;PF04082;PF12146;PF00096	G3DSA:3.30.160.60;G3DSA:4.10.240.10	mobidb-lite	Coil	cd00067	PS50157;PS50048	NA	PS00028;PS00463	PR00111	NA	NA	NA
PTB73496.1	IPR009600	GO:0016021;GO:0016255;GO:0042765	NA	Reactome: R-HSA-162791	NA	PF06728	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81461.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79729.1	IPR011701	GO:0055085	SSF103473	NA	NA	PF07690	G3DSA:1.20.1250.20	mobidb-lite	NA	cd17352	PS50850	NA	NA	NA	NA	NA	NA
PTB77058.1	IPR004507	GO:0003824	SSF52507	Reactome: R-HSA-196783	NA	PF02441	G3DSA:3.40.50.1950	NA	NA	NA	NA	NA	NA	NA	MF_01984	TIGR00421	NA
PTB73981.1	NA	NA	SSF56399	NA	NA	NA	G3DSA:3.90.210.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74115.1	NA	NA	SSF52047	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72441.1	IPR004299	NA	NA	NA	NA	PF03062	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78618.1	IPR026705	NA	NA	NA	NA	PF12722	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78881.1	IPR029058	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72138.1	IPR008313	GO:0003824	SSF48208	NA	SM01149	PF06824	G3DSA:1.50.10.10	NA	NA	NA	NA	PIRSF028846	NA	NA	NA	NA	NA
PTB74546.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81198.1	IPR001715	GO:0005515;GO:0005509	SSF46966;SSF47473;SSF47576	Reactome: R-HSA-373753	SM01184;SM00033	PF00307;PF08726	G3DSA:1.10.418.10;G3DSA:1.10.238.10;G3DSA:1.20.58.60	mobidb-lite	Coil	cd00014;cd00051	PS50021;PS50222	NA	PS00019;PS00020;PS00018	NA	NA	NA	NA
PTB71130.1	IPR036770	GO:0005515	SSF48403	NA	SM00248	PF12796;PF00023	G3DSA:1.25.40.20	mobidb-lite	Coil	NA	PS50088;PS50297	NA	NA	NA	NA	NA	NA
PTB71494.1	IPR022105	NA	NA	NA	NA	PF12359;PF12340	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71947.1	IPR034014	GO:0042779;GO:0003676;GO:0006351;GO:0008270	SSF57783	Reactome: R-HSA-1834949|Reactome: R-HSA-73780|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	SM00661;SM00440	PF01096;PF02150	G3DSA:2.20.25.10	NA	NA	cd10509	PS51133	PIRSF005586	NA	NA	NA	NA	NA
PTB76503.1	IPR006076	GO:0016491;GO:0055114;GO:0003884;GO:0046416;GO:0071949	SSF54373;SSF51971	Reactome: R-HSA-389661|Reactome: R-HSA-9033241	NA	PF01266	G3DSA:3.30.9.10;G3DSA:3.40.50.720	NA	NA	NA	NA	PIRSF000189	PS00677	NA	NA	NA	NA
PTB77318.1	IPR016584	GO:0008168	SSF53335	NA	NA	NA	G3DSA:3.40.50.150	NA	NA	cd02440	NA	PIRSF011491	NA	NA	NA	NA	NA
PTB71445.1	IPR000595	GO:0005515	SSF51206;SSF81383;SSF52047	NA	SM00367;SM00100	PF00646;PF00027;PF13516;PF16643	G3DSA:2.60.120.10;G3DSA:3.80.10.10	mobidb-lite	NA	cd00038	PS50042	NA	PS00889	NA	NA	NA	NA
PTB78587.1	IPR014729	GO:0004817;GO:0005524;GO:0006423;GO:0000166;GO:0004812;GO:0006418	SSF47323;SSF52374	KEGG: 00970+6.1.1.16	NA	PF01406	G3DSA:3.40.50.620	mobidb-lite	Coil	cd06503	NA	NA	NA	PR00983	MF_00041	TIGR00435	NA
PTB78690.1	IPR002818		SSF52317	Reactome: R-HSA-3899300|Reactome: R-HSA-9613829|Reactome: R-HSA-9615710	NA	PF01965	G3DSA:3.40.50.880	NA	NA	cd03141	NA	NA	NA	NA	NA	NA	NA
PTB71737.1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	SSF48264	NA	NA	PF00067	G3DSA:1.10.630.10	NA	NA	NA	NA	NA	NA	PR00385;PR00465	NA	NA	NA
PTB77827.1	IPR006094	GO:0016491;GO:0050660;GO:0055114;GO:0071949	SSF56176	NA	NA	PF01565	G3DSA:3.30.465.40	NA	NA	NA	PS51387	NA	NA	NA	NA	NA	NA
PTB71136.1	IPR036188	NA	SSF51905;SSF51735	NA	NA	PF13738	G3DSA:3.50.50.60	NA	NA	NA	NA	NA	NA	PR00411	NA	NA	NA
PTB75685.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76393.1	IPR013087	GO:0003676	SSF52540;SSF57667	NA	SM00355	NA	G3DSA:3.30.160.60;G3DSA:3.40.50.300	NA	NA	NA	PS50157	NA	PS00028	NA	NA	NA	NA
PTB72878.1	IPR006693	GO:0006629	SSF53474	Reactome: R-HSA-6809371	NA	PF04083	G3DSA:3.40.50.1820	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75427.1	IPR036908	NA	SSF50685	NA	NA	NA	G3DSA:2.40.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73197.1	IPR039899		SSF58038	Reactome: R-HSA-6807878	SM00397	NA	G3DSA:1.20.5.110	mobidb-lite	NA	cd15853	PS50192	NA	NA	NA	NA	NA	NA
PTB81077.1	IPR013497	GO:0003677;GO:0003916;GO:0006265	SSF56712	NA	SM00493;SM00437;SM00436	PF01751;PF01131	G3DSA:3.40.50.140;G3DSA:2.70.20.10;G3DSA:1.10.460.10;G3DSA:1.10.290.10	mobidb-lite	NA	cd00186;cd03362	PS50880	NA	NA	PR00417	NA	NA	NA
PTB76788.1	IPR011701	GO:0055085	SSF103473	NA	NA	PF07690	G3DSA:1.20.1250.20	mobidb-lite	NA	cd17323	PS50850	NA	NA	NA	NA	NA	NA
PTB72674.1	IPR011045	GO:0005515	SSF50974	Reactome: R-HSA-114608	NA	PF10282	G3DSA:2.130.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74678.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB78262.1	IPR036038	GO:0003824	SSF56752	Reactome: R-HSA-70895	NA	PF01063	G3DSA:3.30.470.10;G3DSA:3.20.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75011.1	IPR034333	GO:0005515;GO:0003824;GO:0005737;GO:0009072	SSF52833;SSF47616	Reactome: R-HSA-156590|Reactome: R-HSA-204174|Reactome: R-HSA-8963684	NA	PF13417;PF00043	G3DSA:3.40.30.10;G3DSA:1.20.1050.10	NA	NA	cd03042;cd03191	PS50405;PS50404	NA	NA	NA	NA	TIGR01262	SFLDG00358;SFLDS00019
PTB72932.1	IPR024688	GO:0016407;GO:0016740	SSF51161	Reactome: R-HSA-446205	NA	PF12464;PF00132	G3DSA:2.160.10.10	NA	NA	cd03357	NA	NA	PS00101	NA	NA	NA	NA
PTB73059.1	IPR029062	GO:0004088;GO:0006207;GO:0006541	SSF52021;SSF52317	KEGG: 00240+6.3.5.5|KEGG: 00250+6.3.5.5|MetaCyc: PWY-5154|MetaCyc: PWY-5686|MetaCyc: PWY-7400|MetaCyc: PWY-7790|MetaCyc: PWY-7791	SM01097	PF00117;PF00988	G3DSA:3.40.50.880;G3DSA:3.50.30.20	NA	NA	cd01744	PS51273	NA	NA	PR00099;PR00096;PR00097	MF_01209	TIGR01368	NA
PTB74950.1	IPR009799	NA	SSF54909	NA	NA	PF07110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80736.1	IPR013126		SSF53067;SSF100920;SSF100934	Reactome: R-HSA-3371453	NA	PF00012	G3DSA:3.30.30.30;G3DSA:2.60.34.10;G3DSA:3.30.420.40;G3DSA:3.90.640.10;G3DSA:1.20.1270.10	mobidb-lite	Coil	cd10233	NA	NA	PS00329;PS00297;PS01036	PR00301	NA	NA	NA
PTB76596.1	IPR023638	GO:0003735;GO:0005840;GO:0006412;GO:0022625	SSF48140	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	SM01416	PF01280	G3DSA:1.10.1650.10;G3DSA:1.10.1200.240	NA	Coil	cd01417	NA	NA	PS00526	NA	MF_01475	NA	NA
PTB71736.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72729.1	IPR021047	NA	NA	NA	NA	PF11735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74866.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB74467.1	IPR040079	GO:0005515	SSF47616;SSF52833	NA	NA	PF14497;PF13409	G3DSA:1.20.1050.10;G3DSA:3.40.30.10	NA	NA	cd03048	PS50405;PS50404	NA	NA	NA	NA	NA	SFLDS00019;SFLDG00358
PTB71372.1	IPR016024		SSF48371	Reactome: R-HSA-2514853	NA	PF12719	G3DSA:1.25.10.10	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB79636.1	IPR006768	NA	NA	NA	NA	PF04677;PF04676	NA	mobidb-lite	NA	cd07380	NA	NA	NA	NA	NA	NA	NA
PTB79853.1	IPR012990	GO:0030127;GO:0090114;GO:0006886;GO:0006888;GO:0008270	SSF81995;SSF81811;SSF82754;SSF53300;SSF82919	Reactome: R-HSA-1655829|Reactome: R-HSA-204005|Reactome: R-HSA-2132295|Reactome: R-HSA-5694530|Reactome: R-HSA-983170	NA	PF08033;PF04810;PF04811;PF04815;PF00626	G3DSA:2.60.40.1670;G3DSA:3.40.20.10;G3DSA:2.30.30.380;G3DSA:3.40.50.410;G3DSA:1.20.120.730	NA	NA	cd11287;cd01478	NA	NA	NA	NA	NA	NA	NA
PTB79975.1	IPR002190	NA	NA	NA	SM01373	PF01454	G3DSA:1.10.10.1210;G3DSA:1.10.10.1200	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79432.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71541.1	IPR038765		SSF54001	Reactome: R-HSA-1632852	NA	PF03416	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81603.1	IPR001623	NA	SSF46565	NA	SM00271	PF00226	G3DSA:1.10.287.110	mobidb-lite	NA	cd06257	PS50076	NA	NA	PR00625	NA	NA	NA
PTB77933.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79012.1	IPR001163	GO:0000398;GO:0005732;GO:0000387;GO:0005681	SSF50182	Reactome: R-HSA-72163	SM00651	PF01423	G3DSA:2.30.30.100	NA	NA	cd01722	NA	PIRSF006609	NA	NA	NA	NA	NA
PTB80509.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75256.1	IPR000250	GO:0004190;GO:0006508	SSF49899	NA	NA	PF01828	G3DSA:2.60.120.700	mobidb-lite	NA	cd13426	NA	NA	NA	PR00977	NA	NA	NA
PTB75215.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	cd18034	NA	NA	NA	NA	NA	NA	NA
PTB77456.1	IPR000073	NA	SSF53474	NA	NA	PF12697	NA	NA	NA	cd12809	NA	NA	NA	NA	NA	NA	NA
PTB71359.1	IPR042534		NA	Reactome: R-HSA-3214815|Reactome: R-HSA-427413	NA	PF06487	G3DSA:3.10.20.550	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80225.1	IPR000462	GO:0008654;GO:0016020;GO:0016780	NA	NA	NA	PF01066	G3DSA:1.20.120.1760	NA	NA	NA	NA	PIRSF015665	PS00379	NA	NA	NA	NA
PTB73785.1	IPR013734	NA	NA	NA	NA	PF08528	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73259.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SSF57701	NA	SM00906;SM00066	PF04082;PF00172	G3DSA:4.10.240.10	mobidb-lite	Coil	cd12148;cd00067	PS50048	NA	PS00463	NA	NA	NA	NA
PTB80307.1	IPR036188	GO:0005093;GO:0015031;GO:0005092;GO:0007264	SSF51905	Reactome: R-HSA-194840|Reactome: R-HSA-8876198	NA	PF00996	G3DSA:3.50.50.60;G3DSA:3.30.519.10;G3DSA:1.10.405.10	NA	NA	NA	NA	NA	NA	PR00892;PR00891	NA	NA	NA
PTB75855.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	NA	SM00066	PF00172	G3DSA:4.10.240.10	mobidb-lite	NA	cd00067	PS50048	NA	PS00463	NA	NA	NA	NA
PTB74725.1	IPR029063	NA	SSF53335	NA	NA	PF13489	G3DSA:3.40.50.150	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA
