Gene	Gene3D	interpro	GO	ProSiteProfiles	SUPERFAMILY	Pfam	SMART	MobiDBLite	PATHWAY	ProSitePatterns	CDD	Coils	PRINTS	TIGRFAM	Hamap	PIRSF	SFLD
PNP39875.1	G3DSA:3.40.50.720;G3DSA:3.90.25.10	IPR008030		NA	SSF51735	PF05368	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA	NA
PNP42079.1	G3DSA:3.50.50.60;G3DSA:3.30.9.10	IPR006076	GO:0016491;GO:0055114	NA	SSF51905	PF01266	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP43273.1	G3DSA:3.30.559.10	IPR023213	GO:0016747	NA	NA	PF02458	NA	NA	Reactome: R-HSA-389661	NA	NA	NA	NA	NA	NA	NA	NA
PNP40785.1	G3DSA:3.30.420.40	IPR005338	GO:0005524;GO:0006040;GO:0009254;GO:0016773	NA	SSF53067	PF03702	NA	NA	MetaCyc: PWY-7883	NA	NA	NA	NA	NA	NA	NA	NA
PNP43164.1	G3DSA:1.20.1250.20	IPR005828	GO:0016021;GO:0022857;GO:0055085	PS50850	SSF103473	PF00083	NA	NA	NA	PS00216	cd17358	NA	NA	NA	NA	NA	NA
PNP45551.1	G3DSA:2.170.150.40	IPR038694	NA	NA	NA	PF04248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP37564.1	G3DSA:2.130.10.10	IPR001680	GO:0005515	PS50294;PS50082	SSF50978	PF00400	SM00320	mobidb-lite	NA	NA	NA	NA	PR00320	NA	NA	NA	NA
PNP43862.1	G3DSA:4.10.240.10	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	SSF57701	PF00172	SM00066	mobidb-lite	NA	PS00463	cd00067	NA	NA	NA	NA	NA	NA
PNP44960.1	NA	IPR016340	NA	NA	NA	PF09784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP48798.1	NA	IPR010541		NA	NA	PF06544;PF08572	NA	mobidb-lite	Reactome: R-HSA-72163	NA	NA	Coil	NA	NA	NA	NA	NA
PNP41516.1	G3DSA:3.40.50.720	IPR008030		NA	SSF51735	PF05368	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA	NA
PNP41730.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45286.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45072.1	G3DSA:1.20.1250.20	IPR020846	GO:0055085	PS50850	SSF103473	PF07690	NA	mobidb-lite	NA	NA	cd17323	NA	NA	NA	NA	NA	NA
PNP38534.1	G3DSA:3.40.710.10	IPR001466	NA	NA	SSF56601	PF00144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP48357.1	G3DSA:3.60.21.10;G3DSA:1.25.40.10	IPR041753	GO:0016787;GO:0005515	PS50293;PS50005	SSF56300;SSF48452	PF00149;PF13181;PF08321	SM00156;SM00028	NA	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16|Reactome: R-HSA-5675221|Reactome: R-HSA-5693565|Reactome: R-HSA-8939211	PS00125	cd07417	NA	PR00114	NA	NA	PIRSF033096	NA
PNP46317.1	G3DSA:3.90.640.10;G3DSA:3.30.420.40;G3DSA:1.20.1270.10;G3DSA:2.60.34.10	IPR018181		NA	SSF53067;SSF100920;SSF100934	PF00012	NA	NA	Reactome: R-HSA-3371453	PS01036;PS00297;PS00329	NA	Coil	PR00301	NA	NA	NA	NA
PNP48091.1	NA	IPR025925	GO:0008017	NA	NA	PF14197;PF06657	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP37312.1	G3DSA:2.160.10.10	IPR001451	NA	NA	SSF51161	PF00132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45413.1	NA	IPR021858	NA	NA	NA	PF11951	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP44043.1	G3DSA:3.40.50.12780;G3DSA:3.30.300.30	IPR020845	GO:0003824	NA	SSF56801	PF13193;PF16177;PF00501	NA	NA	KEGG: 00010+6.2.1.1|KEGG: 00620+6.2.1.1|KEGG: 00630+6.2.1.1|KEGG: 00640+6.2.1.1|KEGG: 00680+6.2.1.1|KEGG: 00720+6.2.1.1|MetaCyc: PWY-5108|MetaCyc: PWY-5132|MetaCyc: PWY-5133|MetaCyc: PWY-6672|MetaCyc: PWY-7118|MetaCyc: PWY-7857	PS00455	cd05967	NA	NA	NA	NA	NA	NA
PNP41797.1	G3DSA:3.30.40.10;G3DSA:2.170.270.10	IPR001965	GO:0005515	PS50280	SSF57903;SSF82199	PF00628;PF00856	SM00249;SM00317	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP43269.1	NA	IPR011990	GO:0005515	NA	SSF48452	NA	SM00028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41085.1	G3DSA:1.10.10.10	IPR009057	GO:0003677	NA	SSF46689	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP43819.1	G3DSA:1.20.140.150	IPR009571	GO:0005886	NA	NA	PF06687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP44623.1	NA	IPR006694	GO:0005506;GO:0008610;GO:0016491;GO:0055114	NA	NA	PF04116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42328.1	NA	IPR021858	NA	NA	NA	PF11951	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP48538.1	G3DSA:3.30.429.10	IPR028116	NA	NA	SSF55331	PF14832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP43053.1	G3DSA:2.60.110.10;G3DSA:3.30.920.50	IPR037176		NA	NA	PF16483	NA	NA	KEGG: 00500+3.2.1.39	NA	cd09220	NA	NA	NA	NA	NA	NA
PNP38683.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP41893.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP45276.1	G3DSA:2.70.130.10	IPR028146		NA	SSF50911	PF12999;PF13015	NA	NA	Reactome: R-HSA-381426|Reactome: R-HSA-532668|Reactome: R-HSA-879415|Reactome: R-HSA-8957275|Reactome: R-HSA-901042	NA	NA	Coil	NA	NA	NA	NA	NA
PNP46734.1	NA	IPR021582	NA	NA	NA	PF11489	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP37527.1	G3DSA:3.30.160.60	IPR013087	GO:0003676	NA	NA	NA	SM00355	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP38168.1	G3DSA:3.30.70.330	IPR035979	GO:0003676	PS50102	SSF54928	PF00076	SM00360	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45590.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP37043.1	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	IPR036640	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	PS50929;PS50893	SSF90123;SSF52540	PF00664;PF00005	SM00382	mobidb-lite	NA	PS00211	cd18606;cd18597;cd03244;cd03250	Coil	NA	NA	NA	NA	NA
PNP37490.1	G3DSA:1.20.5.170	IPR004827	GO:0003700;GO:0006355	NA	SSF57959	NA	SM00338	mobidb-lite	NA	PS00036	cd14688	Coil	NA	NA	NA	NA	NA
PNP46890.1	G3DSA:1.25.40.10	IPR011990	GO:0005515	NA	SSF48452	PF13374	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40113.1	NA	IPR025676	NA	NA	NA	PF14420	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42762.1	NA	IPR031355	NA	NA	NA	PF17104	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP37786.1	G3DSA:1.20.1740.10	IPR004841	GO:0016020;GO:0055085;GO:0006865;GO:0016021;GO:0022857	NA	NA	PF00324	NA	NA	NA	PS00218	NA	NA	NA	NA	NA	PIRSF006060	NA
PNP38148.1	G3DSA:1.20.58.530;G3DSA:3.30.70.3240;G3DSA:1.20.120.720;G3DSA:1.20.5.190;G3DSA:3.40.850.10;G3DSA:1.10.10.820	IPR001609	GO:0003774;GO:0005524;GO:0016459;GO:0005515;GO:0051015	PS50096;PS51844;PS51126;PS51456	SSF52540;SSF50084	PF00063;PF01843;PF00612	SM00015;SM01132;SM00242	mobidb-lite	NA	NA	cd15480;cd01380	Coil	PR00193	NA	NA	NA	NA
PNP46851.1	G3DSA:1.20.1250.20	IPR011701	GO:0055085	PS50850	SSF103473	PF07690	NA	mobidb-lite	NA	NA	cd17323	NA	NA	NA	NA	NA	NA
PNP48445.1	G3DSA:3.90.25.10;G3DSA:3.40.50.720	IPR036291		NA	SSF51735	PF05368	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA	NA
PNP42902.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP43670.1	G3DSA:3.30.428.10	IPR036265	NA	NA	SSF54197	PF11969	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP47908.1	G3DSA:3.40.30.10	IPR013766	GO:0045454	PS51352	SSF52833	PF00085	NA	NA	NA	NA	cd02947	NA	PR00421	NA	NA	NA	NA
PNP40481.1	G3DSA:1.10.1280.10	IPR002227	GO:0016491	NA	SSF48056	PF00264	NA	NA	Reactome: R-HSA-5662702	PS00498	NA	NA	PR00092	NA	NA	NA	NA
PNP45688.1	G3DSA:2.10.110.10;G3DSA:1.10.555.10	IPR001781	GO:0007165	PS50023;PS50238	SSF48350	PF00412;PF00620	SM00132;SM00324	mobidb-lite	Reactome: R-HSA-194840	PS00478	cd09395;cd00159;cd09394	Coil	NA	NA	NA	NA	NA
PNP47876.1	G3DSA:2.60.40.1180;G3DSA:3.20.20.70	IPR017853	GO:0004553;GO:0005975;GO:0003824	NA	SSF51445;SSF51011	PF16499;PF17801	NA	NA	KEGG: 00052+3.2.1.22|KEGG: 00561+3.2.1.22|KEGG: 00600+3.2.1.22|KEGG: 00603+3.2.1.22|MetaCyc: PWY-6527	NA	cd14792	NA	NA	NA	NA	NA	NA
PNP38991.1	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	SSF57701	PF00172;PF04082	SM00906	mobidb-lite	NA	PS00463	cd12148;cd00067	NA	NA	NA	NA	NA	NA
PNP38433.1	NA	IPR011022	NA	NA	NA	PF02752	SM01017	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP37780.1	G3DSA:2.60.120.260;G3DSA:1.10.4080.10;G3DSA:2.60.120.560	IPR036705	NA	NA	SSF101478	PF03747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP43158.1	G3DSA:3.40.50.1820;G3DSA:1.10.287.410	IPR001563	GO:0004185;GO:0006508	NA	SSF53474	PF00450	NA	NA	NA	PS00131	NA	NA	PR00724	NA	NA	NA	NA
PNP39982.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP40235.1	NA	IPR011009	NA	NA	SSF56112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40829.1	NA	IPR021858	NA	NA	NA	PF11951	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP46407.1	NA	IPR012942	NA	NA	NA	PF07985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41899.1	NA	IPR013943	GO:0000959;GO:0005739	NA	NA	PF08634	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP38967.1	G3DSA:3.40.630.10;G3DSA:1.20.930.40;G3DSA:3.50.30.30	IPR036757	NA	NA	SSF52025;SSF53187;SSF47672	PF02225;PF04253;PF04389	NA	mobidb-lite	NA	NA	cd02121;cd08022	NA	NA	NA	NA	NA	NA
PNP48604.1	G3DSA:3.40.50.300	IPR006689	GO:0005525;GO:0003924	PS51417	SSF52540	PF00025	SM00177;SM00178	NA	Reactome: R-HSA-8854214|Reactome: R-HSA-8856828|Reactome: R-HSA-8875656	NA	cd04149	NA	PR00328	TIGR00231	NA	NA	NA
PNP42483.1	G3DSA:2.30.30.790	IPR001857	GO:0003735;GO:0005840;GO:0006412	NA	SSF50104	PF01245	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA	NA	NA
PNP42272.1	NA	IPR036305	NA	PS50132	SSF48097	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP44022.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP46846.1	NA	IPR029044	NA	NA	SSF53448	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41067.1	NA	IPR022214	GO:0008274;GO:0033566	NA	NA	PF12554	NA	NA	Reactome: R-HSA-380270|Reactome: R-HSA-380320	NA	NA	Coil	NA	NA	NA	NA	NA
PNP39415.1	G3DSA:3.40.50.880	IPR002818		NA	SSF52317	PF01965	NA	NA	Reactome: R-HSA-3899300|Reactome: R-HSA-9613829|Reactome: R-HSA-9615710	NA	cd03141	NA	NA	NA	NA	NA	NA
PNP43497.1	G3DSA:3.40.50.150	IPR029063	NA	NA	SSF53335	PF13649	NA	NA	NA	NA	cd02440	NA	NA	NA	NA	NA	NA
PNP40565.1	G3DSA:1.20.90.10	IPR015141	GO:0004623;GO:0006644;GO:0050482	NA	SSF48619	PF09056	NA	NA	KEGG: 00564+3.1.1.4|KEGG: 00565+3.1.1.4|KEGG: 00590+3.1.1.4|KEGG: 00591+3.1.1.4|KEGG: 00592+3.1.1.4|MetaCyc: PWY-6803|MetaCyc: PWY-7409|MetaCyc: PWY-7416|MetaCyc: PWY-7417|MetaCyc: PWY-7783|MetaCyc: PWY-8051|MetaCyc: PWY-8053	NA	NA	Coil	NA	NA	NA	NA	NA
PNP45419.1	G3DSA:3.40.50.720;G3DSA:3.90.25.10	IPR016040	NA	NA	SSF51735	PF16363	NA	NA	NA	NA	NA	NA	PR01713	NA	NA	NA	NA
PNP40930.1	G3DSA:3.40.390.10	IPR024079	GO:0008237	NA	SSF55486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42184.1	G3DSA:3.40.50.300	IPR014014	GO:0003676;GO:0005524	PS51195;PS51194;PS51192	SSF52540	PF00271;PF00270	SM00490;SM00487	mobidb-lite	NA	PS00039	cd17967;cd18787	NA	NA	NA	NA	NA	NA
PNP44942.1	G3DSA:2.160.10.10	IPR001451	GO:0016407;GO:0016740	NA	SSF51161	PF00132;PF12464	SM01266	NA	Reactome: R-HSA-446205	PS00101	cd03357	NA	NA	NA	NA	NA	NA
PNP37152.1	NA	IPR018825	NA	NA	NA	PF10348;PF10355	NA	mobidb-lite	NA	NA	cd08760	NA	NA	NA	NA	NA	NA
PNP41768.1	G3DSA:3.40.50.620	IPR014730	GO:0009055	NA	SSF52402	PF01012	SM00893	NA	Reactome: R-HSA-611105	PS01065	cd01714	NA	NA	NA	NA	PIRSF000090	NA
PNP38985.1	NA	IPR027417	NA	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP48390.1	NA	IPR002553	GO:0006886;GO:0016192;GO:0030117;GO:0015031;GO:0030123	NA	SSF48371	PF01602	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	PIRSF037092	NA
PNP41837.1	G3DSA:2.170.150.40	IPR007361	NA	NA	NA	PF04248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP39906.1	G3DSA:1.25.40.20	IPR002110	GO:0005515	PS50088;PS50297	SSF48403	PF13637;PF12796	SM00248	mobidb-lite	NA	NA	NA	NA	PR01415	NA	NA	NA	NA
PNP37626.1	G3DSA:2.40.50.40	IPR023779	NA	PS50013	SSF54160	PF00385	SM00298	mobidb-lite	NA	PS00598	cd00024	NA	NA	NA	NA	NA	NA
PNP37945.1	NA	IPR013745	NA	NA	NA	PF08539	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP40506.1	G3DSA:3.30.920.50;G3DSA:2.60.110.10	IPR042517		NA	NA	PF16483	NA	NA	KEGG: 00500+3.2.1.39	NA	NA	NA	NA	NA	NA	NA	NA
PNP40838.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41713.1	G3DSA:3.40.50.150	IPR013216	GO:0008168	NA	SSF53335	PF08241	NA	mobidb-lite	NA	NA	cd02440	Coil	NA	NA	NA	NA	NA
PNP43884.1	NA	IPR019034	NA	NA	NA	PF09495	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP48057.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP43434.1	NA	IPR018571	NA	NA	NA	PF09463	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP39945.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40257.1	G3DSA:3.30.70.330	IPR012677	GO:0003676	PS50102	SSF54928	PF00076	SM00360	mobidb-lite	NA	NA	cd00590	NA	NA	NA	NA	NA	NA
PNP41155.1	G3DSA:2.60.40.640	IPR014752		NA	NA	PF08737	NA	mobidb-lite	Reactome: R-HSA-6811438|Reactome: R-HSA-6811440|Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	NA	NA	NA
PNP40204.1	G3DSA:3.50.50.60	IPR000960	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	SSF51905	PF00743	NA	mobidb-lite	NA	NA	NA	NA	PR00370	NA	NA	PIRSF000332	NA
PNP47956.1	G3DSA:3.20.20.80	IPR001547	GO:0004553;GO:0005975	NA	SSF51445	PF00150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP37744.1	NA	IPR005197	GO:0016787	NA	NA	PF03659	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45491.1	G3DSA:3.30.2140.20	IPR001447	GO:0016407	NA	SSF54001	PF00797	NA	NA	KEGG: 00232+2.3.1.5|KEGG: 00633+2.3.1.5|KEGG: 00983+2.3.1.5|Reactome: R-HSA-156582	NA	NA	NA	PR01543	NA	NA	NA	NA
PNP46248.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP44518.1	G3DSA:1.10.630.10	IPR000253	GO:0005515;GO:0005506;GO:0016705;GO:0020037;GO:0055114	PS50006	SSF48264	PF00067	NA	NA	NA	PS00086	NA	NA	PR00385;PR00463	NA	NA	NA	NA
PNP43095.1	G3DSA:3.30.70.2410	IPR010655	GO:0031124	NA	NA	PF06807	NA	NA	Reactome: R-HSA-6784531|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-73856|Reactome: R-HSA-77595	NA	NA	NA	NA	NA	NA	NA	NA
PNP45028.1	G3DSA:3.10.20.30;G3DSA:1.10.1060.10	IPR006058	GO:0051537;GO:0009055;GO:0051536;GO:0006099;GO:0016491;GO:0055114	PS51379;PS51085	SSF54292;SSF46548	PF13534;PF13085	NA	NA	KEGG: 00020+1.3.5.1|KEGG: 00190+1.3.5.1|KEGG: 00650+1.3.5.1|KEGG: 00720+1.3.5.1|MetaCyc: PWY-3781|MetaCyc: PWY-4302|MetaCyc: PWY-561|MetaCyc: PWY-5690|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7254|MetaCyc: PWY-7279|Reactome: R-HSA-611105|Reactome: R-HSA-71403	PS00197;PS00198	cd00207	NA	NA	TIGR00384	NA	NA	NA
PNP40215.1	G3DSA:1.10.20.10	IPR035425	GO:0046982	NA	SSF47113	PF15511	NA	mobidb-lite	Reactome: R-HSA-606279	NA	NA	NA	NA	NA	NA	NA	NA
PNP41125.1	G3DSA:2.30.110.10	IPR012349	GO:0048037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP44458.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP47275.1	G3DSA:3.10.110.10	IPR000608		PS50127	SSF54495	PF00179	SM00212	mobidb-lite	Reactome: R-HSA-983168	PS00183	cd00195	NA	NA	NA	NA	NA	NA
PNP37431.1	G3DSA:3.60.130.10	IPR042098	GO:0016491;GO:0055114	NA	SSF51197	PF02668	NA	NA	Reactome: R-HSA-71262	NA	NA	NA	NA	NA	NA	NA	NA
PNP42277.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40960.1	NA	IPR011009	NA	NA	SSF56112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41474.1	NA	IPR013272	GO:0005634;GO:0006338;GO:0006355;GO:0043486	NA	NA	PF05764;PF08265	SM00993	mobidb-lite	Reactome: R-HSA-3214847	NA	NA	Coil	NA	NA	NA	NA	NA
PNP42846.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd18074	NA	NA	NA	NA	NA	NA
PNP44286.1	NA	IPR009291	NA	NA	NA	PF06101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP47507.1	G3DSA:3.40.30.20;G3DSA:3.50.50.60;G3DSA:3.30.9.50	IPR002938	GO:0071949	NA	SSF54373;SSF52833;SSF51905	PF01494;PF07976	NA	mobidb-lite	NA	NA	cd02979	NA	PR00420	NA	NA	NA	NA
PNP45887.1	NA	IPR005635		NA	NA	PF03941	NA	mobidb-lite	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-4615885|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	Coil	NA	NA	NA	NA	NA
PNP37947.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP41864.1	NA	IPR021858	NA	NA	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42011.1	G3DSA:1.20.1250.20	IPR011701	GO:0055085	PS50850	SSF103473	PF07690	NA	NA	NA	NA	cd17327	NA	NA	NA	NA	NA	NA
PNP43567.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40867.1	G3DSA:3.40.50.150	IPR041698	NA	NA	SSF53335	PF13649	NA	NA	NA	NA	cd02440	NA	NA	NA	NA	NA	NA
PNP39006.1	G3DSA:1.20.910.10	IPR016084		NA	SSF48613	NA	NA	NA	Reactome: R-HSA-189483|Reactome: R-HSA-917937	NA	NA	NA	NA	NA	NA	NA	NA
PNP48506.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd00890	Coil	NA	NA	NA	NA	NA
PNP47331.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP47604.1	G3DSA:2.170.270.10;G3DSA:3.30.60.180	IPR001214	GO:0005515	PS50280	SSF48452;SSF144232;SSF82199	PF00856	NA	NA	NA	PS01360	NA	NA	NA	NA	NA	NA	NA
PNP48859.1	G3DSA:3.30.360.20;G3DSA:3.65.10.20	IPR036553	GO:0003824	NA	SSF55205	PF01137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP46066.1	G3DSA:3.40.50.12780;G3DSA:3.30.300.30	IPR000873	GO:0003824	NA	SSF56801	PF00501;PF13193	NA	NA	NA	PS00455	cd05911	NA	NA	NA	NA	NA	NA
PNP37818.1	G3DSA:1.10.510.10	IPR000719	GO:0004672;GO:0005524;GO:0006468	PS50011	SSF56112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42157.1	NA	IPR002123	GO:0016746	NA	SSF69593	PF01553	SM00563	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP41445.1	G3DSA:3.20.20.70;G3DSA:3.10.120.10	IPR001199	GO:0003824;GO:0016491;GO:0020037	PS51349;PS50255	SSF51395;SSF55856	PF00173;PF01070	SM01117	NA	Reactome: R-HSA-9033241	PS00191	cd02922	NA	PR00363	NA	NA	NA	NA
PNP42595.1	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	IPR005814	GO:0008483;GO:0030170;GO:0003824	NA	SSF53383	PF00202	NA	NA	NA	NA	cd00610	NA	NA	NA	NA	NA	NA
PNP48598.1	G3DSA:3.40.50.620	IPR041723	GO:0003824;GO:0009058	NA	SSF52374	PF01467	NA	NA	NA	NA	cd02174	Coil	NA	TIGR00125	NA	NA	NA
PNP41280.1	NA	IPR016024	NA	NA	SSF48371	PF10521	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP43062.1	NA	IPR021833	NA	NA	NA	PF11905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP38495.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP42492.1	G3DSA:1.20.1050.80	IPR003123		PS51205	SSF109993	PF02204	SM00167	mobidb-lite	Reactome: R-HSA-8876198	NA	NA	Coil	NA	NA	NA	NA	NA
PNP38779.1	G3DSA:3.60.15.10	IPR001279	NA	NA	SSF56281	PF00753	NA	NA	NA	NA	cd07730	NA	NA	NA	NA	NA	NA
PNP47573.1	NA	IPR017946	GO:0006629;GO:0008081	NA	SSF51695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP38631.1	G3DSA:1.20.58.280	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP37177.1	G3DSA:3.40.630.30	IPR000182	GO:0008080	PS51186	SSF55729	PF00583	NA	NA	NA	NA	cd04301	NA	NA	NA	NA	NA	NA
PNP38386.1	NA	IPR013256	NA	NA	NA	PF08243	SM00784	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP45515.1	G3DSA:2.60.120.330	IPR027443	GO:0016491;GO:0055114	PS51471	SSF51197	PF03171;PF14226	NA	NA	NA	NA	NA	NA	PR00682	NA	NA	NA	NA
PNP40757.1	G3DSA:3.30.160.60	IPR013087	GO:0003676;GO:0003677;GO:0005634;GO:0006351;GO:0008270	PS50157	SSF57667	PF04082;PF00096	SM00355	mobidb-lite	NA	PS00028	cd12148	NA	NA	NA	NA	NA	NA
PNP46234.1	NA	IPR009348		NA	NA	PF06218	NA	NA	Reactome: R-HSA-9639288	NA	NA	NA	NA	NA	NA	NA	NA
