Gene	MobiDBLite	interpro	GO	Gene3D	SUPERFAMILY	ProSiteProfiles	Pfam	SMART	Coils	CDD	ProSitePatterns	PRINTS	PATHWAY	TIGRFAM	Hamap	PIRSF	SFLD
PKK54387.1	NA	IPR016169	GO:0016491;GO:0050660;GO:0055114;GO:0071949	G3DSA:3.30.465.10;G3DSA:3.40.462.20	SSF56176	PS51387	PF01565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK49501.1	NA	IPR005479	GO:0005524;GO:0046872	G3DSA:3.30.470.130;G3DSA:2.40.100.10;G3DSA:2.40.50.100;G3DSA:3.30.1360.40	SSF51230;SSF50891;SSF52440;SSF56059;SSF160467;SSF51246	PS50968;PS50979;PS50975	PF02786;PF02626;PF00364;PF02682;PF00289;PF02785	SM00878;SM00797;SM00796	NA	cd06850	PS00867	NA	Reactome: R-HSA-196780|Reactome: R-HSA-3371599	TIGR00724	NA	NA	NA
PKK43498.1	mobidb-lite	IPR001734	GO:0016020;GO:0022857;GO:0055085	G3DSA:1.20.1730.10	NA	PS50283	PF00474	NA	NA	cd11476	NA	NA	NA	TIGR00813	NA	NA	NA
PKK42410.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd18314	NA	NA	NA	NA	NA	NA	NA
PKK50755.1	NA	IPR036259	GO:0055085	G3DSA:1.20.1250.20	SSF103473	NA	PF07690	NA	NA	cd17327	NA	NA	NA	NA	NA	NA	NA
PKK41166.1	NA	IPR001810	GO:0005515	G3DSA:3.80.10.10	SSF52047	NA	PF12937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK52372.1	NA	IPR011042	NA	G3DSA:2.120.10.30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK49044.1	mobidb-lite	IPR027521	GO:0004518;GO:0034477	G3DSA:3.90.1140.10	NA	NA	PF09749	NA	NA	NA	NA	NA	NA	NA	MF_03040	NA	NA
PKK42793.1	mobidb-lite	IPR029030	NA	G3DSA:3.40.50.12660	SSF52129	NA	PF00656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK48681.1	NA	IPR023026	GO:0000162;GO:0004834;GO:0006568;GO:0003824	G3DSA:3.40.50.1100;G3DSA:3.20.20.70	SSF51366;SSF53686	NA	PF00290;PF00291	NA	NA	cd04724;cd06446	PS00168;PS00167	NA	KEGG: 00260+4.2.1.20|KEGG: 00400+4.2.1.20	TIGR00262;TIGR00263	MF_00133;MF_00131	NA	NA
PKK47068.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK47226.1	NA	IPR036291	GO:0016491	G3DSA:3.40.50.720;G3DSA:3.30.360.10	SSF55347;SSF51735	NA	PF01408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK52928.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	cd17282	NA	NA	NA	NA	NA	NA	NA
PKK43892.1	NA	IPR012878	NA	NA	NA	NA	PF07944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK50019.1	NA	IPR008030		G3DSA:3.90.25.10;G3DSA:3.40.50.720	SSF51735	NA	PF05368	NA	NA	NA	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA
PKK40906.1	NA	IPR036526	GO:0006807	G3DSA:3.60.110.10	SSF56317	PS50263	PF00795	NA	NA	cd07572	NA	NA	NA	NA	NA	NA	NA
PKK49762.1	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	G3DSA:4.10.240.10	SSF57701	PS50048	PF00172	SM00066	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK51686.1	NA	IPR000182	GO:0008080	G3DSA:3.40.630.30	SSF55729	PS51186	PF00583	NA	NA	cd04301	NA	NA	NA	NA	NA	NA	NA
PKK53128.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK54400.1	NA	IPR036188	NA	G3DSA:3.50.50.60	SSF51905	NA	PF13738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK53596.1	NA	IPR006913	GO:0016846	G3DSA:3.90.1590.10	SSF51316	NA	PF04828	NA	NA	NA	NA	NA	KEGG: 00680+4.4.1.22|MetaCyc: PWY-1801	NA	NA	NA	NA
PKK54140.1	NA	IPR036291	NA	G3DSA:3.40.50.720	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK51835.1	NA	IPR001611	GO:0005515	G3DSA:3.80.10.10	SSF52047	NA	PF13516	SM00368	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK44868.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK52263.1	mobidb-lite	IPR002293	GO:0016020;GO:0022857;GO:0055085	G3DSA:1.20.1740.10	NA	NA	PF13520	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF006060	NA
PKK52047.1	mobidb-lite	IPR017853	GO:0004553;GO:0005975;GO:0008061	G3DSA:3.10.350.10;G3DSA:3.20.20.80;G3DSA:3.10.50.10	SSF51445;SSF54556	PS51782	PF01476;PF00704	SM00636	NA	cd02878;cd00118	PS01095	NA	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	NA	NA	NA	NA
PKK45055.1	NA	IPR011032	GO:0055114;GO:0008270;GO:0016491	G3DSA:3.40.50.720;G3DSA:3.90.180.10	SSF50129;SSF51735	NA	PF08240;PF00107	SM00829	NA	cd08241	PS01162	NA	NA	NA	NA	NA	NA
PKK48424.1	NA	IPR008253	GO:0016020	NA	NA	NA	PF01284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK54191.1	NA	IPR001199	GO:0020037	G3DSA:3.10.120.10	SSF55856	PS50255	PF00173	SM01117	NA	NA	PS00191	PR00363	NA	NA	NA	NA	NA
PKK45984.1	NA	IPR023797	GO:0003824	G3DSA:3.65.10.20;G3DSA:3.30.360.20	SSF55205	NA	PF01137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK43754.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK53774.1	NA	IPR000717		G3DSA:1.25.40.570	SSF46785	PS50250	PF10602;PF01399	SM00088;SM00753	Coil	NA	NA	NA	Reactome: R-HSA-8951664	NA	NA	NA	NA
PKK49341.1	NA	IPR036188	GO:0071949	G3DSA:3.30.9.50;G3DSA:3.50.50.60;G3DSA:3.40.30.120	SSF51905;SSF54373	NA	PF01494	NA	NA	NA	NA	PR00420	NA	NA	NA	NA	NA
PKK53124.1	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK51006.1	NA	IPR003848	NA	NA	NA	NA	PF02698	NA	NA	cd06259	NA	NA	NA	NA	NA	NA	NA
PKK52981.1	mobidb-lite	IPR008928	GO:0003824	G3DSA:1.50.10.10	SSF48208	NA	PF06824	SM01149	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK53274.1	NA	IPR017853	GO:0004553;GO:0005975;GO:0003824	G3DSA:2.60.40.1180;G3DSA:3.20.20.70	SSF51445;SSF51011	NA	PF16499;PF17801	NA	NA	cd14792	PS00512	PR00740	KEGG: 00052+3.2.1.22|KEGG: 00561+3.2.1.22|KEGG: 00600+3.2.1.22|KEGG: 00603+3.2.1.22|MetaCyc: PWY-6527	NA	NA	NA	NA
PKK48837.1	mobidb-lite	IPR010730	NA	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK46296.1	NA	IPR002995	GO:0016021	NA	NA	NA	PF02077	NA	NA	NA	PS01339	NA	Reactome: R-HSA-6798695|Reactome: R-HSA-6811434	NA	NA	NA	NA
PKK41447.1	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK45017.1	NA	IPR023753	GO:0016491;GO:0055114	G3DSA:3.50.50.100	SSF51905	NA	PF07992	NA	NA	NA	NA	PR00411;PR00368	NA	NA	NA	NA	NA
PKK51450.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	G3DSA:4.10.240.10	SSF57701	PS50048	PF04082;PF00172	SM00066;SM00906	NA	cd00067;cd12148	PS00463	NA	NA	NA	NA	NA	NA
PKK48421.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK53625.1	NA	IPR035994	GO:0003824;GO:0009116	G3DSA:3.40.50.1580	SSF53167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK44892.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK40399.1	NA	IPR008949	NA	G3DSA:1.10.600.10	SSF48576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SFLDS00005;SFLDG01020
PKK45941.1	NA	IPR014347	NA	G3DSA:3.30.429.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK45652.1	mobidb-lite	IPR036236	GO:0003676	G3DSA:3.30.160.60	SSF57667	PS50157	NA	NA	NA	NA	PS00028	NA	NA	NA	NA	NA	NA
PKK49993.1	mobidb-lite	IPR006076	GO:0016491;GO:0055114	G3DSA:3.50.50.60;G3DSA:3.30.9.10	SSF51905	NA	PF01266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK49056.1	NA	IPR029058	NA	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK49232.1	mobidb-lite	IPR001936	GO:0043087;GO:0007165;GO:0005515	G3DSA:1.10.506.10;G3DSA:1.10.418.10;G3DSA:1.20.5.190	SSF143885;SSF48350;SSF47576	PS50018;PS50096;PS50021	PF00612;PF00307;PF00616;PF03836	SM00015;SM00323;SM00033	Coil	cd05127;cd00014	NA	NA	Reactome: R-HSA-5626467	NA	NA	NA	NA
PKK40812.1	NA	IPR037674	GO:0006506;GO:0051377;GO:0003824	G3DSA:3.40.720.10	SSF53649	NA	PF01663	NA	NA	cd16024	NA	NA	Reactome: R-HSA-162710	NA	NA	NA	NA
PKK44933.1	NA	IPR013121	GO:0016491;GO:0055114	G3DSA:3.40.50.80	SSF52343	PS51384	PF08030;PF01794;PF08022	NA	NA	cd06186	NA	NA	NA	NA	NA	NA	SFLDS00052;SFLDG01168
PKK55025.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK48050.1	mobidb-lite	IPR003010	GO:0006807	G3DSA:3.60.110.10	SSF56317	PS50263	PF00795	NA	Coil	cd07566	NA	NA	NA	NA	NA	NA	NA
PKK42656.1	NA	IPR002347	NA	G3DSA:3.40.50.720	SSF51735	NA	PF00106	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA
PKK55172.1	NA	IPR042098	GO:0016491;GO:0055114	G3DSA:3.60.130.10	SSF51197	NA	PF02668	NA	NA	NA	NA	NA	Reactome: R-HSA-71262	NA	NA	NA	NA
PKK52544.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK54283.1	NA	IPR021858	NA	NA	NA	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK48561.1	NA	IPR012337	GO:0003676	G3DSA:3.30.420.10	SSF53098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK42923.1	mobidb-lite	IPR011008	NA	G3DSA:3.30.70.100	SSF54909	NA	PF07978	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK48625.1	NA	IPR009939	GO:0016977	NA	NA	NA	PF07335	NA	NA	NA	NA	NA	KEGG: 00520+3.2.1.132	NA	NA	NA	NA
PKK41649.1	mobidb-lite	IPR036259	GO:0055085	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	SSF103473	PS50850	PF07690	NA	NA	cd17323	NA	PR01036	NA	NA	NA	NA	NA
PKK50769.1	NA	IPR036770	GO:0005515	G3DSA:1.25.40.20	SSF48403	PS50088;PS50297	PF12796	SM00248	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK50770.1	NA	IPR002110	GO:0005515	G3DSA:1.25.40.20	SSF48403	PS50088;PS50297	PF12796	SM00248	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK50467.1	mobidb-lite	IPR036612	GO:0003723	G3DSA:3.30.1370.10	SSF54791	NA	PF17903	NA	NA	NA	NA	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA
PKK54422.1	NA	IPR018083	GO:0016628;GO:0055114;GO:0016020;GO:0016126	G3DSA:1.20.120.1630	NA	NA	PF01222	NA	NA	NA	PS01018;PS01017	NA	NA	NA	NA	NA	NA
PKK45936.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK47509.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK53647.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK47598.1	mobidb-lite	IPR024528	NA	NA	NA	NA	PF12821;PF06738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK46883.1	NA	IPR002642	GO:0004620;GO:0009395	G3DSA:3.40.1090.10	SSF52151	PS51210	PF01735	SM00022	Coil	cd00147	NA	NA	Reactome: R-HSA-1482788|Reactome: R-HSA-1482801|Reactome: R-HSA-1482839|Reactome: R-HSA-1482922|Reactome: R-HSA-1483115	NA	NA	NA	NA
PKK53167.1	NA	IPR036291	NA	G3DSA:3.40.50.720	SSF51735	NA	PF13561	NA	NA	cd05233	NA	PR00081	NA	NA	NA	NA	NA
PKK51280.1	mobidb-lite	IPR003961	GO:0005515	G3DSA:2.60.40.10	SSF49265	PS50853	PF00041	SM00060	Coil	cd00063	NA	NA	NA	NA	NA	NA	NA
PKK48052.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK50359.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK48661.1	NA	IPR001000	GO:0004553;GO:0005975	G3DSA:3.20.20.80	SSF51445	PS51760	PF00331	SM00633	NA	NA	NA	PR00134	MetaCyc: PWY-6717|MetaCyc: PWY-6784	NA	NA	NA	NA
PKK48093.1	mobidb-lite	IPR014001	GO:0003676;GO:0005524	G3DSA:3.40.50.300	SSF52540	PS51192;PS51195;PS51194	PF00270;PF00271	SM00490;SM00487	NA	cd17945;cd18787	PS00039	NA	NA	NA	NA	NA	NA
PKK41599.1	mobidb-lite	IPR004840	GO:0006865;GO:0016021;GO:0055085;GO:0016020;GO:0022857	G3DSA:1.20.1740.10	NA	NA	PF00324	NA	NA	NA	PS00218	NA	NA	NA	NA	PIRSF006060	NA
PKK46896.1	mobidb-lite	IPR007111	GO:0005515	G3DSA:1.25.40.20;G3DSA:3.40.50.300	SSF48403;SSF52540	PS50837;PS50088;PS50297	PF05729;PF17100	SM00248	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK54218.1	NA	IPR016162	GO:0016491;GO:0055114;GO:0016620	G3DSA:3.40.605.10;G3DSA:3.40.309.10	SSF53720	NA	PF00171	NA	NA	NA	PS00687	NA	NA	NA	NA	NA	NA
PKK54765.1	mobidb-lite	IPR021858	NA	NA	NA	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK50606.1	NA	IPR042099	GO:0003824;GO:0003987;GO:0016208;GO:0019427	G3DSA:3.40.50.12780;G3DSA:3.30.300.30	SSF56801	NA	PF00501;PF13193;PF16177	NA	NA	cd05966	PS00455	NA	KEGG: 00010+6.2.1.1|KEGG: 00620+6.2.1.1|KEGG: 00630+6.2.1.1|KEGG: 00640+6.2.1.1|KEGG: 00680+6.2.1.1|KEGG: 00720+6.2.1.1|MetaCyc: PWY-5108|MetaCyc: PWY-5132|MetaCyc: PWY-5133|MetaCyc: PWY-6672|MetaCyc: PWY-7118|MetaCyc: PWY-7857|Reactome: R-HSA-71384	TIGR02188	NA	NA	NA
PKK42639.1	NA	IPR036915	NA	NA	SSF47954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK43560.1	mobidb-lite	IPR001932	GO:0003824;GO:0043169	G3DSA:3.60.40.10	SSF81606	PS51746	PF00481	SM00332	NA	cd00143	PS01032	NA	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	NA	NA	NA	NA
PKK55000.1	NA	IPR005013	GO:0005789;GO:0018279	NA	NA	NA	PF03345	NA	NA	NA	NA	NA	Reactome: R-HSA-1799339|Reactome: R-HSA-446203|Reactome: R-HSA-6798695|Reactome: R-HSA-879415	NA	NA	NA	NA
PKK49026.1	NA	IPR006034	GO:0005515	G3DSA:3.40.50.40;G3DSA:3.40.50.1170;G3DSA:1.25.40.20	SSF53774;SSF48403	PS51732;PS50297;PS50088	PF00710;PF17763;PF12796	SM00248;SM00870	NA	cd08963	NA	PR00139	Reactome: R-HSA-8963693	NA	NA	PIRSF500176;PIRSF001220	SFLDS00057
PKK42951.1	NA	IPR010490	GO:0006891;GO:0017119	NA	NA	NA	PF06419	SM01087	Coil	NA	NA	NA	Reactome: R-HSA-6807878|Reactome: R-HSA-6811438|Reactome: R-HSA-6811440	NA	NA	NA	NA
PKK49178.1	NA	IPR036188	GO:0016614;GO:0050660;GO:0055114	G3DSA:3.50.50.60;G3DSA:3.30.560.10	SSF54373;SSF51905	NA	PF00732;PF05199	NA	NA	NA	PS00623;PS00624	NA	Reactome: R-HSA-6798163	NA	NA	PIRSF000137	NA
PKK45355.1	NA	IPR013094	GO:0016787	G3DSA:3.40.50.1820	SSF53474	NA	PF07859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK54186.1	mobidb-lite	IPR032682	GO:0004672;GO:0005524;GO:0006468	G3DSA:3.30.200.20;G3DSA:1.25.10.10;G3DSA:1.10.510.10	SSF56112;SSF48371	PS50011	PF12717;PF09495;PF00069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK54706.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK50665.1	NA	IPR000426	GO:0004175;GO:0006511;GO:0019773;GO:0005839;GO:0051603;GO:0004298	G3DSA:3.60.20.10	SSF56235	PS51475	PF10584;PF00227	SM00948	NA	cd03752	PS00854;PS00388	NA	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	NA	NA
PKK54029.1	mobidb-lite	IPR038377	GO:0016020;GO:0022857;GO:0055085	G3DSA:1.20.1730.10	NA	PS50283	PF00474	NA	NA	cd11476	NA	NA	NA	NA	NA	NA	NA
PKK51995.1	mobidb-lite	IPR016024	NA	G3DSA:1.25.10.10	SSF48371	NA	NA	SM01349	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK47867.1	NA	NA	NA	G3DSA:1.20.140.150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK52956.1	mobidb-lite	IPR004695	GO:0016021;GO:0055085;GO:0015140;GO:0071423	G3DSA:1.50.10.150	NA	NA	PF03595	NA	NA	cd09317	NA	NA	NA	NA	NA	NA	NA
PKK53914.1	NA	IPR029058	GO:0006508;GO:0008236;GO:0004252	G3DSA:3.40.50.1820;G3DSA:2.120.10.30	SSF53474;SSF82171	NA	PF00326	NA	NA	NA	PS00708	NA	NA	NA	NA	NA	NA
PKK44554.1	NA	IPR036249	GO:0005515	G3DSA:1.20.1050.10;G3DSA:3.40.30.10	SSF52833;SSF47616	PS50404;PS50405	PF00043;PF02798	NA	NA	cd03048	NA	NA	NA	NA	NA	NA	SFLDG01151;SFLDS00019
PKK53506.1	NA	IPR029058	GO:0016747;GO:0016787	G3DSA:3.40.50.1820;G3DSA:1.10.10.800	SSF53474	NA	PF01738	NA	Coil	NA	PS00099	NA	NA	NA	NA	NA	NA
PKK42570.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK42747.1	NA	IPR004895	NA	NA	NA	NA	PF03208	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK53682.1	mobidb-lite	IPR036895	GO:0004844;GO:0006281;GO:0006284;GO:0016799	G3DSA:3.40.470.10	SSF52141	NA	PF03167	SM00986;SM00987	NA	cd10027	PS00130	NA	Reactome: R-HSA-110328|Reactome: R-HSA-110329|Reactome: R-HSA-110357	TIGR00628	MF_00148	NA	NA
PKK48297.1	mobidb-lite	IPR027528	GO:0003743;GO:0005737;GO:0005852	G3DSA:1.25.40.570	NA	PS50250	PF01399;PF18005	SM00753;SM00088	Coil	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	MF_03012	NA	NA
PKK48716.1	mobidb-lite	IPR004600	GO:0000439;GO:0006289;GO:0006355	G3DSA:3.40.50.410	NA	NA	PF03850	NA	NA	NA	NA	NA	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167246|Reactome: R-HSA-427413|Reactome: R-HSA-5696395|Reactome: R-HSA-5696400|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-72086|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-73863|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-77075	NA	NA	NA	NA
PKK55164.1	NA	IPR036704	NA	G3DSA:3.50.30.100	SSF89562	NA	PF03737	NA	NA	cd16841	NA	NA	NA	NA	NA	NA	NA
PKK51918.1	NA	IPR025444	NA	NA	NA	NA	PF13826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK54083.1	mobidb-lite	IPR008271	GO:0004672;GO:0006468;GO:0005524;GO:0004674	G3DSA:1.10.510.10;G3DSA:3.30.200.20	SSF56112	PS51285;PS50011	PF00069	SM00220;SM00133	NA	cd05123	PS00108	NA	NA	NA	NA	NA	NA
PKK42944.1	NA	IPR021109	GO:0004190;GO:0006508	G3DSA:2.40.70.10	SSF50630	PS51767	PF00026	NA	NA	cd06097	PS00141	PR00792	NA	NA	NA	NA	NA
PKK45275.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK46944.1	NA	NA	NA	G3DSA:3.40.190.10	SSF53850	NA	PF13343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK43749.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK50131.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK41392.1	mobidb-lite	NA	NA	NA	SSF58100	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK41409.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK47780.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK45481.1	mobidb-lite	IPR001810	GO:0005515	G3DSA:2.130.10.10	SSF50978;SSF81383	PS50181;PS50294;PS50082	PF00400;PF12937	SM00320;SM00256	NA	cd00200	PS00678	PR00320	NA	NA	NA	NA	NA
PKK43421.1	NA	IPR021514	NA	NA	NA	NA	PF11374	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK45215.1	NA	IPR010730	NA	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK51513.1	mobidb-lite	IPR029016	GO:0000160;GO:0000155;GO:0007165;GO:0004672;GO:0005524;GO:0006468;GO:0005515;GO:0016310;GO:0016772	G3DSA:1.10.510.10;G3DSA:3.30.450.40;G3DSA:3.30.565.10;G3DSA:1.10.287.130;G3DSA:3.40.50.2300	SSF52172;SSF55781;SSF56112;SSF55874;SSF47384	PS50011;PS50109;PS50110	PF00072;PF13185;PF13191;PF02518;PF00512	SM00388;SM00448;SM00220;SM00065;SM00387	Coil	cd00156;cd16922;cd00082	NA	PR00344	Reactome: R-HSA-113507|Reactome: R-HSA-176187|Reactome: R-HSA-68616|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	NA	NA	NA	NA
PKK49468.1	NA	IPR012338	NA	G3DSA:3.40.710.10	SSF56601	NA	PF00144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK52386.1	NA	IPR002347	NA	G3DSA:3.40.50.720	SSF51735	NA	PF00106	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA
PKK47977.1	mobidb-lite	IPR011701	GO:0055085	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	SSF103473	PS50850	PF07690	NA	NA	cd17502	NA	NA	NA	NA	NA	NA	NA
PKK44451.1	NA	IPR036928		G3DSA:3.90.1300.10	SSF75304	NA	PF01425	NA	NA	NA	NA	NA	KEGG: 00970+6.3.5.7	NA	NA	NA	NA
